https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SFUND,Volume USDT
1659409200,2022-08-02 03:00:00,SFUND/USDT,2.1795,2.1795,2.1562,2.1562,21918.15727523,47460.360682124557
1659405600,2022-08-02 02:00:00,SFUND/USDT,2.2002,2.2033,2.1795,2.1802,17455.52991965,38213.339702393985
1659402000,2022-08-02 01:00:00,SFUND/USDT,2.1978,2.2128,2.1972,2.2103,14804.88245313,32636.473456146114
1659398400,2022-08-02 00:00:00,SFUND/USDT,2.2098,2.2125,2.1995,2.1995,18452.2245295,40789.357896866173
1659394800,2022-08-01 23:00:00,SFUND/USDT,2.2055,2.2136,2.2026,2.209,53712.28727341,118601.419075092287
1659391200,2022-08-01 22:00:00,SFUND/USDT,2.182,2.2093,2.18,2.2036,58737.43313048,128793.828252465471
1659387600,2022-08-01 21:00:00,SFUND/USDT,2.198,2.2102,2.17,2.1908,46276.09025713,101881.516660076809
1659384000,2022-08-01 20:00:00,SFUND/USDT,2.1923,2.2064,2.1876,2.1949,61303.99928596,134587.513985526356
1659380400,2022-08-01 19:00:00,SFUND/USDT,2.2513,2.3403,2.1924,2.1924,25710.63461944,57355.888462088697
1659376800,2022-08-01 18:00:00,SFUND/USDT,2.2615,2.2693,2.2405,2.2528,38392.6674613,86586.731853936459
1659373200,2022-08-01 17:00:00,SFUND/USDT,2.3329,2.3329,2.2467,2.2717,36080.52597844,82295.106480375548
1659369600,2022-08-01 16:00:00,SFUND/USDT,2.3221,2.3365,2.3111,2.3344,32364.54721593,75223.697046518255
1659366000,2022-08-01 15:00:00,SFUND/USDT,2.3328,2.3427,2.3219,2.3247,5907.10092219,13783.851901243655
1659362400,2022-08-01 14:00:00,SFUND/USDT,2.3076,2.3986,2.3076,2.3343,38083.39235486,88961.645419279817
1659358800,2022-08-01 13:00:00,SFUND/USDT,2.3086,2.3166,2.2714,2.3095,7680.03896661,17630.442105724827
1659355200,2022-08-01 12:00:00,SFUND/USDT,2.3243,2.336,2.2659,2.307,31901.11107924,73614.875978874183
1659351600,2022-08-01 11:00:00,SFUND/USDT,2.3025,2.3243,2.3007,2.3243,15101.75127478,34915.230247038039
1659348000,2022-08-01 10:00:00,SFUND/USDT,2.334,2.334,2.3026,2.3026,28845.06433752,66995.616915178479
1659344400,2022-08-01 09:00:00,SFUND/USDT,2.3273,2.3426,2.3273,2.3287,24878.41150787,58078.74792943858
1659340800,2022-08-01 08:00:00,SFUND/USDT,2.3491,2.355,2.3245,2.3369,50799.69719038,119300.645549270432
1659337200,2022-08-01 07:00:00,SFUND/USDT,2.334,2.3594,2.305,2.355,26654.95270904,62054.065737879922
1659333600,2022-08-01 06:00:00,SFUND/USDT,2.3445,2.3612,2.3205,2.3205,49983.13159434,117076.347371083328
1659330000,2022-08-01 05:00:00,SFUND/USDT,2.3564,2.3569,2.3398,2.344,61051.58609434,143553.182478555296
