https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BMON,Volume USDT
1649462400,2022-04-09 00:00:00,BMON/USDT,0.04635,0.04657,0.04572,0.04624,212318.74308546,9803.0682460443536
1649376000,2022-04-08 00:00:00,BMON/USDT,0.04905,0.04986,0.04587,0.04635,458619.24870938,21866.7860939576226
1649289600,2022-04-07 00:00:00,BMON/USDT,0.04845,0.04959,0.04782,0.04907,153849.29343739,7493.617275146436
1649203200,2022-04-06 00:00:00,BMON/USDT,0.05202,0.0522,0.0467,0.04847,626292.35384097,31002.018679362809
1649116800,2022-04-05 00:00:00,BMON/USDT,0.0535,0.05659,0.05091,0.05243,885687.02900537,47732.005221109757
1649030400,2022-04-04 00:00:00,BMON/USDT,0.05767,0.0581,0.05091,0.0537,1781486.46117056,96440.7812121201188
1648944000,2022-04-03 00:00:00,BMON/USDT,0.05643,0.05943,0.055,0.05767,829304.65064464,47453.2327763781109
1648857600,2022-04-02 00:00:00,BMON/USDT,0.06385,0.06515,0.05551,0.05643,1490250.49962522,89196.1037943057345
1648771200,2022-04-01 00:00:00,BMON/USDT,0.0609,0.0757,0.055,0.06363,5025215.14310193,317115.7716183680932
1648684800,2022-03-31 00:00:00,BMON/USDT,0.04768,0.06733,0.0476,0.06099,12023566.71384857,697649.6562380521866
1648598400,2022-03-30 00:00:00,BMON/USDT,0.04495,0.05,0.044,0.0475,1267296.30524444,59530.675795337761
1648512000,2022-03-29 00:00:00,BMON/USDT,0.04651,0.04718,0.0442,0.0448,611689.56843748,28026.4622177811108
1648425600,2022-03-28 00:00:00,BMON/USDT,0.04683,0.04816,0.0456,0.04651,471626.8756037,22010.1007687152029
1648339200,2022-03-27 00:00:00,BMON/USDT,0.04609,0.049,0.04422,0.04681,824215.71076872,38429.0836697681167
1648252800,2022-03-26 00:00:00,BMON/USDT,0.0454,0.0475,0.04455,0.04618,641882.96435776,29477.3615086596947
1648166400,2022-03-25 00:00:00,BMON/USDT,0.04822,0.04989,0.04441,0.0452,701678.7362859,32952.4742525515137
1648080000,2022-03-24 00:00:00,BMON/USDT,0.04582,0.04906,0.04481,0.04822,782176.53659849,36340.8709068723033
1647993600,2022-03-23 00:00:00,BMON/USDT,0.0438,0.04639,0.0436,0.04606,1359157.85652164,61046.876639750632
1647907200,2022-03-22 00:00:00,BMON/USDT,0.04301,0.04539,0.0421,0.0438,395616.25509945,17431.5141840617362
1647820800,2022-03-21 00:00:00,BMON/USDT,0.04161,0.04389,0.04122,0.043,148629.43246164,6329.3939863050504
1647734400,2022-03-20 00:00:00,BMON/USDT,0.04243,0.0435,0.04122,0.0416,200359.87923294,8455.4581803228981
1647648000,2022-03-19 00:00:00,BMON/USDT,0.04215,0.0438,0.04152,0.04243,248704.83485782,10585.368493584987
1647561600,2022-03-18 00:00:00,BMON/USDT,0.04172,0.0441,0.0394,0.04215,607901.69064083,25592.1555147669347
1647475200,2022-03-17 00:00:00,BMON/USDT,0.04178,0.04219,0.0408,0.04171,241429.49117588,10099.7976781383078
1647388800,2022-03-16 00:00:00,BMON/USDT,0.0404,0.04198,0.0399,0.04198,200851.75108102,8296.1814288076382
1647302400,2022-03-15 00:00:00,BMON/USDT,0.04009,0.04038,0.03895,0.04003,125611.72054787,5015.7578213502548
1647216000,2022-03-14 00:00:00,BMON/USDT,0.0404,0.04057,0.0391,0.04001,174874.87905265,6964.7408393414557
1647129600,2022-03-13 00:00:00,BMON/USDT,0.04108,0.0531,0.0397,0.04042,2713989.86258098,121147.4951077275654
1647043200,2022-03-12 00:00:00,BMON/USDT,0.04043,0.0416,0.03939,0.04108,325580.91955229,13189.0747959898792
1646956800,2022-03-11 00:00:00,BMON/USDT,0.04002,0.04295,0.0388,0.04076,365999.09121223,14783.4499353907313
1646870400,2022-03-10 00:00:00,BMON/USDT,0.0424,0.0426,0.0398,0.0402,208712.10560678,8512.403618613489
1646784000,2022-03-09 00:00:00,BMON/USDT,0.04095,0.0438,0.0408,0.0424,189245.00671372,8014.685569918283
1646697600,2022-03-08 00:00:00,BMON/USDT,0.0405,0.04209,0.04,0.04095,96420.38938653,3972.4083929924643
1646611200,2022-03-07 00:00:00,BMON/USDT,0.0417,0.042,0.0388,0.0406,1028132.76243643,41188.0774547839006
1646524800,2022-03-06 00:00:00,BMON/USDT,0.04299,0.0434,0.0416,0.0417,119236.50164781,5049.8390786976273
1646438400,2022-03-05 00:00:00,BMON/USDT,0.04204,0.04349,0.04101,0.04299,653099.19573578,27567.5471426598335
1646352000,2022-03-04 00:00:00,BMON/USDT,0.0454,0.0456,0.042,0.04204,169812.11804771,7457.739523762424
1646265600,2022-03-03 00:00:00,BMON/USDT,0.0465,0.0468,0.0442,0.0455,321934.31854654,14616.158276532541
1646179200,2022-03-02 00:00:00,BMON/USDT,0.0474,0.0492,0.0465,0.0465,353445.50491649,16783.13768561127
1646092800,2022-03-01 00:00:00,BMON/USDT,0.0452,0.0498,0.0441,0.0474,771718.95103399,36438.294669760964
1646006400,2022-02-28 00:00:00,BMON/USDT,0.0405,0.046,0.0405,0.0448,732978.13606397,31489.693222975957
1645920000,2022-02-27 00:00:00,BMON/USDT,0.0424,0.043,0.0393,0.0408,134380.66666356,5554.327159739294
1645833600,2022-02-26 00:00:00,BMON/USDT,0.0428,0.0449,0.0414,0.0424,462115.69790605,19877.613991666026
1645747200,2022-02-25 00:00:00,BMON/USDT,0.0398,0.0453,0.0396,0.0424,544189.72189733,22988.389565417191
1645660800,2022-02-24 00:00:00,BMON/USDT,0.0436,0.0438,0.0361,0.0399,664390.80359341,25686.007827076416
1645574400,2022-02-23 00:00:00,BMON/USDT,0.0443,0.0471,0.0431,0.0437,634424.19421143,28757.121049036998
1645488000,2022-02-22 00:00:00,BMON/USDT,0.0437,0.056,0.0407,0.0443,2733998.69285964,123525.749592784037
1645401600,2022-02-21 00:00:00,BMON/USDT,0.0474,0.0491,0.0417,0.0432,367386.22364925,16570.737260493057
1645315200,2022-02-20 00:00:00,BMON/USDT,0.0503,0.0514,0.0451,0.0474,796359.25051527,37576.000665938004
1645228800,2022-02-19 00:00:00,BMON/USDT,0.0506,0.0523,0.0498,0.0505,264560.21116678,13476.722986378077
1645142400,2022-02-18 00:00:00,BMON/USDT,0.0521,0.0534,0.0497,0.0509,523716.5457207,27039.944720447185
1645056000,2022-02-17 00:00:00,BMON/USDT,0.0554,0.0573,0.0513,0.0522,453151.88905957,24783.395178810226
1644969600,2022-02-16 00:00:00,BMON/USDT,0.0555,0.0587,0.0532,0.0556,724850.08730475,40648.450800779146
1644883200,2022-02-15 00:00:00,BMON/USDT,0.0501,0.0565,0.0498,0.0557,605850.17783272,32818.327695956924
1644796800,2022-02-14 00:00:00,BMON/USDT,0.0519,0.0522,0.0498,0.05,116377.5784964,5935.740092691499
1644710400,2022-02-13 00:00:00,BMON/USDT,0.0529,0.0582,0.0498,0.0519,859515.99233439,45350.207624895866
1644624000,2022-02-12 00:00:00,BMON/USDT,0.0537,0.0548,0.0508,0.0529,625046.0532066,33258.561066450169
1644537600,2022-02-11 00:00:00,BMON/USDT,0.0584,0.0595,0.0527,0.0536,597225.04297918,33473.061510450298
1644451200,2022-02-10 00:00:00,BMON/USDT,0.061,0.0623,0.0583,0.0584,594562.51472355,35628.819382366033
1644364800,2022-02-09 00:00:00,BMON/USDT,0.0593,0.0623,0.0583,0.0611,493011.65003285,29739.232810095368
1644278400,2022-02-08 00:00:00,BMON/USDT,0.0638,0.0647,0.0584,0.0593,604003.71889761,36713.641355549264
1644192000,2022-02-07 00:00:00,BMON/USDT,0.0644,0.0674,0.0614,0.0638,1117087.24119404,71859.329783797416
1644105600,2022-02-06 00:00:00,BMON/USDT,0.0625,0.0657,0.0618,0.0647,652367.35653989,41834.124646334288
1644019200,2022-02-05 00:00:00,BMON/USDT,0.0582,0.0675,0.0581,0.0622,931916.41950357,59024.84609045406
1643932800,2022-02-04 00:00:00,BMON/USDT,0.0511,0.0596,0.0508,0.058,1340116.35248584,74801.357464977781
1643846400,2022-02-03 00:00:00,BMON/USDT,0.0516,0.0524,0.0496,0.0511,295132.58404998,14981.46612208548
