https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SDAO,Volume USDT
1646611200,2022-03-07 00:00:00,SDAO/USDT,0.75,0.7756,0.748,0.767,79970.17746843,60851.532141069596
1646524800,2022-03-06 00:00:00,SDAO/USDT,0.753,0.766,0.75,0.75,63137.66651897,47658.52421613972
1646438400,2022-03-05 00:00:00,SDAO/USDT,0.752,0.7569,0.75,0.753,44452.82941318,33431.2247827632
1646352000,2022-03-04 00:00:00,SDAO/USDT,0.782,0.782,0.75,0.75,79374.41015059,60431.84284673427
1646265600,2022-03-03 00:00:00,SDAO/USDT,0.774,0.802,0.758,0.782,125865.64887445,98380.20076621571
1646179200,2022-03-02 00:00:00,SDAO/USDT,0.776,0.78,0.762,0.773,80604.20392668,62313.52588821118
1646092800,2022-03-01 00:00:00,SDAO/USDT,0.764,0.792,0.758,0.776,57986.0518927,44986.26859123455
1646006400,2022-02-28 00:00:00,SDAO/USDT,0.717,0.764,0.713,0.76,75113.27087738,54656.8646808539
1645920000,2022-02-27 00:00:00,SDAO/USDT,0.727,0.729,0.712,0.715,112664.8352563,81195.12555912182
1645833600,2022-02-26 00:00:00,SDAO/USDT,0.747,0.765,0.72,0.725,86147.67910144,63024.85010268245
1645747200,2022-02-25 00:00:00,SDAO/USDT,0.706,0.751,0.704,0.747,92614.96852136,68064.14126653262
1645660800,2022-02-24 00:00:00,SDAO/USDT,0.776,0.776,0.654,0.704,233823.35899479,161380.15032111882
1645574400,2022-02-23 00:00:00,SDAO/USDT,0.769,0.81,0.765,0.777,92029.10913381,72296.98458595827
1645488000,2022-02-22 00:00:00,SDAO/USDT,0.789,0.79,0.757,0.768,88902.92618157,68509.68638296147
1645401600,2022-02-21 00:00:00,SDAO/USDT,0.811,0.826,0.773,0.785,108719.00348052,87506.05627408435
1645315200,2022-02-20 00:00:00,SDAO/USDT,0.846,0.846,0.811,0.811,70524.75532651,58346.37680689263
1645228800,2022-02-19 00:00:00,SDAO/USDT,0.859,0.862,0.841,0.846,86984.42303407,74012.83935052844
1645142400,2022-02-18 00:00:00,SDAO/USDT,0.881,0.881,0.843,0.857,83088.13183052,71906.86318783939
1645056000,2022-02-17 00:00:00,SDAO/USDT,0.943,0.944,0.873,0.881,118728.20883741,107052.33497422177
1644969600,2022-02-16 00:00:00,SDAO/USDT,0.973,0.977,0.932,0.944,76399.69870068,72427.41386107299
1644883200,2022-02-15 00:00:00,SDAO/USDT,0.958,0.979,0.954,0.976,93231.34021637,90450.76321535868
1644796800,2022-02-14 00:00:00,SDAO/USDT,0.972,0.975,0.924,0.963,173868.07187833,163774.9034132508
1644710400,2022-02-13 00:00:00,SDAO/USDT,1.071,1.074,0.971,0.971,145112.05000968,151309.32345216587
1644624000,2022-02-12 00:00:00,SDAO/USDT,0.983,1.12,0.944,1.071,267336.6395511,271005.53409152761
1644537600,2022-02-11 00:00:00,SDAO/USDT,1.066,1.068,0.979,0.987,103352.98846069,106381.47619193241
1644451200,2022-02-10 00:00:00,SDAO/USDT,1.063,1.118,1.052,1.065,126356.44690079,136596.00973635712
1644364800,2022-02-09 00:00:00,SDAO/USDT,1.117,1.119,1.053,1.064,122669.34384844,132852.37731197015
1644278400,2022-02-08 00:00:00,SDAO/USDT,1.177,1.213,1.052,1.116,199751.11382695,225743.18480789734
1644192000,2022-02-07 00:00:00,SDAO/USDT,1.082,1.2,1.07,1.177,154408.62511916,171222.300801
1644105600,2022-02-06 00:00:00,SDAO/USDT,1.112,1.113,1.065,1.08,73768.55669244,79787.58986721035
1644019200,2022-02-05 00:00:00,SDAO/USDT,1.069,1.11,1.034,1.107,110068.3739283,116871.30205282475
1643932800,2022-02-04 00:00:00,SDAO/USDT,0.928,1.183,0.927,1.068,295775.80037321,304064.86242579027
1643846400,2022-02-03 00:00:00,SDAO/USDT,0.909,0.99,0.885,0.928,234583.36770956,221195.27827769372
