https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WNCG,Volume BTC
1648771200,2022-04-01 00:00:00,WNCG/BTC,0.00001623,0.00001898,0.00001623,0.0000187,141296.25106105,2.5269990633959696
1648684800,2022-03-31 00:00:00,WNCG/BTC,0.0000161,0.00001693,0.00001434,0.00001614,65921.10529363,1.0611912280719273
1648598400,2022-03-30 00:00:00,WNCG/BTC,0.00001604,0.00001648,0.0000156,0.00001608,18853.0538,0.303201267297
1648512000,2022-03-29 00:00:00,WNCG/BTC,0.00001726,0.00001784,0.00001553,0.00001612,28945.6305,0.478986375604
1648425600,2022-03-28 00:00:00,WNCG/BTC,0.00001774,0.00001831,0.0000172,0.0000172,26086.73429159,0.4664046248218631
1648339200,2022-03-27 00:00:00,WNCG/BTC,0.00001842,0.00001909,0.00001767,0.0000179,8813.14483445,0.1632496561748005
1648252800,2022-03-26 00:00:00,WNCG/BTC,0.00001732,0.000028,0.00001701,0.00001852,18368.27247687,0.3324081857729049
1648166400,2022-03-25 00:00:00,WNCG/BTC,0.00001774,0.0000186,0.00001671,0.00001728,19149.1512,0.342374072455
1648080000,2022-03-24 00:00:00,WNCG/BTC,0.00001638,0.0000188,0.00001636,0.00001774,35927.42305181,0.6461847430628696
1647993600,2022-03-23 00:00:00,WNCG/BTC,0.00001664,0.00001664,0.00001592,0.00001646,16046.9715,0.260014993208
1647907200,2022-03-22 00:00:00,WNCG/BTC,0.00001708,0.00001714,0.00001649,0.00001684,10149.0948,0.169994103428
1647820800,2022-03-21 00:00:00,WNCG/BTC,0.00001698,0.00001715,0.00001684,0.00001706,1389.49847145,0.023618329655934
1647734400,2022-03-20 00:00:00,WNCG/BTC,0.00001803,0.00001861,0.000017,0.000017,8911.9382,0.15848325476
1647648000,2022-03-19 00:00:00,WNCG/BTC,0.00001701,0.00001861,0.00001701,0.0000181,15263.9096,0.276001504929
1647561600,2022-03-18 00:00:00,WNCG/BTC,0.00001751,0.00001778,0.00001693,0.00001698,5047.3785,0.086625976259
1647475200,2022-03-17 00:00:00,WNCG/BTC,0.00001708,0.00001922,0.0000169,0.00001761,12291.64219313,0.2146507080597859
1647388800,2022-03-16 00:00:00,WNCG/BTC,0.0000174,0.00001782,0.00001674,0.00001697,11879.34887546,0.2066652336558936
1647302400,2022-03-15 00:00:00,WNCG/BTC,0.00001864,0.00001885,0.0000172,0.00001737,10419.281,0.186818979298
1647216000,2022-03-14 00:00:00,WNCG/BTC,0.00002029,0.00002051,0.00001832,0.00001844,8370.51208507,0.163161182408837
1647129600,2022-03-13 00:00:00,WNCG/BTC,0.00002032,0.00002066,0.00002005,0.00002026,6959.71723842,0.1419842133049314
1647043200,2022-03-12 00:00:00,WNCG/BTC,0.00002071,0.00002074,0.00002013,0.00002013,1143.2303,0.023356587747
1646956800,2022-03-11 00:00:00,WNCG/BTC,0.00002163,0.00002167,0.00002035,0.00002055,10075.04548896,0.2122595411719456
1646870400,2022-03-10 00:00:00,WNCG/BTC,0.00001997,0.0000223,0.00001985,0.00002193,32904.3521,0.685934001471
1646784000,2022-03-09 00:00:00,WNCG/BTC,0.00002115,0.00002134,0.00001902,0.00001957,11177.757,0.225265061196
1646697600,2022-03-08 00:00:00,WNCG/BTC,0.00002064,0.0000216,0.00002041,0.00002103,7591.8847,0.159446834629
1646611200,2022-03-07 00:00:00,WNCG/BTC,0.00002032,0.00002112,0.00002012,0.00002051,12849.88684978,0.2650317091649306
1646524800,2022-03-06 00:00:00,WNCG/BTC,0.00002157,0.0000216,0.00002005,0.00002029,3507.3947,0.071873907914
1646438400,2022-03-05 00:00:00,WNCG/BTC,0.00002149,0.00002194,0.00002082,0.00002121,5626.2795,0.121480249898
1646352000,2022-03-04 00:00:00,WNCG/BTC,0.00002158,0.00002166,0.00002026,0.00002126,10367.2762377,0.219055546018949
1646265600,2022-03-03 00:00:00,WNCG/BTC,0.00001937,0.00002287,0.00001926,0.00002188,35565.07320933,0.7597457648367577
1646179200,2022-03-02 00:00:00,WNCG/BTC,0.00002011,0.00002032,0.00001888,0.00001923,12087.1938,0.238218266835
1646092800,2022-03-01 00:00:00,WNCG/BTC,0.00001962,0.00002031,0.00001858,0.00002001,15403.85720519,0.2955422774458556
1646006400,2022-02-28 00:00:00,WNCG/BTC,0.00002108,0.00002141,0.00001871,0.00001955,18345.56975973,0.3822392979838137
1645920000,2022-02-27 00:00:00,WNCG/BTC,0.00002194,0.00002199,0.00002084,0.00002088,12919.5401,0.274828856559
1645833600,2022-02-26 00:00:00,WNCG/BTC,0.00002378,0.00002456,0.00002185,0.00002199,21824.5616,0.503268313935
1645747200,2022-02-25 00:00:00,WNCG/BTC,0.00002293,0.00002376,0.00002218,0.00002374,6951.0053,0.159632911469
1645660800,2022-02-24 00:00:00,WNCG/BTC,0.00002321,0.00002345,0.0000217,0.00002267,24849.1822,0.561144161826
1645574400,2022-02-23 00:00:00,WNCG/BTC,0.00002417,0.00002484,0.00002301,0.00002346,7896.3849,0.188374921282
1645488000,2022-02-22 00:00:00,WNCG/BTC,0.00002569,0.00002639,0.00002351,0.00002402,47741.5268,1.149462989003
1645401600,2022-02-21 00:00:00,WNCG/BTC,0.00002731,0.00002762,0.00002544,0.00002614,12512.1109,0.331237763968
