https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume ETH
1654081200,2022-06-01 11:00:00,LINK/ETH,0.00389864,0.00389864,0.00389864,0.00389864,0.00000000,0.0
1654077600,2022-06-01 10:00:00,LINK/ETH,0.00389864,0.00389864,0.00389864,0.00389864,0.00000000,0.0
1654074000,2022-06-01 09:00:00,LINK/ETH,0.00389864,0.00389864,0.00389864,0.00389864,23.08878823,0.0900148733450072
1654070400,2022-06-01 08:00:00,LINK/ETH,0.00390781,0.00390781,0.00390781,0.00390781,0.00000000,0.0
1654066800,2022-06-01 07:00:00,LINK/ETH,0.00390781,0.00390781,0.00390781,0.00390781,0.79796300,0.00311828779103
1654063200,2022-06-01 06:00:00,LINK/ETH,0.00391052,0.00391052,0.00391052,0.00391052,0.63127700,0.00246862133404
1654059600,2022-06-01 05:00:00,LINK/ETH,0.00389749,0.00389749,0.00389749,0.00389749,0.00000000,0.0
1654056000,2022-06-01 04:00:00,LINK/ETH,0.00389749,0.00389749,0.00389749,0.00389749,0.00000000,0.0
1654052400,2022-06-01 03:00:00,LINK/ETH,0.00389749,0.00389749,0.00389749,0.00389749,0.00000000,0.0
1654048800,2022-06-01 02:00:00,LINK/ETH,0.00389749,0.00389749,0.00389749,0.00389749,0.00000000,0.0
1654045200,2022-06-01 01:00:00,LINK/ETH,0.00389749,0.00389749,0.00389749,0.00389749,0.00000000,0.0
1654041600,2022-06-01 00:00:00,LINK/ETH,0.00389749,0.00389749,0.00389749,0.00389749,3.70247111,0.0144303441265139
1654038000,2022-05-31 23:00:00,LINK/ETH,0.00393238,0.00393238,0.00393238,0.00393238,0.00000000,0.0
1654034400,2022-05-31 22:00:00,LINK/ETH,0.00393000,0.00393238,0.00393000,0.00393238,1.69167500,0.0066523089365
1654030800,2022-05-31 21:00:00,LINK/ETH,0.00373601,0.00373601,0.00373601,0.00373601,0.00000000,0.0
1654027200,2022-05-31 20:00:00,LINK/ETH,0.00373601,0.00373601,0.00373601,0.00373601,0.00000000,0.0
1654023600,2022-05-31 19:00:00,LINK/ETH,0.00373601,0.00373601,0.00373601,0.00373601,0.00000000,0.0
1654020000,2022-05-31 18:00:00,LINK/ETH,0.00373601,0.00373601,0.00373601,0.00373601,0.00000000,0.0
1654016400,2022-05-31 17:00:00,LINK/ETH,0.00373601,0.00373601,0.00373601,0.00373601,0.00000000,0.0
