https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BICO,Volume USDT
1650326400,2022-04-19 00:00:00,BICO/USDT,1.315,1.375,1.298,1.365,77295.52843503,102998.09323581813
1650240000,2022-04-18 00:00:00,BICO/USDT,1.325,1.334,1.224,1.314,148265.97513152,188862.92307904226
1650153600,2022-04-17 00:00:00,BICO/USDT,1.346,1.451,1.315,1.324,167048.49254533,230227.47981528903
1650067200,2022-04-16 00:00:00,BICO/USDT,1.34,1.358,1.323,1.348,81335.91408274,108941.55712040507
1649980800,2022-04-15 00:00:00,BICO/USDT,1.358,1.375,1.329,1.341,75728.10375256,102452.66949220417
1649894400,2022-04-14 00:00:00,BICO/USDT,1.4,1.431,1.335,1.355,159399.31957493,221484.5948018116
1649808000,2022-04-13 00:00:00,BICO/USDT,1.36,1.42,1.346,1.403,121517.8294192,168025.37614203778
1649721600,2022-04-12 00:00:00,BICO/USDT,1.317,1.416,1.316,1.363,170945.8339558,234092.93284707162
1649635200,2022-04-11 00:00:00,BICO/USDT,1.492,1.503,1.301,1.314,135283.20434019,189989.88982995527
1649548800,2022-04-10 00:00:00,BICO/USDT,1.58,1.597,1.488,1.497,110259.24496121,170022.28856003199
1649462400,2022-04-09 00:00:00,BICO/USDT,1.531,1.59,1.511,1.583,69031.36600536,106847.9848078276
1649376000,2022-04-08 00:00:00,BICO/USDT,1.618,1.676,1.506,1.53,169522.92036844,271953.23099368424
1649289600,2022-04-07 00:00:00,BICO/USDT,1.562,1.66,1.523,1.618,165840.2214439,265763.76137765231
1649203200,2022-04-06 00:00:00,BICO/USDT,1.805,1.829,1.54,1.562,313979.68708162,529337.22421463655
1649116800,2022-04-05 00:00:00,BICO/USDT,1.86,2.047,1.801,1.805,314428.50673239,610950.35403424956
1649030400,2022-04-04 00:00:00,BICO/USDT,1.893,1.917,1.756,1.86,194917.13812391,359484.13534719492
1648944000,2022-04-03 00:00:00,BICO/USDT,2.052,2.162,1.849,1.892,426399.58195691,845496.73358556846
1648857600,2022-04-02 00:00:00,BICO/USDT,1.695,2.35,1.694,2.05,797290.61511359,1600557.89238428734
1648771200,2022-04-01 00:00:00,BICO/USDT,1.593,1.708,1.514,1.697,128685.52886273,210397.02057134038
1648684800,2022-03-31 00:00:00,BICO/USDT,1.742,1.839,1.47,1.595,252630.58909451,421725.28691597715
1648598400,2022-03-30 00:00:00,BICO/USDT,1.682,1.782,1.527,1.744,320553.40383944,545364.48609937564
1648512000,2022-03-29 00:00:00,BICO/USDT,1.595,1.746,1.595,1.686,170217.18001964,281610.67569326597
1648425600,2022-03-28 00:00:00,BICO/USDT,1.59,1.712,1.57,1.595,209882.7053353,346741.22735944067
1648339200,2022-03-27 00:00:00,BICO/USDT,1.519,1.75,1.506,1.596,286098.64366626,453033.97162431157
1648252800,2022-03-26 00:00:00,BICO/USDT,1.508,1.541,1.4,1.519,136326.70988136,204639.00263492591
1648166400,2022-03-25 00:00:00,BICO/USDT,1.2,1.63,1.2,1.508,553132.97447398,856949.46856667131
