https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALAX3S,Volume USDT
1651363200,2022-05-01 00:00:00,GALAX3S/USDT,10.0244,10.5,7.0539,7.5662,42630.93774233,370892.164277823254
1651276800,2022-04-30 00:00:00,GALAX3S/USDT,6.8066,11,6.5059,10.0244,35828.45219912,289640.061450792086
1651190400,2022-04-29 00:00:00,GALAX3S/USDT,5.4424,7.0996,5.2246,6.8167,33330.09333548,205182.804214082632
1651104000,2022-04-28 00:00:00,GALAX3S/USDT,5.1249,5.8064,4.9515,5.455,41795.36314244,225386.28768354675
1651017600,2022-04-27 00:00:00,GALAX3S/USDT,6.039,6.0812,4.9758,5.1249,30960.68923484,168974.481074102771
1650931200,2022-04-26 00:00:00,GALAX3S/USDT,4.6165,6.2183,4.4814,6.039,43929.46182264,231634.095383772093
1650844800,2022-04-25 00:00:00,GALAX3S/USDT,4.3392,5.4879,4.33,4.6286,35363.69955446,175086.979812438797
1650758400,2022-04-24 00:00:00,GALAX3S/USDT,4.249,4.4659,4.167,4.3476,22535.97316889,97062.680486436061
1650672000,2022-04-23 00:00:00,GALAX3S/USDT,3.9833,4.39,3.9498,4.2624,30974.48084176,128937.255826562306
1650585600,2022-04-22 00:00:00,GALAX3S/USDT,4.1692,4.3721,3.86,3.9849,40523.37158779,167807.540318982758
1650499200,2022-04-21 00:00:00,GALAX3S/USDT,3.8102,4.3798,3.4413,4.1691,52649.74523924,200934.909904325527
1650412800,2022-04-20 00:00:00,GALAX3S/USDT,3.5949,4.0182,3.0622,3.8116,86085.70073338,310803.571774114776
1650326400,2022-04-19 00:00:00,GALAX3S/USDT,3.861,4.0403,3.4347,3.5949,51278.37800022,188536.580403042831
1650240000,2022-04-18 00:00:00,GALAX3S/USDT,4.0399,4.7487,3.7824,3.8783,70860.34227968,299993.935875044328
1650153600,2022-04-17 00:00:00,GALAX3S/USDT,3.5206,4.1295,3.4567,4.0332,32797.61702481,121319.056744059074
1650067200,2022-04-16 00:00:00,GALAX3S/USDT,3.5753,3.702,3.3847,3.5167,22925.03272991,81204.570267252264
1649980800,2022-04-15 00:00:00,GALAX3S/USDT,3.7837,3.7837,3.5174,3.5753,24027.40323856,87545.718407927283
1649894400,2022-04-14 00:00:00,GALAX3S/USDT,3.3254,3.888,3.1762,3.776,52904.67472054,188343.039557350212
1649808000,2022-04-13 00:00:00,GALAX3S/USDT,3.6337,3.8523,3.2542,3.342,61461.67358585,219096.599203034306
1649721600,2022-04-12 00:00:00,GALAX3S/USDT,4.2113,4.28,3.2539,3.6298,89087.30556356,333521.828787687091
1649635200,2022-04-11 00:00:00,GALAX3S/USDT,3.2203,4.3018,3.0867,4.2113,131635.01489109,490674.994491010246
1649548800,2022-04-10 00:00:00,GALAX3S/USDT,2.7967,3.2268,2.7637,3.203,70734.65572827,210582.434056005061
1649462400,2022-04-09 00:00:00,GALAX3S/USDT,3.361,3.4525,2.75,2.8,61990.37513518,195314.217368211933
1649376000,2022-04-08 00:00:00,GALAX3S/USDT,2.8734,3.5029,2.7627,3.3862,105386.96507526,328310.421381189152
1649289600,2022-04-07 00:00:00,GALAX3S/USDT,3.206,3.3746,2.75,2.8732,97695.07670597,294848.864172020927
1649203200,2022-04-06 00:00:00,GALAX3S/USDT,2.3921,3.254,2.3613,3.2045,192613.85796948,538752.576175184867
1649116800,2022-04-05 00:00:00,GALAX3S/USDT,2.1786,2.3989,2.005,2.3846,115941.87371181,254455.122107462769
1649030400,2022-04-04 00:00:00,GALAX3S/USDT,1.9455,2.444,1.941,2.1744,192502.65900424,418020.028762344875
1648944000,2022-04-03 00:00:00,GALAX3S/USDT,2.2253,2.3349,1.8528,1.9455,169858.34485391,349893.933568383963
1648857600,2022-04-02 00:00:00,GALAX3S/USDT,2.0609,2.2333,1.6762,2.2269,179332.92609481,354377.040905078343
