https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume EUR
1650067200,2022-04-16 00:00:00,ADA/EUR,0.88303,0.88785,0.88303,0.88785,596.65416591,529.7394012031934
1650063600,2022-04-15 23:00:00,ADA/EUR,0.87901,0.87901,0.87901,0.87901,60.93000000,53.558079299999996
1650060000,2022-04-15 22:00:00,ADA/EUR,0.88082,0.88217,0.88022,0.88022,370.02629917,325.70454905541743
1650056400,2022-04-15 21:00:00,ADA/EUR,0.88471,0.88471,0.88227,0.88330,3831.20660320,3384.10479260656
1650052800,2022-04-15 20:00:00,ADA/EUR,0.88439,0.88439,0.88316,0.88316,136.82655419,120.83973959844039
1650049200,2022-04-15 19:00:00,ADA/EUR,0.87983,0.88122,0.87767,0.88122,1300.46781775,1145.998250357655
1650045600,2022-04-15 18:00:00,ADA/EUR,0.88432,0.88432,0.88054,0.88054,751.05365518,661.3327855321971
1650042000,2022-04-15 17:00:00,ADA/EUR,0.88681,0.88699,0.88384,0.88643,329.40842200,291.99750751346
1650038400,2022-04-15 16:00:00,ADA/EUR,0.88264,0.88285,0.87801,0.88006,501.44478341,441.3014960878046
1650034800,2022-04-15 15:00:00,ADA/EUR,0.88373,0.88474,0.88101,0.88474,5742.52065634,5080.637725490251
1650031200,2022-04-15 14:00:00,ADA/EUR,0.87451,0.88486,0.87058,0.88486,1544.22706961,1366.4247648151045
1650027600,2022-04-15 13:00:00,ADA/EUR,0.88071,0.88127,0.87308,0.87308,458.97634779,400.72306972849316
1650024000,2022-04-15 12:00:00,ADA/EUR,0.88039,0.88051,0.88015,0.88015,5578.82163611,4910.199863022217
1650020400,2022-04-15 11:00:00,ADA/EUR,0.88176,0.88176,0.87706,0.87914,3834.59666417,3371.147311338414
1650016800,2022-04-15 10:00:00,ADA/EUR,0.87617,0.88006,0.87617,0.87868,323.65345305,284.387816125974
1650013200,2022-04-15 09:00:00,ADA/EUR,0.87732,0.87732,0.87482,0.87730,96.25652342,84.445847996366
1650009600,2022-04-15 08:00:00,ADA/EUR,0.88157,0.88157,0.87530,0.87794,3784.84141138,3322.8636687069575
1650006000,2022-04-15 07:00:00,ADA/EUR,0.87395,0.88455,0.87395,0.88190,1635.44698180,1442.30069324942
1650002400,2022-04-15 06:00:00,ADA/EUR,0.88244,0.88244,0.87355,0.87648,7695.31903298,6744.793226026311
1649998800,2022-04-15 05:00:00,ADA/EUR,0.88211,0.88435,0.88211,0.88279,1090.66582600,962.8288845345398
1649995200,2022-04-15 04:00:00,ADA/EUR,0.88047,0.88256,0.87797,0.87797,57333.06521387,50336.71126582145
1649991600,2022-04-15 03:00:00,ADA/EUR,0.86478,0.86478,0.86478,0.86478,0.00000000,0.0
1649988000,2022-04-15 02:00:00,ADA/EUR,0.86478,0.86478,0.86478,0.86478,0.00000000,0.0
1649984400,2022-04-15 01:00:00,ADA/EUR,0.86478,0.86478,0.86478,0.86478,0.00000000,0.0
1649980800,2022-04-15 00:00:00,ADA/EUR,0.86478,0.86478,0.86478,0.86478,30.76000000,26.6006328
1649977200,2022-04-14 23:00:00,ADA/EUR,0.86472,0.86472,0.86472,0.86472,0.00000000,0.0
1649973600,2022-04-14 22:00:00,ADA/EUR,0.86668,0.86788,0.86472,0.86472,165.20221983,142.8536635313976
