https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KAR,Volume USDT
1648598400,2022-03-30 00:00:00,KAR/USDT,1.6653,1.72,1.6222,1.69,139834.60466196,232885.617405120053
1648512000,2022-03-29 00:00:00,KAR/USDT,1.592,1.708,1.5818,1.6663,132619.79120059,218464.012132020932
1648425600,2022-03-28 00:00:00,KAR/USDT,1.666,1.7172,1.59,1.6001,138698.46724613,231553.147747587651
1648339200,2022-03-27 00:00:00,KAR/USDT,1.4546,1.7,1.4449,1.665,320711.70695058,524207.932914387933
1648252800,2022-03-26 00:00:00,KAR/USDT,1.458,1.492,1.4277,1.4449,45218.60686398,66216.028600547318
1648166400,2022-03-25 00:00:00,KAR/USDT,1.5014,1.5699,1.4202,1.457,181956.54350514,272558.532691565758
1648080000,2022-03-24 00:00:00,KAR/USDT,1.3919,1.528,1.3751,1.496,93726.47894233,135449.85148482011
1647993600,2022-03-23 00:00:00,KAR/USDT,1.3434,1.41,1.33,1.386,42476.52907618,58403.060371947121
1647907200,2022-03-22 00:00:00,KAR/USDT,1.382,1.413,1.3161,1.353,54382.76767833,74063.037609871484
1647820800,2022-03-21 00:00:00,KAR/USDT,1.4247,1.4421,1.36,1.382,39661.33821574,55654.590572749922
1647734400,2022-03-20 00:00:00,KAR/USDT,1.4716,1.496,1.3572,1.4247,48722.95155378,69058.525061079201
1647648000,2022-03-19 00:00:00,KAR/USDT,1.46,1.61,1.3852,1.4724,79172.27769347,114820.06116633293
1647561600,2022-03-18 00:00:00,KAR/USDT,1.3111,1.4618,1.2794,1.454,38301.04131991,52437.171744880102
1647475200,2022-03-17 00:00:00,KAR/USDT,1.25,1.3407,1.2372,1.3115,55187.70390846,71206.424118895073
1647388800,2022-03-16 00:00:00,KAR/USDT,1.2112,1.3108,1.1597,1.25,97231.89621836,119774.983969337491
1647302400,2022-03-15 00:00:00,KAR/USDT,1.2181,1.2516,1.1582,1.2111,53263.00427943,63996.81025564755
1647216000,2022-03-14 00:00:00,KAR/USDT,1.2457,1.2812,1.1813,1.2178,71731.19365516,87534.214870154429
1647129600,2022-03-13 00:00:00,KAR/USDT,1.2937,1.3061,1.24,1.2482,15880.64875841,20247.32863722782
1647043200,2022-03-12 00:00:00,KAR/USDT,1.2742,1.3124,1.2566,1.2946,20200.48909928,25954.174887412102
1646956800,2022-03-11 00:00:00,KAR/USDT,1.3209,1.351,1.2668,1.2822,39855.39133172,51738.103203210622
1646870400,2022-03-10 00:00:00,KAR/USDT,1.4062,1.4553,1.2962,1.3236,55450.25009735,73949.602550599479
1646784000,2022-03-09 00:00:00,KAR/USDT,1.2824,1.4284,1.2824,1.4018,129159.41152507,176642.977010051978
1646697600,2022-03-08 00:00:00,KAR/USDT,1.3058,1.3564,1.2766,1.2824,55110.28881629,72479.676279769122
1646611200,2022-03-07 00:00:00,KAR/USDT,1.3411,1.3945,1.2698,1.3058,40065.16395197,52664.002527790263
1646524800,2022-03-06 00:00:00,KAR/USDT,1.3193,1.3882,1.2576,1.3489,75357.65515679,99901.898279131493
1646438400,2022-03-05 00:00:00,KAR/USDT,1.29,1.3388,1.2764,1.3116,26599.90694144,34666.563631918198
1646352000,2022-03-04 00:00:00,KAR/USDT,1.3834,1.3882,1.2509,1.3001,48025.59706734,63952.979506254691
1646265600,2022-03-03 00:00:00,KAR/USDT,1.428,1.508,1.362,1.382,77637.27220585,112578.210545379116
1646179200,2022-03-02 00:00:00,KAR/USDT,1.485,1.5129,1.3505,1.428,129534.54948651,184349.109764347882
1646092800,2022-03-01 00:00:00,KAR/USDT,1.4414,1.6,1.2714,1.4766,237747.42095559,338129.977472658997
1646006400,2022-02-28 00:00:00,KAR/USDT,1.3565,1.45,1.2177,1.4334,182006.02853151,244940.418554695628
1645920000,2022-02-27 00:00:00,KAR/USDT,1.4625,1.49,1.3282,1.3568,58923.01402237,82676.816615677765
1645833600,2022-02-26 00:00:00,KAR/USDT,1.503,1.5893,1.3674,1.4698,105704.05174584,158455.800349682681
1645747200,2022-02-25 00:00:00,KAR/USDT,1.3637,1.5261,1.3637,1.5063,79084.73747164,114765.40254573029
1645660800,2022-02-24 00:00:00,KAR/USDT,1.4505,1.4711,1.17,1.3643,214997.93319674,281864.265053822625
1645574400,2022-02-23 00:00:00,KAR/USDT,1.2035,1.6616,1.1816,1.4577,318267.28576553,465430.620731552708
1645488000,2022-02-22 00:00:00,KAR/USDT,1.3027,1.3491,1.2035,1.205,111871.03229614,143082.181768651754
1645401600,2022-02-21 00:00:00,KAR/USDT,1.4273,1.4755,1.29,1.2917,91668.32602515,126622.943379021564
1645315200,2022-02-20 00:00:00,KAR/USDT,1.4779,1.4779,1.345,1.4182,71974.86444026,99971.94487774434
1645228800,2022-02-19 00:00:00,KAR/USDT,1.5323,1.56,1.431,1.4674,58654.03171245,87602.44967384453
1645142400,2022-02-18 00:00:00,KAR/USDT,1.5075,1.5795,1.5,1.5323,95964.75377214,147844.252755070631
1645056000,2022-02-17 00:00:00,KAR/USDT,1.7082,1.7444,1.4852,1.5003,118778.97159729,191583.803451682816
1644969600,2022-02-16 00:00:00,KAR/USDT,1.7391,1.7678,1.661,1.7037,87317.6077876,149224.386065996111
1644883200,2022-02-15 00:00:00,KAR/USDT,1.7095,1.8399,1.6797,1.738,91946.47504577,162861.923423738532
1644796800,2022-02-14 00:00:00,KAR/USDT,1.6988,1.83,1.6418,1.7121,117555.34915449,204157.348686371889
1644710400,2022-02-13 00:00:00,KAR/USDT,1.747,1.7784,1.67,1.6917,55421.38367996,95673.980703791021
1644624000,2022-02-12 00:00:00,KAR/USDT,1.76,1.837,1.68,1.7582,55484.73123016,96860.515732661991
1644537600,2022-02-11 00:00:00,KAR/USDT,1.8569,1.9646,1.7433,1.7643,69740.01422502,130715.296235512283
1644451200,2022-02-10 00:00:00,KAR/USDT,2.0039,2.018,1.848,1.8576,58518.4797547,112661.815417079173
1644364800,2022-02-09 00:00:00,KAR/USDT,1.98,2.134,1.881,1.9927,79918.43787889,156916.532060891424
1644278400,2022-02-08 00:00:00,KAR/USDT,2.1009,2.1999,1.9244,1.98,75607.15092628,155323.748796782425
1644192000,2022-02-07 00:00:00,KAR/USDT,2.0991,2.25,2.0625,2.105,145686.55668912,307969.96547958157
1644105600,2022-02-06 00:00:00,KAR/USDT,2.1268,2.1602,2.0373,2.101,101566.39208329,212253.483591966439
1644019200,2022-02-05 00:00:00,KAR/USDT,2.0505,2.1433,2.0328,2.1187,152242.74494263,319532.097225899029
1643932800,2022-02-04 00:00:00,KAR/USDT,1.85,2.0797,1.8049,2.0648,147457.16540276,293114.034697520765
1643846400,2022-02-03 00:00:00,KAR/USDT,1.83,1.8579,1.76,1.847,44391.92277374,80667.447044232671
1643760000,2022-02-02 00:00:00,KAR/USDT,1.9904,2.0988,1.81,1.8259,97166.55538853,189501.229632739798
1643673600,2022-02-01 00:00:00,KAR/USDT,1.8966,2.1372,1.884,2.002,157344.93241457,315655.32589705763
1643587200,2022-01-31 00:00:00,KAR/USDT,1.9716,1.9749,1.81,1.8966,113690.34744233,215284.641717322277
1643500800,2022-01-30 00:00:00,KAR/USDT,1.8697,2.1808,1.8697,1.9716,302788.6522437,602591.943206692267
1643414400,2022-01-29 00:00:00,KAR/USDT,1.9199,2.123,1.8359,1.8594,97907.9776233,187367.766330128797
1643328000,2022-01-28 00:00:00,KAR/USDT,1.778,1.9473,1.7394,1.9081,165113.37485468,308306.527422025176
1643241600,2022-01-27 00:00:00,KAR/USDT,1.7815,1.8716,1.6231,1.7667,137014.63273678,240896.04653913917
1643155200,2022-01-26 00:00:00,KAR/USDT,1.9388,2.02,1.7637,1.7935,192443.65012007,368936.349336288377
1643068800,2022-01-25 00:00:00,KAR/USDT,2.1612,2.2609,1.9004,1.9369,277924.86223029,563376.615993035133
1642982400,2022-01-24 00:00:00,KAR/USDT,2.3037,2.3295,1.8801,2.1511,120173.60270719,245528.879242162821
1642896000,2022-01-23 00:00:00,KAR/USDT,2.2235,2.4233,2.156,2.3037,96160.65267319,222161.926985695657
