https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DPET,Volume USDT
1644969600,2022-02-16 00:00:00,DPET/USDT,0.4872,0.491,0.4608,0.4744,112307.02042785,53282.280457629064
1644883200,2022-02-15 00:00:00,DPET/USDT,0.4561,0.4998,0.4537,0.4897,126485.72752284,60361.102461436636
1644796800,2022-02-14 00:00:00,DPET/USDT,0.4471,0.499,0.4278,0.4545,151128.28464284,69286.177928100696
1644710400,2022-02-13 00:00:00,DPET/USDT,0.4568,0.4655,0.4368,0.4447,149575.15930073,68262.733069641323
1644624000,2022-02-12 00:00:00,DPET/USDT,0.4504,0.4823,0.4489,0.4587,119884.94398596,55542.562786313523
1644537600,2022-02-11 00:00:00,DPET/USDT,0.4861,0.491,0.4453,0.4525,101612.15642668,48267.323663240436
1644451200,2022-02-10 00:00:00,DPET/USDT,0.5054,0.5214,0.4817,0.4892,107923.06582052,53915.429216468741
1644364800,2022-02-09 00:00:00,DPET/USDT,0.5203,0.524,0.4892,0.5081,100394.7596161,51131.506894005982
1644278400,2022-02-08 00:00:00,DPET/USDT,0.5471,0.5646,0.52,0.5203,66055.3217022,35502.848298412163
1644192000,2022-02-07 00:00:00,DPET/USDT,0.5279,0.65,0.5206,0.5478,375103.69338789,210273.265361677088
1644105600,2022-02-06 00:00:00,DPET/USDT,0.5267,0.59,0.5108,0.5295,205623.16821767,110090.630712504431
1644019200,2022-02-05 00:00:00,DPET/USDT,0.4914,0.5419,0.4895,0.5283,139990.41540418,72936.40621997226
1643932800,2022-02-04 00:00:00,DPET/USDT,0.4823,0.5368,0.4602,0.4938,137798.23706586,66711.513517479181
1643846400,2022-02-03 00:00:00,DPET/USDT,0.4809,0.4979,0.4375,0.485,177124.147892,81164.260654566766
1643760000,2022-02-02 00:00:00,DPET/USDT,0.4844,0.5126,0.4646,0.4834,111409.4854941,54085.318697804781
