https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WXT,Volume USDT
1650067200,2022-04-16 00:00:00,WXT/USDT,0.007741,0.008294,0.007741,0.008257,12545191.22872277,101478.69500572331891
1649980800,2022-04-15 00:00:00,WXT/USDT,0.00767,0.008041,0.007401,0.007771,15409424.15456948,118079.89442673020551
1649894400,2022-04-14 00:00:00,WXT/USDT,0.007175,0.008075,0.006811,0.00767,30045487.27255607,222591.64250915528469
1649808000,2022-04-13 00:00:00,WXT/USDT,0.007276,0.0074,0.006654,0.007148,23547559.97337398,164072.8270597485962
1649721600,2022-04-12 00:00:00,WXT/USDT,0.006347,0.0074,0.006279,0.00728,15867705.22480624,107303.1241483636488
1649635200,2022-04-11 00:00:00,WXT/USDT,0.00761,0.007657,0.006248,0.00637,34594195.28156589,235566.18846971026804
1649548800,2022-04-10 00:00:00,WXT/USDT,0.006396,0.007888,0.006347,0.007605,31123746.18230755,219067.72471780480175
1649462400,2022-04-09 00:00:00,WXT/USDT,0.006238,0.00642,0.006125,0.00642,8609525.77518896,54062.1511462322642
1649376000,2022-04-08 00:00:00,WXT/USDT,0.006298,0.006319,0.00608,0.006238,6148798.29406097,38330.67486574504306
1649289600,2022-04-07 00:00:00,WXT/USDT,0.005901,0.006298,0.005871,0.00627,8001778.29525469,48430.88357336267252
1649203200,2022-04-06 00:00:00,WXT/USDT,0.006295,0.006299,0.005613,0.005901,18336350.12708218,107786.71172275386396
1649116800,2022-04-05 00:00:00,WXT/USDT,0.006337,0.006445,0.006158,0.006272,8496313.6126028,53781.40288568740222
1649030400,2022-04-04 00:00:00,WXT/USDT,0.006291,0.006378,0.006056,0.006346,10949199.99500458,67989.27241019124311
1648944000,2022-04-03 00:00:00,WXT/USDT,0.006319,0.006348,0.006101,0.006291,7351833.85249533,45946.49535466398152
1648857600,2022-04-02 00:00:00,WXT/USDT,0.00633,0.00661,0.006061,0.0063,12156329.67607743,76575.54659953362482
1648771200,2022-04-01 00:00:00,WXT/USDT,0.00589,0.006504,0.005614,0.006308,19132563.0892404,116796.32885641546681
1648684800,2022-03-31 00:00:00,WXT/USDT,0.005773,0.006076,0.005585,0.005905,23088915.33894609,135062.84463868170035
1648598400,2022-03-30 00:00:00,WXT/USDT,0.005694,0.005941,0.005571,0.005773,17872810.94108602,102926.2149195722045
1648512000,2022-03-29 00:00:00,WXT/USDT,0.005301,0.005712,0.0053,0.005696,15042057.90397957,83615.99923867372047
1648425600,2022-03-28 00:00:00,WXT/USDT,0.005235,0.005352,0.0052,0.0053,14793174.56437744,77701.19404039131439
1648339200,2022-03-27 00:00:00,WXT/USDT,0.004984,0.005264,0.004766,0.005235,22114380.05601281,111440.33730591391253
1648252800,2022-03-26 00:00:00,WXT/USDT,0.004812,0.004984,0.004656,0.004984,6970582.29998019,33544.32327929863774
1648166400,2022-03-25 00:00:00,WXT/USDT,0.004851,0.004887,0.004693,0.004826,5572225.44326812,26733.11153860632111
1648080000,2022-03-24 00:00:00,WXT/USDT,0.00445,0.004963,0.004439,0.004866,16104285.40162872,76814.27699607010871
1647993600,2022-03-23 00:00:00,WXT/USDT,0.004472,0.004492,0.004341,0.004442,6742690.85157287,29762.29827137615636
1647907200,2022-03-22 00:00:00,WXT/USDT,0.004347,0.004574,0.0043,0.004471,10616376.50905723,47156.29905478546184
1647820800,2022-03-21 00:00:00,WXT/USDT,0.004298,0.004366,0.004172,0.004347,4760452.15104224,20442.63120497622457
1647734400,2022-03-20 00:00:00,WXT/USDT,0.00398,0.004499,0.003959,0.004299,18712678.28118176,79935.16055054722098
1647648000,2022-03-19 00:00:00,WXT/USDT,0.003839,0.004012,0.003699,0.00398,14242848.13830282,54327.67196985522782
1647561600,2022-03-18 00:00:00,WXT/USDT,0.003803,0.003876,0.003658,0.003828,12665912.3104228,47940.48504519947739
1647475200,2022-03-17 00:00:00,WXT/USDT,0.003661,0.00388,0.003641,0.003788,10092753.91175997,37696.98874102825115
1647388800,2022-03-16 00:00:00,WXT/USDT,0.0036,0.003698,0.003451,0.003665,13403784.13467318,48008.4203728401707
1647302400,2022-03-15 00:00:00,WXT/USDT,0.003566,0.00361,0.003505,0.0036,6547482.23262351,23258.77157853116259
1647216000,2022-03-14 00:00:00,WXT/USDT,0.003552,0.00358,0.003387,0.003557,12708271.6474651,44089.60913891280877
1647129600,2022-03-13 00:00:00,WXT/USDT,0.003589,0.003617,0.003521,0.003554,4325266.15647246,15419.4491514965666
1647043200,2022-03-12 00:00:00,WXT/USDT,0.003481,0.003599,0.003467,0.003589,5799038.84491453,20434.57337889123999
1646956800,2022-03-11 00:00:00,WXT/USDT,0.003435,0.003564,0.003385,0.003481,7700535.64890728,26778.8359705821898
1646870400,2022-03-10 00:00:00,WXT/USDT,0.003548,0.003567,0.003393,0.003435,5953859.61509896,20778.09873364423621
