https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume WAVES
1654473600000,2022-06-06 00:00:00,WAVES/ETH,0.00449214,0.00478428,0.00430102,0.00447107,185.1327239753094,41406.80507693
1654387200000,2022-06-05 00:00:00,WAVES/ETH,0.00490283,0.00495487,0.0044419,0.00448677,187.04358760616742,41687.80383353
1654300800000,2022-06-04 00:00:00,WAVES/ETH,0.00551106,0.00577,0.00489612,0.00491201,212.34324707707665,43229.40040372
1654214400000,2022-06-03 00:00:00,WAVES/ETH,0.00519061,0.00583969,0.00510741,0.00551831,242.73843413565388,43987.82129595
1654128000000,2022-06-02 00:00:00,WAVES/ETH,0.00506401,0.00567739,0.00482728,0.00520025,225.71548970504827,43404.73817702
1654041600000,2022-06-01 00:00:00,WAVES/ETH,0.00462955,0.00584784,0.0035,0.00505809,264.2840219115972,52249.76659403
1653955200000,2022-05-31 00:00:00,WAVES/ETH,0.0038043,0.0051336,0.0032583,0.00461964,202.7669958231017,43892.38032035
1653868800000,2022-05-30 00:00:00,WAVES/ETH,0.00245997,0.00384596,0.00241398,0.00380317,166.2347550177504,43709.52521653
1653782400000,2022-05-29 00:00:00,WAVES/ETH,0.00246761,0.00247744,0.00235404,0.00245932,101.10763012078903,41112.02695086
1653696000000,2022-05-28 00:00:00,WAVES/ETH,0.00255498,0.00261775,0.00244029,0.00246251,103.74257896119207,42128.79499421
1653609600000,2022-05-27 00:00:00,WAVES/ETH,0.00270792,0.00271012,0.00243137,0.00255184,107.01813898701002,41937.63675897
1653523200000,2022-05-26 00:00:00,WAVES/ETH,0.00281747,0.00284033,0.00262683,0.00270073,114.50978457396991,42399.56773686
1653436800000,2022-05-25 00:00:00,WAVES/ETH,0.00284372,0.00304,0.00274,0.0028178,119.14447073996917,42282.79889984
1653350400000,2022-05-24 00:00:00,WAVES/ETH,0.0028543,0.00301073,0.00274748,0.00284844,106.94642116294538,37545.61133917
1653264000000,2022-05-23 00:00:00,WAVES/ETH,0.00289597,0.00329473,0.00284087,0.00286029,124.03908180893401,43365.91108207
1653177600000,2022-05-22 00:00:00,WAVES/ETH,0.00293323,0.00303586,0.00285817,0.00289852,118.12064895358803,40752.05586078
1653091200000,2022-05-21 00:00:00,WAVES/ETH,0.0029469,0.0029806,0.002818,0.00293413,126.02449708460627,42951.23156936
1653004800000,2022-05-20 00:00:00,WAVES/ETH,0.00309443,0.00311572,0.0028983,0.00294661,127.16856083968332,43157.58136967
1652918400000,2022-05-19 00:00:00,WAVES/ETH,0.00323038,0.0035,0.003,0.00310207,132.02298209561133,42559.63988421
1652832000000,2022-05-18 00:00:00,WAVES/ETH,0.00327088,0.00353229,0.0032,0.00321335,138.7912146902197,43192.0627041
1652745600000,2022-05-17 00:00:00,WAVES/ETH,0.00320568,0.00338864,0.00315045,0.00328554,137.48295584011092,41844.85833078
1652659200000,2022-05-16 00:00:00,WAVES/ETH,0.00337905,0.00337905,0.00314176,0.00320584,133.70554393090467,41706.86744532
1652572800000,2022-05-15 00:00:00,WAVES/ETH,0.00345905,0.00345905,0.00322357,0.00338112,148.24546076750693,43845.07523173
1652486400000,2022-05-14 00:00:00,WAVES/ETH,0.00349728,0.00365,0.00321918,0.00345364,147.92409956007225,42831.36040817
1652400000000,2022-05-13 00:00:00,WAVES/ETH,0.00339581,0.00390512,0.00327105,0.00350039,157.75593477921086,45068.10234837
1652313600000,2022-05-12 00:00:00,WAVES/ETH,0.00381492,0.00419212,0.00333201,0.00339789,148.39460579359346,43672.57497847
1652227200000,2022-05-11 00:00:00,WAVES/ETH,0.00508141,0.00512907,0.00341417,0.0038113,198.18551560696656,51999.45310182
1652140800000,2022-05-10 00:00:00,WAVES/ETH,0.00546823,0.00558751,0.00497394,0.0050716,221.9794980957316,43769.12573857
1652054400000,2022-05-09 00:00:00,WAVES/ETH,0.00512509,0.00606683,0.0051134,0.00542884,251.32541397548002,46294.49642566
1651968000000,2022-05-08 00:00:00,WAVES/ETH,0.00501512,0.00523,0.00467899,0.00513006,221.53466096537764,43183.63936589
1651881600000,2022-05-07 00:00:00,WAVES/ETH,0.00522456,0.0055,0.00460102,0.00503157,209.5087418777084,41638.84073514
1651795200000,2022-05-06 00:00:00,WAVES/ETH,0.00499902,0.00537443,0.00481114,0.0052511,226.9875584501006,43226.66840283
1651708800000,2022-05-05 00:00:00,WAVES/ETH,0.00526403,0.00578266,0.0048,0.00499807,216.01694753996,43220.07245596
1651622400000,2022-05-04 00:00:00,WAVES/ETH,0.00430569,0.0055,0.00425011,0.00525778,223.08298083805286,42429.12043449
1651536000000,2022-05-03 00:00:00,WAVES/ETH,0.00437685,0.00484,0.00425,0.00430294,175.78039318440648,40851.23036445
