https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FRM,Volume USDT
1650067200,2022-04-16 00:00:00,FRM/USDT,0.0742,0.0749,0.0725,0.0731,3524552.3739184,260110.388582719639
1649980800,2022-04-15 00:00:00,FRM/USDT,0.0736,0.0744,0.0723,0.0743,3884440.10382729,284778.202912547219
1649894400,2022-04-14 00:00:00,FRM/USDT,0.0764,0.0774,0.0721,0.0736,3782152.31640744,282494.951931447035
1649808000,2022-04-13 00:00:00,FRM/USDT,0.0755,0.079,0.072,0.0764,5374255.01760646,407096.457807579508
1649721600,2022-04-12 00:00:00,FRM/USDT,0.0819,0.0832,0.0721,0.0755,5350336.19051392,420109.354762482875
1649635200,2022-04-11 00:00:00,FRM/USDT,0.0901,0.0975,0.0806,0.0818,4944169.68592155,424620.683988073174
1649548800,2022-04-10 00:00:00,FRM/USDT,0.0808,0.0982,0.0807,0.0901,6763871.82691844,602851.722132587625
1649462400,2022-04-09 00:00:00,FRM/USDT,0.0808,0.083,0.0793,0.081,3531163.76089389,284935.551163688676
1649376000,2022-04-08 00:00:00,FRM/USDT,0.0798,0.0871,0.0795,0.0808,5546862.23635666,463125.481744562038
1649289600,2022-04-07 00:00:00,FRM/USDT,0.077,0.0815,0.0769,0.0798,2798036.10358361,222008.633044058064
1649203200,2022-04-06 00:00:00,FRM/USDT,0.0836,0.0838,0.0759,0.0771,2376162.88962049,187293.094450198034
1649116800,2022-04-05 00:00:00,FRM/USDT,0.0827,0.0859,0.0821,0.0837,3391537.7513035,283944.753429531874
1649030400,2022-04-04 00:00:00,FRM/USDT,0.0843,0.0858,0.0819,0.0827,2717179.4612885,227383.182529589234
1648944000,2022-04-03 00:00:00,FRM/USDT,0.0848,0.0848,0.0817,0.0843,3293998.53832248,273597.164482149438
1648857600,2022-04-02 00:00:00,FRM/USDT,0.0842,0.0907,0.079,0.0848,4490683.96835358,385594.808428192038
1648771200,2022-04-01 00:00:00,FRM/USDT,0.0821,0.0844,0.08,0.0842,3756448.13044202,307746.530146699338
1648684800,2022-03-31 00:00:00,FRM/USDT,0.083,0.0873,0.0801,0.0821,4100138.4494478,342897.54932418175
1648598400,2022-03-30 00:00:00,FRM/USDT,0.0806,0.0925,0.0777,0.083,5312329.52769333,434759.16418536196
1648512000,2022-03-29 00:00:00,FRM/USDT,0.0918,0.0924,0.0799,0.0807,3837710.54677728,339555.25075537497
1648425600,2022-03-28 00:00:00,FRM/USDT,0.0857,0.1143,0.0842,0.0916,5506773.26132368,496852.412943488883
1648339200,2022-03-27 00:00:00,FRM/USDT,0.0877,0.0877,0.0826,0.0858,4935672.2074848,418723.310161648907
1648252800,2022-03-26 00:00:00,FRM/USDT,0.0871,0.0904,0.0854,0.0877,1400651.68239458,121683.694193705687
1648166400,2022-03-25 00:00:00,FRM/USDT,0.0844,0.0998,0.0843,0.087,4220279.98310593,375818.662697825749
1648080000,2022-03-24 00:00:00,FRM/USDT,0.0777,0.088,0.0777,0.0844,7980592.96172221,643197.27367016986
1647993600,2022-03-23 00:00:00,FRM/USDT,0.0774,0.0799,0.0772,0.0778,5259330.56783459,410649.008823322781
1647907200,2022-03-22 00:00:00,FRM/USDT,0.0728,0.0834,0.0719,0.0774,5038586.92468419,385852.726624185008
1647820800,2022-03-21 00:00:00,FRM/USDT,0.0717,0.0736,0.0712,0.0728,3126471.26953004,225718.192565927394
1647734400,2022-03-20 00:00:00,FRM/USDT,0.0746,0.0759,0.0714,0.0717,3930115.99403059,289456.8796847011
1647648000,2022-03-19 00:00:00,FRM/USDT,0.0754,0.0762,0.0735,0.0746,4014441.37012322,301951.639888215541
1647561600,2022-03-18 00:00:00,FRM/USDT,0.0733,0.0757,0.072,0.0754,3880000.53599516,282450.326877376448
1647475200,2022-03-17 00:00:00,FRM/USDT,0.0741,0.075,0.0724,0.0733,3982590.83361858,291574.087935779111
1647388800,2022-03-16 00:00:00,FRM/USDT,0.0699,0.0751,0.0693,0.0741,4012582.37074892,288712.95823060689
1647302400,2022-03-15 00:00:00,FRM/USDT,0.0706,0.0713,0.0695,0.0699,3636252.01279412,256329.413692100245
1647216000,2022-03-14 00:00:00,FRM/USDT,0.0717,0.0722,0.0691,0.0706,4013445.78519685,285801.04736907804
1647129600,2022-03-13 00:00:00,FRM/USDT,0.0743,0.0743,0.0706,0.0718,3150736.99182966,230291.523871684477
1647043200,2022-03-12 00:00:00,FRM/USDT,0.0764,0.0764,0.0743,0.0743,309173.37329947,23050.722907409561
1646956800,2022-03-11 00:00:00,FRM/USDT,0.0777,0.0831,0.0747,0.076,799916.51127062,61423.366755444896
1646870400,2022-03-10 00:00:00,FRM/USDT,0.0836,0.084,0.0772,0.0777,3869226.43111986,306772.883070381757
1646784000,2022-03-09 00:00:00,FRM/USDT,0.0826,0.0858,0.0823,0.0838,3008120.30124732,251917.035677696917
1646697600,2022-03-08 00:00:00,FRM/USDT,0.0873,0.0878,0.0821,0.0826,3937862.9602422,338596.933751694399
1646611200,2022-03-07 00:00:00,FRM/USDT,0.0896,0.09,0.0868,0.0874,3894213.03445777,345048.881392394736
1646524800,2022-03-06 00:00:00,FRM/USDT,0.0893,0.0918,0.0891,0.0896,4207271.02132734,378454.185854968295
1646438400,2022-03-05 00:00:00,FRM/USDT,0.091,0.091,0.0889,0.0891,3475128.46110741,311553.969684669425
1646352000,2022-03-04 00:00:00,FRM/USDT,0.0931,0.0949,0.0908,0.0911,4118152.02466271,380000.366797337268
1646265600,2022-03-03 00:00:00,FRM/USDT,0.0879,0.0988,0.0878,0.0931,3993532.83699454,361670.641066628998
1646179200,2022-03-02 00:00:00,FRM/USDT,0.0907,0.0909,0.0854,0.0879,3369807.72155772,301753.565197787137
1646092800,2022-03-01 00:00:00,FRM/USDT,0.0875,0.0927,0.0871,0.0907,2652055.72649699,241309.320782186649
1646006400,2022-02-28 00:00:00,FRM/USDT,0.0888,0.0898,0.0837,0.0875,3605964.14030163,315263.500098528413
1645920000,2022-02-27 00:00:00,FRM/USDT,0.0928,0.0946,0.0882,0.0888,3365828.47902892,310964.308255629599
1645833600,2022-02-26 00:00:00,FRM/USDT,0.0896,0.0935,0.0885,0.0928,2940802.05243575,265803.092632841991
1645747200,2022-02-25 00:00:00,FRM/USDT,0.0804,0.0903,0.0804,0.0895,4093722.89021653,340509.724782625089
1645660800,2022-02-24 00:00:00,FRM/USDT,0.0828,0.0843,0.069,0.0793,3826598.11140856,301893.755718844407
1645574400,2022-02-23 00:00:00,FRM/USDT,0.0841,0.0849,0.0812,0.0826,3920409.02741244,326871.095186118611
1645488000,2022-02-22 00:00:00,FRM/USDT,0.0863,0.0865,0.0839,0.0842,2835034.66650117,241554.169673596766
1645401600,2022-02-21 00:00:00,FRM/USDT,0.0871,0.0889,0.0861,0.0861,1848885.13233284,161441.514653815976
1645315200,2022-02-20 00:00:00,FRM/USDT,0.0995,0.0995,0.0863,0.087,1254115.35284938,116058.318001135813
1645228800,2022-02-19 00:00:00,FRM/USDT,0.1067,0.1074,0.0995,0.0995,1840329.73499386,192634.818856623964
1645142400,2022-02-18 00:00:00,FRM/USDT,0.1067,0.1088,0.1063,0.1068,1481025.16751593,159204.679736037467
1645056000,2022-02-17 00:00:00,FRM/USDT,0.1123,0.1152,0.1062,0.1067,1009408.32933489,111201.34396764907
1644969600,2022-02-16 00:00:00,FRM/USDT,0.1127,0.1169,0.1093,0.1125,635740.84878881,71572.378824296405
1644883200,2022-02-15 00:00:00,FRM/USDT,0.0957,0.1164,0.0957,0.1127,960044.54045218,101439.417206223805
1644796800,2022-02-14 00:00:00,FRM/USDT,0.0954,0.0997,0.0908,0.0969,244243.37914151,23119.392561220425
1644710400,2022-02-13 00:00:00,FRM/USDT,0.0991,0.1034,0.0954,0.0954,548418.20217035,55175.289545483408
1644624000,2022-02-12 00:00:00,FRM/USDT,0.093,0.105,0.0919,0.0999,1058164.57501647,102734.757789844361
1644537600,2022-02-11 00:00:00,FRM/USDT,0.0914,0.096,0.0908,0.0931,382013.91332418,35707.780156426957
1644451200,2022-02-10 00:00:00,FRM/USDT,0.0939,0.0966,0.0914,0.0914,287632.43076187,27140.55110704223
1644364800,2022-02-09 00:00:00,FRM/USDT,0.0941,0.0954,0.0918,0.094,180278.26178802,16833.72947566495
1644278400,2022-02-08 00:00:00,FRM/USDT,0.0945,0.0992,0.0906,0.0941,547086.86845445,51216.12523411502
1644192000,2022-02-07 00:00:00,FRM/USDT,0.0928,0.0969,0.0907,0.0951,583457.50310133,54652.16954087123
