https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume JPY,Volume ETH
1577682000,2019-12-30 05:00:00,ETH/JPY,14691.0,14811.11,14691.0,14811.11,1549.11,0.1046
1577678400,2019-12-30 04:00:00,ETH/JPY,14691.0,14691.0,14691.0,14691.0,0.0,0.0
1577674800,2019-12-30 03:00:00,ETH/JPY,14739.0,14739.0,14650.0,14691.0,2252.25,0.1534
1577671200,2019-12-30 02:00:00,ETH/JPY,14759.0,14759.0,14720.0,14739.0,3067.05,0.2083
1577667600,2019-12-30 01:00:00,ETH/JPY,14714.05,14759.0,14656.0,14759.0,13825.23,0.9425
1577664000,2019-12-30 00:00:00,ETH/JPY,14762.0,14762.0,14714.05,14714.05,633.07,0.04302
1577660400,2019-12-29 23:00:00,ETH/JPY,14849.0,14861.0,14761.0,14762.0,54941.92,3.712
1577656800,2019-12-29 22:00:00,ETH/JPY,14692.0,14849.0,14692.0,14849.0,4913.78,0.3311
1577653200,2019-12-29 21:00:00,ETH/JPY,14833.0,14846.0,14651.0,14692.0,194537.78,13.16
1577649600,2019-12-29 20:00:00,ETH/JPY,14838.0,15168.03,14802.0,14833.0,2518630.06,168.21
1577646000,2019-12-29 19:00:00,ETH/JPY,14665.0,14838.0,14665.0,14838.0,1924416.19,130.69
1577642400,2019-12-29 18:00:00,ETH/JPY,14644.0,14749.0,14641.0,14665.0,1875179.87,127.76
1577638800,2019-12-29 17:00:00,ETH/JPY,14611.0,14646.0,14550.0,14644.0,75311.77,5.146
1577635200,2019-12-29 16:00:00,ETH/JPY,14541.0,14678.0,14498.0,14611.0,940760.31,64.45
1577631600,2019-12-29 15:00:00,ETH/JPY,14377.0,14550.0,14354.0,14541.0,494710.81,34.3
1577628000,2019-12-29 14:00:00,ETH/JPY,14379.0,14448.0,14377.0,14377.0,38916.9,2.698
1577624400,2019-12-29 13:00:00,ETH/JPY,14274.0,14379.0,14274.0,14379.0,312846.93,21.83
1577620800,2019-12-29 12:00:00,ETH/JPY,14128.07,14274.0,14128.07,14274.0,104497.95,7.328
1577617200,2019-12-29 11:00:00,ETH/JPY,14083.0,14128.07,14083.0,14128.07,28262.14,2.001
1577613600,2019-12-29 10:00:00,ETH/JPY,14123.0,14123.0,14083.0,14083.0,1879.03,0.1334
1577610000,2019-12-29 09:00:00,ETH/JPY,14123.0,14123.0,14123.0,14123.0,0.0,0.0
1577606400,2019-12-29 08:00:00,ETH/JPY,14123.0,14123.0,14123.0,14123.0,0.0,0.0
1577602800,2019-12-29 07:00:00,ETH/JPY,14095.0,14123.0,14095.0,14123.0,2175.41,0.154
1577599200,2019-12-29 06:00:00,ETH/JPY,14052.0,14098.0,14052.0,14095.0,177279.8,12.58
1577595600,2019-12-29 05:00:00,ETH/JPY,14064.0,14064.0,14052.0,14052.0,2107.8,0.15
1577592000,2019-12-29 04:00:00,ETH/JPY,14050.0,14064.0,14050.0,14064.0,703.2,0.05
1577588400,2019-12-29 03:00:00,ETH/JPY,14050.0,14050.0,14050.0,14050.0,0.0,0.0
1577584800,2019-12-29 02:00:00,ETH/JPY,14037.0,14050.0,14037.0,14050.0,18263.1,1.3
1577581200,2019-12-29 01:00:00,ETH/JPY,14064.0,14064.0,14017.49,14037.0,19414.11,1.384
1577577600,2019-12-29 00:00:00,ETH/JPY,14077.0,14077.0,14045.0,14064.0,86708.12,6.166
1577574000,2019-12-28 23:00:00,ETH/JPY,14066.0,14088.0,14066.0,14077.0,4224.2,0.3
1577570400,2019-12-28 22:00:00,ETH/JPY,14106.0,14106.0,14066.0,14066.0,184910.85,13.13
1577566800,2019-12-28 21:00:00,ETH/JPY,14123.0,14126.0,14106.0,14106.0,147398.63,10.44
1577563200,2019-12-28 20:00:00,ETH/JPY,14157.0,14201.0,14123.0,14123.0,237711.39,16.78
1577559600,2019-12-28 19:00:00,ETH/JPY,14154.0,14173.0,14154.0,14157.0,149596.44,10.56
1577556000,2019-12-28 18:00:00,ETH/JPY,14188.0,14251.78,14154.0,14154.0,125714.41,8.84
1577552400,2019-12-28 17:00:00,ETH/JPY,14022.97,14218.0,14022.97,14188.0,261608.17,18.43
1577548800,2019-12-28 16:00:00,ETH/JPY,14016.23,14022.97,14016.23,14022.97,23796.98,1.697
1577545200,2019-12-28 15:00:00,ETH/JPY,14006.0,14087.0,13975.0,14016.23,89289.03,6.385
1577541600,2019-12-28 14:00:00,ETH/JPY,14006.0,14006.0,14006.0,14006.0,0.0,0.0
1577538000,2019-12-28 13:00:00,ETH/JPY,14006.0,14006.0,14006.0,14006.0,0.0,0.0
1577534400,2019-12-28 12:00:00,ETH/JPY,13980.0,14006.0,13980.0,14006.0,160004.92,11.43
1577530800,2019-12-28 11:00:00,ETH/JPY,14060.19,14060.19,13967.13,13980.0,48031.86,3.434
1577527200,2019-12-28 10:00:00,ETH/JPY,13995.6,14060.19,13962.0,14060.19,20124.56,1.441
1577523600,2019-12-28 09:00:00,ETH/JPY,13976.0,14002.17,13976.0,13995.6,35092.76,2.508
1577520000,2019-12-28 08:00:00,ETH/JPY,13967.0,13976.0,13967.0,13976.0,2795.2,0.2
1577516400,2019-12-28 07:00:00,ETH/JPY,14001.0,14016.0,13967.0,13967.0,4489.22,0.3209
1577512800,2019-12-28 06:00:00,ETH/JPY,14072.0,14072.0,13993.0,14001.0,3821.36,0.2727
1577509200,2019-12-28 05:00:00,ETH/JPY,14020.0,14072.0,14020.0,14072.0,23401.74,1.663
1577505600,2019-12-28 04:00:00,ETH/JPY,13976.99,14020.0,13976.99,14020.0,1713.63,0.1226
1577502000,2019-12-28 03:00:00,ETH/JPY,13959.47,13982.46,13959.47,13976.99,2530.84,0.181
1577498400,2019-12-28 02:00:00,ETH/JPY,14013.0,14013.0,13959.47,13959.47,19543.26,1.4
1577494800,2019-12-28 01:00:00,ETH/JPY,14031.0,14099.0,14013.0,14013.0,21750.67,1.551
1577491200,2019-12-28 00:00:00,ETH/JPY,13895.0,14031.0,13895.0,14031.0,62523.83,4.463
1577487600,2019-12-27 23:00:00,ETH/JPY,13944.0,13944.0,13895.0,13895.0,18647.09,1.342
1577484000,2019-12-27 22:00:00,ETH/JPY,13807.0,13944.0,13807.0,13944.0,8096.98,0.5836
1577480400,2019-12-27 21:00:00,ETH/JPY,13807.0,13807.0,13807.0,13807.0,0.0,0.0
1577476800,2019-12-27 20:00:00,ETH/JPY,13772.0,13807.0,13772.0,13807.0,601.7,0.04358
1577473200,2019-12-27 19:00:00,ETH/JPY,13762.0,13811.0,13762.0,13772.0,1376.9,0.09982
1577469600,2019-12-27 18:00:00,ETH/JPY,13793.0,13819.0,13762.0,13762.0,72770.57,5.268
1577466000,2019-12-27 17:00:00,ETH/JPY,13763.0,13793.0,13763.0,13793.0,51655.83,3.746
1577462400,2019-12-27 16:00:00,ETH/JPY,13902.0,13937.0,13753.11,13763.0,276435.32,19.92
1577458800,2019-12-27 15:00:00,ETH/JPY,13721.0,13902.0,13721.0,13902.0,730021.84,52.73
1577455200,2019-12-27 14:00:00,ETH/JPY,13687.0,13721.0,13652.0,13721.0,121936.49,8.926
1577451600,2019-12-27 13:00:00,ETH/JPY,13745.0,13776.0,13654.0,13687.0,530306.98,38.67
1577448000,2019-12-27 12:00:00,ETH/JPY,13577.0,13745.0,13498.0,13745.0,1011136.79,74.31
1577444400,2019-12-27 11:00:00,ETH/JPY,13655.0,13696.0,13467.0,13577.0,1038211.79,76.59
1577440800,2019-12-27 10:00:00,ETH/JPY,13649.0,13655.0,13649.0,13655.0,25780.64,1.888
1577437200,2019-12-27 09:00:00,ETH/JPY,13738.32,13738.32,13649.0,13649.0,49267.0,3.608
1577433600,2019-12-27 08:00:00,ETH/JPY,13751.0,13751.0,13722.19,13738.32,28391.49,2.067
1577430000,2019-12-27 07:00:00,ETH/JPY,13754.0,13754.0,13678.77,13751.0,615257.39,44.96
1577426400,2019-12-27 06:00:00,ETH/JPY,13788.0,13788.0,13746.82,13754.0,73395.66,5.336
1577422800,2019-12-27 05:00:00,ETH/JPY,13783.0,13788.0,13769.21,13788.0,25716.44,1.865
