https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HYVE,Volume USDT
1651536000,2022-05-03 00:00:00,HYVE/USDT,0.1173,0.118,0.1137,0.114,440384.37409323,50778.509628191914
1651449600,2022-05-02 00:00:00,HYVE/USDT,0.1112,0.1234,0.1102,0.1172,662550.88668698,76171.321144167532
1651363200,2022-05-01 00:00:00,HYVE/USDT,0.1026,0.1154,0.0977,0.1111,783257.71407985,80972.131106770422
1651276800,2022-04-30 00:00:00,HYVE/USDT,0.1044,0.106,0.102,0.1027,666521.92347755,69214.968531406761
1651190400,2022-04-29 00:00:00,HYVE/USDT,0.1191,0.12,0.1034,0.1044,1085232.15596112,124987.187196862477
1651104000,2022-04-28 00:00:00,HYVE/USDT,0.1181,0.1248,0.1162,0.1191,1258382.19692234,150043.405816497972
1651017600,2022-04-27 00:00:00,HYVE/USDT,0.1199,0.1226,0.115,0.1179,809715.47430225,96889.483296257388
1650931200,2022-04-26 00:00:00,HYVE/USDT,0.1271,0.1284,0.1189,0.1194,1463878.91666892,183658.913904748147
1650844800,2022-04-25 00:00:00,HYVE/USDT,0.1355,0.1355,0.12,0.1273,2091209.10655282,270695.79639220505
1650758400,2022-04-24 00:00:00,HYVE/USDT,0.1353,0.1388,0.1341,0.1359,589325.28174306,80415.532519779066
1650672000,2022-04-23 00:00:00,HYVE/USDT,0.1378,0.1426,0.1343,0.1357,558964.62447862,76903.190863449501
1650585600,2022-04-22 00:00:00,HYVE/USDT,0.1402,0.145,0.1362,0.1381,719857.86743379,101794.639152057227
1650499200,2022-04-21 00:00:00,HYVE/USDT,0.1438,0.1498,0.1386,0.1401,567387.02373873,82122.080039517114
1650412800,2022-04-20 00:00:00,HYVE/USDT,0.1461,0.1489,0.1435,0.1441,432647.76268503,63067.093475979949
1650326400,2022-04-19 00:00:00,HYVE/USDT,0.1457,0.1505,0.141,0.1459,574614.96687428,84897.673771972312
1650240000,2022-04-18 00:00:00,HYVE/USDT,0.1361,0.1654,0.1326,0.1456,1056809.23183584,154160.9803933058
1650153600,2022-04-17 00:00:00,HYVE/USDT,0.1409,0.1428,0.135,0.136,525226.03173551,72624.224605049061
1650067200,2022-04-16 00:00:00,HYVE/USDT,0.1378,0.1603,0.136,0.1409,1058756.36826917,153222.177273186559
1649980800,2022-04-15 00:00:00,HYVE/USDT,0.1414,0.1439,0.136,0.138,665226.42295523,93519.362071900069
1649894400,2022-04-14 00:00:00,HYVE/USDT,0.1446,0.1505,0.1409,0.1413,652032.32768183,94445.924793465844
1649808000,2022-04-13 00:00:00,HYVE/USDT,0.1401,0.1472,0.1377,0.1444,702882.88652609,99603.303909441805
1649721600,2022-04-12 00:00:00,HYVE/USDT,0.1428,0.1461,0.1384,0.1401,645849.80053944,91876.355176870287
1649635200,2022-04-11 00:00:00,HYVE/USDT,0.1487,0.1522,0.1365,0.1428,764807.79454368,110928.018784127295
1649548800,2022-04-10 00:00:00,HYVE/USDT,0.1439,0.1591,0.1414,0.1484,618044.54532311,89949.400826342736
1649462400,2022-04-09 00:00:00,HYVE/USDT,0.1472,0.1474,0.141,0.1441,626534.29627526,90261.008760958748
1649376000,2022-04-08 00:00:00,HYVE/USDT,0.1498,0.1512,0.144,0.1471,661255.47608236,98058.554329036658
1649289600,2022-04-07 00:00:00,HYVE/USDT,0.1568,0.1573,0.1472,0.1499,552268.91632604,83840.257964555542
1649203200,2022-04-06 00:00:00,HYVE/USDT,0.1661,0.1666,0.1551,0.1573,638180.99774558,102089.758394156857
1649116800,2022-04-05 00:00:00,HYVE/USDT,0.19,0.2099,0.161,0.1666,1444750.21520519,269513.29841081025
1649030400,2022-04-04 00:00:00,HYVE/USDT,0.1485,0.2202,0.1458,0.19,2314850.19713119,423519.678502417555
1648944000,2022-04-03 00:00:00,HYVE/USDT,0.1489,0.1555,0.1452,0.1488,328523.32889124,49749.690789773882
1648857600,2022-04-02 00:00:00,HYVE/USDT,0.1473,0.1517,0.1433,0.1488,217462.18706661,32197.990134506318
1648771200,2022-04-01 00:00:00,HYVE/USDT,0.1536,0.165,0.143,0.1477,512818.78177777,78323.150887024495
1648684800,2022-03-31 00:00:00,HYVE/USDT,0.1409,0.169,0.1382,0.1529,1028538.64540144,159910.15647323952
1648598400,2022-03-30 00:00:00,HYVE/USDT,0.1417,0.1448,0.1391,0.1406,74049.04078342,10435.494617362928
1648512000,2022-03-29 00:00:00,HYVE/USDT,0.1431,0.1494,0.1397,0.1428,122246.36822501,17734.377608441841
1648425600,2022-03-28 00:00:00,HYVE/USDT,0.1243,0.1736,0.1243,0.1438,831031.05962671,124957.306891498511
1648339200,2022-03-27 00:00:00,HYVE/USDT,0.1202,0.1266,0.1191,0.1243,76129.32266933,9233.567679147222
1648252800,2022-03-26 00:00:00,HYVE/USDT,0.1214,0.1264,0.1171,0.12,168179.9344655,20346.757752618909
1648166400,2022-03-25 00:00:00,HYVE/USDT,0.1176,0.1264,0.1165,0.1219,81518.92323435,9746.082468125163
1648080000,2022-03-24 00:00:00,HYVE/USDT,0.1147,0.13,0.1128,0.1179,535150.41003775,64695.347701951535
1647993600,2022-03-23 00:00:00,HYVE/USDT,0.1142,0.1188,0.1129,0.1145,176920.45629441,20240.044052768668
1647907200,2022-03-22 00:00:00,HYVE/USDT,0.1123,0.1205,0.112,0.1151,54406.43209041,6240.214873229103
1647820800,2022-03-21 00:00:00,HYVE/USDT,0.1133,0.1148,0.1103,0.1127,647347.43575378,72819.482924362346
1647734400,2022-03-20 00:00:00,HYVE/USDT,0.1172,0.1183,0.112,0.113,1007527.4667436,116420.479210408763
1647648000,2022-03-19 00:00:00,HYVE/USDT,0.1151,0.1186,0.1132,0.1176,736702.57655177,85792.940401412097
1647561600,2022-03-18 00:00:00,HYVE/USDT,0.1126,0.117,0.1094,0.1152,705727.94139976,80038.306888062298
1647475200,2022-03-17 00:00:00,HYVE/USDT,0.1116,0.1162,0.1091,0.1126,954166.87395739,105963.561658155333
1647388800,2022-03-16 00:00:00,HYVE/USDT,0.1098,0.1142,0.1075,0.1117,823890.28790637,90531.246083516472
1647302400,2022-03-15 00:00:00,HYVE/USDT,0.1092,0.1103,0.1054,0.1099,1356498.05256279,146253.677596100157
1647216000,2022-03-14 00:00:00,HYVE/USDT,0.1081,0.1104,0.1059,0.1091,1154551.07587364,125395.602072779396
1647129600,2022-03-13 00:00:00,HYVE/USDT,0.1173,0.1174,0.108,0.1087,1457559.37977964,162715.76702248785
1647043200,2022-03-12 00:00:00,HYVE/USDT,0.1143,0.1205,0.1127,0.1172,946745.06433771,109384.473386457544
1646956800,2022-03-11 00:00:00,HYVE/USDT,0.1169,0.1201,0.1104,0.1147,1678556.54746855,192268.180260645743
1646870400,2022-03-10 00:00:00,HYVE/USDT,0.1173,0.1195,0.1088,0.1165,1580458.68894994,178839.626159722729
1646784000,2022-03-09 00:00:00,HYVE/USDT,0.1096,0.1245,0.1083,0.1176,1706540.71907868,193806.097345465274
1646697600,2022-03-08 00:00:00,HYVE/USDT,0.1115,0.1142,0.1069,0.1097,1449257.0433423,159779.286989894026
1646611200,2022-03-07 00:00:00,HYVE/USDT,0.1181,0.1199,0.1102,0.1116,1119051.73911197,128426.236174987207
1646524800,2022-03-06 00:00:00,HYVE/USDT,0.1186,0.124,0.1162,0.118,507634.81155149,60097.39666548674
1646438400,2022-03-05 00:00:00,HYVE/USDT,0.1207,0.1215,0.1178,0.1185,20121.33324268,2400.172194289044
1646352000,2022-03-04 00:00:00,HYVE/USDT,0.1316,0.1322,0.12,0.1213,56028.1593,7151.10272929
1646265600,2022-03-03 00:00:00,HYVE/USDT,0.1332,0.1341,0.128,0.1315,45542.6994679,5925.445202510874
1646179200,2022-03-02 00:00:00,HYVE/USDT,0.1299,0.1359,0.1256,0.1329,83134.87299035,10754.333366911873
1646092800,2022-03-01 00:00:00,HYVE/USDT,0.1248,0.133,0.1234,0.13,173939.87537446,22519.879229045604
1646006400,2022-02-28 00:00:00,HYVE/USDT,0.1194,0.1264,0.1172,0.1246,246618.62720334,29597.343432007453
