https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1655236800,2022-06-14 20:00:00,XRP/USDT,0.31983,0.32048,0.31165,0.31505,3044016.0169602,960478.178984688734
1655233200,2022-06-14 19:00:00,XRP/USDT,0.31838,0.32074,0.31445,0.31964,3488701.54716214,1107927.9046123201439
1655229600,2022-06-14 18:00:00,XRP/USDT,0.31726,0.32198,0.31693,0.31846,3977496.21495079,1269934.0920735049951
1655226000,2022-06-14 17:00:00,XRP/USDT,0.31698,0.32055,0.31647,0.31728,4282534.7311222,1364039.9403173610719
1655222400,2022-06-14 16:00:00,XRP/USDT,0.32162,0.32299,0.31484,0.31702,3755169.88657411,1196330.8579502649485
1655218800,2022-06-14 15:00:00,XRP/USDT,0.31755,0.32256,0.31609,0.32173,5325728.04217356,1699377.627265127517
1655215200,2022-06-14 14:00:00,XRP/USDT,0.31516,0.31818,0.3126,0.31758,4855752.26184685,1530563.7263459742227
1655211600,2022-06-14 13:00:00,XRP/USDT,0.31409,0.3183,0.30999,0.31518,5306668.62928579,1666722.4663674152846
1655208000,2022-06-14 12:00:00,XRP/USDT,0.31163,0.31707,0.30881,0.31399,4132926.1788148,1293125.8944718859535
1655204400,2022-06-14 11:00:00,XRP/USDT,0.31296,0.31369,0.3084,0.31153,4668102.31101549,1453598.3928700269331
1655200800,2022-06-14 10:00:00,XRP/USDT,0.31268,0.31543,0.31128,0.31284,4848026.45872389,1519599.7800199132505
1655197200,2022-06-14 09:00:00,XRP/USDT,0.31741,0.3187,0.3124,0.3124,3847058.80844448,1216000.3254552091936
1655193600,2022-06-14 08:00:00,XRP/USDT,0.32005,0.32069,0.31603,0.31731,5090191.5373964,1620361.212810646968
1655190000,2022-06-14 07:00:00,XRP/USDT,0.31915,0.322,0.31373,0.32011,6570928.78855825,2085366.8425325437279
1655186400,2022-06-14 06:00:00,XRP/USDT,0.32094,0.32242,0.31638,0.31932,5950147.81470165,1901773.4122588088287
1655182800,2022-06-14 05:00:00,XRP/USDT,0.31113,0.328,0.3108,0.32105,10338309.97243359,3314781.2758543966916
1655179200,2022-06-14 04:00:00,XRP/USDT,0.31424,0.31961,0.30869,0.31116,8950679.06553896,2796600.2803908720266
1655175600,2022-06-14 03:00:00,XRP/USDT,0.3067,0.31659,0.30529,0.31427,11404272.62819667,3541790.048868183201
1655172000,2022-06-14 02:00:00,XRP/USDT,0.29397,0.30695,0.29335,0.30665,11398339.80660432,3400787.8969898869794
