https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XAVA,Volume USDT
1649894400,2022-04-14 00:00:00,XAVA/USDT,3.317,3.4137,3.12,3.1235,58250.47979942,187832.176214845529
1649808000,2022-04-13 00:00:00,XAVA/USDT,3.3287,3.4123,3.1514,3.3168,65972.05315162,216685.292689483016
1649721600,2022-04-12 00:00:00,XAVA/USDT,3.3282,3.5622,3.1307,3.3204,71372.94762496,240303.887094161729
1649635200,2022-04-11 00:00:00,XAVA/USDT,3.7173,3.7541,3.2,3.3282,96870.44427138,330635.654402877639
1649548800,2022-04-10 00:00:00,XAVA/USDT,3.7961,4.11,3.7,3.7163,68444.44652884,263645.865718094184
1649462400,2022-04-09 00:00:00,XAVA/USDT,3.7825,3.8747,3.5999,3.7957,60498.06025689,227720.512728209678
1649376000,2022-04-08 00:00:00,XAVA/USDT,4.3442,4.4598,3.6862,3.7826,149276.00731855,600649.096712754331
1649289600,2022-04-07 00:00:00,XAVA/USDT,3.7374,4.5706,3.6601,4.3442,173373.550729,716629.883151688487
1649203200,2022-04-06 00:00:00,XAVA/USDT,4.3,4.3,3.5484,3.738,231960.30062282,904890.076380468808
1649116800,2022-04-05 00:00:00,XAVA/USDT,4.5726,5.0168,4.25,4.3059,166866.14642911,759605.328584889872
1649030400,2022-04-04 00:00:00,XAVA/USDT,4.819,4.8279,4.15,4.586,202184.93938808,909307.665542181557
1648944000,2022-04-03 00:00:00,XAVA/USDT,4.6339,5.2383,4.6,4.8196,215495.69876779,1047327.282381472794
1648857600,2022-04-02 00:00:00,XAVA/USDT,4.4206,5.6,4.35,4.6331,366949.10985408,1806345.75603076436
1648771200,2022-04-01 00:00:00,XAVA/USDT,3.8266,4.86,3.4501,4.43,273065.27421517,1182705.942357892943
1648684800,2022-03-31 00:00:00,XAVA/USDT,3.88,4.085,3.7367,3.8256,60532.29583949,237071.031658388581
1648598400,2022-03-30 00:00:00,XAVA/USDT,4.0186,4.19,3.76,3.88,81555.39185431,318621.007189302373
1648512000,2022-03-29 00:00:00,XAVA/USDT,4.0482,4.5479,3.9518,4.0182,54424.86037439,224131.557303769008
1648425600,2022-03-28 00:00:00,XAVA/USDT,3.9823,4.3172,3.8883,4.0482,69663.60515199,287514.819583220363
1648339200,2022-03-27 00:00:00,XAVA/USDT,3.8008,3.9999,3.6296,3.9824,34144.64892996,130109.874333079598
1648252800,2022-03-26 00:00:00,XAVA/USDT,3.8066,3.9527,3.65,3.8007,35359.43313386,132653.273720220118
1648166400,2022-03-25 00:00:00,XAVA/USDT,4.0144,4.0154,3.7232,3.8069,61835.77972918,240277.652384961447
1648080000,2022-03-24 00:00:00,XAVA/USDT,3.9772,4.1486,3.8844,4.0142,82512.23322952,328632.971928793696
1647993600,2022-03-23 00:00:00,XAVA/USDT,4.0495,4.0855,3.83,3.9765,94097.36186752,373318.028289010969
1647907200,2022-03-22 00:00:00,XAVA/USDT,4.0381,4.299,4.0175,4.0483,54569.306927,226537.267281424518
1647820800,2022-03-21 00:00:00,XAVA/USDT,4.0374,4.2103,4,4.0391,67339.89760398,273105.357446768027
1647734400,2022-03-20 00:00:00,XAVA/USDT,4.3231,4.3481,4.0205,4.0368,58836.26882377,242915.504941051753
1647648000,2022-03-19 00:00:00,XAVA/USDT,4.1539,4.41,4.1097,4.3231,65143.84529045,279872.903637052282
1647561600,2022-03-18 00:00:00,XAVA/USDT,3.8976,4.56,3.86,4.1551,91848.31580068,374403.546244811424
1647475200,2022-03-17 00:00:00,XAVA/USDT,3.8001,4.0638,3.7621,3.9021,60980.51764654,237878.368664078988
1647388800,2022-03-16 00:00:00,XAVA/USDT,3.6601,3.988,3.5501,3.7982,56070.58381294,206459.142232477926
1647302400,2022-03-15 00:00:00,XAVA/USDT,3.5899,3.8,3.45,3.6698,61832.24675354,221315.840284773155
1647216000,2022-03-14 00:00:00,XAVA/USDT,3.496,3.7442,3.45,3.583,74596.26769725,263779.721187038493
1647129600,2022-03-13 00:00:00,XAVA/USDT,3.7122,3.7934,3.4847,3.5037,99640.30413601,364318.394096057121
1647043200,2022-03-12 00:00:00,XAVA/USDT,3.7183,3.8626,3.6566,3.7171,77080.14021767,289960.672519689795
1646956800,2022-03-11 00:00:00,XAVA/USDT,3.7808,4.1524,3.6567,3.7183,95480.43338944,367701.626820974655
1646870400,2022-03-10 00:00:00,XAVA/USDT,3.9728,4.0558,3.4851,3.7805,115145.76089923,432552.023818206187
1646784000,2022-03-09 00:00:00,XAVA/USDT,3.885,4.2998,3.8675,3.989,81904.90051168,332068.80478638535
1646697600,2022-03-08 00:00:00,XAVA/USDT,4.1989,4.3375,3.8607,3.8847,99325.59906288,401966.531895470955
1646611200,2022-03-07 00:00:00,XAVA/USDT,4.4715,4.5736,4.12,4.1995,84693.88040913,368117.773174844634
1646524800,2022-03-06 00:00:00,XAVA/USDT,4.9245,4.9882,4.45,4.4683,78290.5195391,370975.123195360298
1646438400,2022-03-05 00:00:00,XAVA/USDT,4.826,5.05,4.7107,4.9248,72416.68222626,356022.630960170009
