https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNB,Volume USDT
1649808000,2022-04-13 00:00:00,UNB/USDT,0.005772,0.005998,0.005733,0.005791,4909496.11466822,28821.00012503804504
1649721600,2022-04-12 00:00:00,UNB/USDT,0.005761,0.005968,0.005601,0.005765,5075255.72591308,29252.31364112212024
1649635200,2022-04-11 00:00:00,UNB/USDT,0.006021,0.006092,0.005699,0.005765,7437617.4082364,43885.51651132694301
1649548800,2022-04-10 00:00:00,UNB/USDT,0.005915,0.006161,0.005672,0.006021,6874129.03194409,40384.20451201722168
1649462400,2022-04-09 00:00:00,UNB/USDT,0.00565,0.005918,0.005549,0.005918,3799635.8518056,21651.64371948838517
1649376000,2022-04-08 00:00:00,UNB/USDT,0.0064,0.006582,0.005539,0.00565,6756427.38751163,41093.53661526943195
1649289600,2022-04-07 00:00:00,UNB/USDT,0.006055,0.0066,0.006026,0.006361,4878619.13779612,30708.53089390768561
1649203200,2022-04-06 00:00:00,UNB/USDT,0.006504,0.006716,0.006028,0.006059,12743998.3218366,81575.79694159217333
1649116800,2022-04-05 00:00:00,UNB/USDT,0.006681,0.006899,0.006501,0.006504,4983433.38270401,33510.11639306620975
1649030400,2022-04-04 00:00:00,UNB/USDT,0.006961,0.007145,0.00651,0.006683,5433039.56961747,37219.25042346130049
1648944000,2022-04-03 00:00:00,UNB/USDT,0.007057,0.0071,0.006566,0.006961,9055176.01730932,62479.69770590216072
1648857600,2022-04-02 00:00:00,UNB/USDT,0.007462,0.007619,0.006706,0.007057,17503852.04821387,129451.35682437951141
1648771200,2022-04-01 00:00:00,UNB/USDT,0.006479,0.009387,0.006365,0.007459,73849234.03482835,584656.04494663441117
1648684800,2022-03-31 00:00:00,UNB/USDT,0.00618,0.006859,0.00618,0.006475,22994516.12540969,150009.9208142703667
1648598400,2022-03-30 00:00:00,UNB/USDT,0.006081,0.00639,0.005933,0.00622,11551023.72800484,70872.30728620465497
1648512000,2022-03-29 00:00:00,UNB/USDT,0.006048,0.006289,0.005933,0.00608,5380518.55467514,32887.53711661376165
1648425600,2022-03-28 00:00:00,UNB/USDT,0.005808,0.006399,0.005806,0.006076,12888060.21984009,77449.94277076963418
1648339200,2022-03-27 00:00:00,UNB/USDT,0.00585,0.005959,0.0056,0.00581,11300716.25211421,65769.85032712653467
1648252800,2022-03-26 00:00:00,UNB/USDT,0.005747,0.00585,0.005704,0.00585,4586625.56693823,26507.88503074070659
1648166400,2022-03-25 00:00:00,UNB/USDT,0.005649,0.005874,0.005577,0.005748,4138724.71619128,23770.37785575559718
1648080000,2022-03-24 00:00:00,UNB/USDT,0.005601,0.005704,0.005431,0.005649,5880063.45175841,32946.6554267824972
1647993600,2022-03-23 00:00:00,UNB/USDT,0.005904,0.005914,0.005516,0.005609,7431866.82084343,42510.02895727675999
1647907200,2022-03-22 00:00:00,UNB/USDT,0.005897,0.006024,0.005757,0.005904,7726299.56795186,45387.34642188085403
1647820800,2022-03-21 00:00:00,UNB/USDT,0.005883,0.006089,0.005704,0.005877,10681557.60568601,63192.70057372283595
1647734400,2022-03-20 00:00:00,UNB/USDT,0.005804,0.0068,0.005615,0.005883,36886513.64701466,224366.88192100848707
1647648000,2022-03-19 00:00:00,UNB/USDT,0.00573,0.006223,0.005629,0.005804,4456750.49427821,25946.17891205092818
1647561600,2022-03-18 00:00:00,UNB/USDT,0.005786,0.005811,0.005391,0.00573,5066977.91960421,28437.8874699967639
1647475200,2022-03-17 00:00:00,UNB/USDT,0.005849,0.005951,0.005655,0.005786,6600162.55325432,38282.74687242386653
1647388800,2022-03-16 00:00:00,UNB/USDT,0.005856,0.006053,0.005735,0.005849,2701806.95070437,15849.99068533595872
1647302400,2022-03-15 00:00:00,UNB/USDT,0.005401,0.006886,0.005301,0.005849,23815389.29883006,147720.29849684480539
1647216000,2022-03-14 00:00:00,UNB/USDT,0.005271,0.0068,0.005248,0.005401,38732917.02561814,228950.42077499680544
