https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GRT,Volume USDT
1656590400,2022-06-30 12:00:00,GRT/USDT,0.09206,0.09258,0.09086,0.09108,274192.35720318,25170.4472148994468
1656586800,2022-06-30 11:00:00,GRT/USDT,0.09204,0.09242,0.09106,0.0921,182737.21197965,16753.2532219505047
1656583200,2022-06-30 10:00:00,GRT/USDT,0.092,0.09224,0.09068,0.09208,151478.3368454,13862.742913825988
1656579600,2022-06-30 09:00:00,GRT/USDT,0.09049,0.09227,0.08958,0.09213,610941.26401841,55165.6003012858038
1656576000,2022-06-30 08:00:00,GRT/USDT,0.09141,0.09141,0.08976,0.09046,384441.82023507,34713.075821423595
1656572400,2022-06-30 07:00:00,GRT/USDT,0.09068,0.0916,0.09035,0.09142,102746.51891064,9347.0780368447138
1656568800,2022-06-30 06:00:00,GRT/USDT,0.09352,0.09376,0.09014,0.09034,216756.511504,19973.0334717261128
1656565200,2022-06-30 05:00:00,GRT/USDT,0.09325,0.09384,0.09258,0.09345,136852.71356895,12764.6882186534487
1656561600,2022-06-30 04:00:00,GRT/USDT,0.0946,0.09519,0.09255,0.09304,110359.59035458,10312.382899001604
1656558000,2022-06-30 03:00:00,GRT/USDT,0.09483,0.09498,0.09371,0.09457,56861.92918573,5350.5814164577671
1656554400,2022-06-30 02:00:00,GRT/USDT,0.09246,0.095,0.09214,0.0949,92989.11627844,8750.6949792866894
1656550800,2022-06-30 01:00:00,GRT/USDT,0.09308,0.09394,0.09154,0.0924,178631.35932233,16541.8963728501409
1656547200,2022-06-30 00:00:00,GRT/USDT,0.09493,0.09527,0.09274,0.09312,139045.12515204,13074.0555652507
1656543600,2022-06-29 23:00:00,GRT/USDT,0.09585,0.09588,0.09329,0.09483,313943.32879103,29543.9218709510952
1656540000,2022-06-29 22:00:00,GRT/USDT,0.09755,0.09776,0.09421,0.09577,706809.00192251,67632.0997672858296
1656536400,2022-06-29 21:00:00,GRT/USDT,0.09831,0.099,0.0973,0.09756,186342.42465633,18379.97336903462
1656532800,2022-06-29 20:00:00,GRT/USDT,0.09919,0.10032,0.09797,0.09821,980580.17237972,96890.8838372167243
1656529200,2022-06-29 19:00:00,GRT/USDT,0.09796,0.09937,0.0972,0.09925,210369.29031185,20549.7604001507572
1656525600,2022-06-29 18:00:00,GRT/USDT,0.09885,0.09968,0.09768,0.09779,770593.76257308,76149.7106771094815
1656522000,2022-06-29 17:00:00,GRT/USDT,0.09759,0.09885,0.09647,0.09881,314250.30779697,30438.2450958889887
1656518400,2022-06-29 16:00:00,GRT/USDT,0.10037,0.1006,0.0969,0.09751,284617.39200209,27888.1793394983364
1656514800,2022-06-29 15:00:00,GRT/USDT,0.10128,0.10134,0.09973,0.10028,300203.11996131,30180.8643445389252
1656511200,2022-06-29 14:00:00,GRT/USDT,0.10004,0.10207,0.10004,0.10138,200148.23351873,20276.3072980683801
1656507600,2022-06-29 13:00:00,GRT/USDT,0.09905,0.10058,0.09849,0.10013,95785.26285566,9531.7985649613491
1656504000,2022-06-29 12:00:00,GRT/USDT,0.10063,0.10125,0.09857,0.09863,590166.3163161,59184.8345143415663
1656500400,2022-06-29 11:00:00,GRT/USDT,0.10016,0.10064,0.09865,0.10063,219551.06800114,21903.6044691927389
1656496800,2022-06-29 10:00:00,GRT/USDT,0.10051,0.10112,0.10004,0.10018,207009.87267849,20849.7689480527133
1656493200,2022-06-29 09:00:00,GRT/USDT,0.09961,0.10174,0.09959,0.10029,179182.30594174,17968.2457548289371
1656489600,2022-06-29 08:00:00,GRT/USDT,0.10043,0.10143,0.09935,0.09949,332684.9023641,33205.6449506971137
1656486000,2022-06-29 07:00:00,GRT/USDT,0.09848,0.10064,0.09844,0.10039,37216.77557512,3700.172491768144
1656482400,2022-06-29 06:00:00,GRT/USDT,0.09961,0.10017,0.09769,0.09855,280788.44435353,27616.3791311342879
1656478800,2022-06-29 05:00:00,GRT/USDT,0.10152,0.10178,0.09864,0.09962,179567.70046354,18027.4624362667202
1656475200,2022-06-29 04:00:00,GRT/USDT,0.10115,0.10178,0.10039,0.10145,211339.93536688,21334.0974996585936
1656471600,2022-06-29 03:00:00,GRT/USDT,0.10159,0.10196,0.10017,0.10104,358561.37844034,36262.9428353576884
1656468000,2022-06-29 02:00:00,GRT/USDT,0.1015,0.10216,0.1008,0.10162,189954.51061109,19282.7421054263857
1656464400,2022-06-29 01:00:00,GRT/USDT,0.10104,0.10204,0.10055,0.10147,167502.29217768,17001.3025339969026
1656460800,2022-06-29 00:00:00,GRT/USDT,0.10012,0.10186,0.09934,0.10112,58361.09183599,5882.6013484987205
1656457200,2022-06-28 23:00:00,GRT/USDT,0.09965,0.1005,0.09867,0.10003,68676.08264778,6854.8613241629728
1656453600,2022-06-28 22:00:00,GRT/USDT,0.10281,0.10281,0.09934,0.09983,219265.37817612,22139.0515384639036
1656450000,2022-06-28 21:00:00,GRT/USDT,0.10238,0.10282,0.10209,0.10282,31052.4585933,3181.5857366621849
1656446400,2022-06-28 20:00:00,GRT/USDT,0.10209,0.1027,0.10172,0.10238,170573.53797768,17419.465879789476
1656442800,2022-06-28 19:00:00,GRT/USDT,0.10252,0.10269,0.10164,0.10216,1284571.43182373,131329.9790053214884
1656439200,2022-06-28 18:00:00,GRT/USDT,0.10306,0.10334,0.10093,0.1027,177335.32166328,18092.3082710555685
1656435600,2022-06-28 17:00:00,GRT/USDT,0.1032,0.10373,0.10219,0.10312,87550.2067324,9003.0473530259488
1656432000,2022-06-28 16:00:00,GRT/USDT,0.10318,0.10417,0.10275,0.10306,265578.27679579,27419.5015128770441
