https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1559019600,2019-05-28 05:00:00,BTC/USDT,8750.5,8762.6,8677.4,8718.1,9.63053866,84043.661166933
1559016000,2019-05-28 04:00:00,BTC/USDT,8765.5,8782.1,8750.1,8750.3,7.87797394,69071.615029694
1559012400,2019-05-28 03:00:00,BTC/USDT,8772.3,8773.3,8731.7,8765.5,8.21020812,71877.990535599
1559008800,2019-05-28 02:00:00,BTC/USDT,8767.5,8786.8,8757.1,8773.2,7.75901803,68062.780219117
1559005200,2019-05-28 01:00:00,BTC/USDT,8730,8778.7,8719.1,8756.4,7.15860775,62625.339788991
1559001600,2019-05-28 00:00:00,BTC/USDT,8753.5,8793,8724.4,8730,9.46684889,82957.685274511
1558998000,2019-05-27 23:00:00,BTC/USDT,8768.2,8820.3,8738.9,8758,16.06040526,141182.518554295
1558994400,2019-05-27 22:00:00,BTC/USDT,8765.4,8768.6,8712.8,8768,8.64651787,75624.274134978
1558990800,2019-05-27 21:00:00,BTC/USDT,8709.5,8776.9,8687.2,8765.4,7.58540066,66254.32359526
1558987200,2019-05-27 20:00:00,BTC/USDT,8760,8789,8671.1,8709.8,20.98748678,182931.928682072
1558983600,2019-05-27 19:00:00,BTC/USDT,8747.1,8774.8,8728.9,8760.6,12.89858776,112913.12949673
1558980000,2019-05-27 18:00:00,BTC/USDT,8636,8769.9,8619.1,8742.1,17.72338382,154080.534792103
1558976400,2019-05-27 17:00:00,BTC/USDT,8650.8,8723,8608.1,8639.8,37.07524827,321497.228004911
1558972800,2019-05-27 16:00:00,BTC/USDT,8805.8,8900.1,8594.9,8644.5,64.31363411,561089.453214889
1558969200,2019-05-27 15:00:00,BTC/USDT,8762.2,8876.9,8762.2,8803.6,19.19002605,169342.668364255
1558965600,2019-05-27 14:00:00,BTC/USDT,8769.8,8794.6,8742.1,8763.9,11.19914784,98137.864889199
1558962000,2019-05-27 13:00:00,BTC/USDT,8779.1,8805.1,8756.6,8770.8,25.96750457,227837.184002189
1558958400,2019-05-27 12:00:00,BTC/USDT,8685.8,8798.1,8685.8,8778.9,45.74941722,400871.034148097
1558954800,2019-05-27 11:00:00,BTC/USDT,8705.1,8705.1,8650.2,8685.9,14.46927739,125501.827837237
1558951200,2019-05-27 10:00:00,BTC/USDT,8683.8,8708.1,8659.6,8705.2,9.637814,83675.60406609
1558947600,2019-05-27 09:00:00,BTC/USDT,8652.1,8696.4,8652.1,8686.2,10.53774357,91456.678970642
1558944000,2019-05-27 08:00:00,BTC/USDT,8700.5,8701,8646.5,8652.1,11.43059851,99056.310954163
1558940400,2019-05-27 07:00:00,BTC/USDT,8676.4,8735,8676.4,8703.2,12.32425,107332.434373207
