https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUA,Volume USDT
1649462400000.0,2022-04-09 00:00:00,LUA/USDT,0.03325,0.0335,0.031,0.03175,168686.55275590552,5355.79805
1649376000000.0,2022-04-08 00:00:00,LUA/USDT,0.03425,0.03425,0.033,0.03325,120603.33383458646,4010.06085
1649289600000.0,2022-04-07 00:00:00,LUA/USDT,0.034,0.03425,0.03375,0.03425,607.1109489051095,20.79355
1649203200000.0,2022-04-06 00:00:00,LUA/USDT,0.037,0.037,0.034,0.034,122071.49117647058,4150.4307
1649116800000.0,2022-04-05 00:00:00,LUA/USDT,0.03725,0.0375,0.0365,0.037,13528.57972972973,500.55745
1649030400000.0,2022-04-04 00:00:00,LUA/USDT,0.0385,0.0385,0.037,0.03725,40972.987919463085,1526.2438
1648944000000.0,2022-04-03 00:00:00,LUA/USDT,0.0375,0.03875,0.0375,0.0385,106037.13181818182,4082.429575
1648857600000.0,2022-04-02 00:00:00,LUA/USDT,0.03925,0.03925,0.03625,0.0375,269938.62333333335,10122.698375
1648771200000.0,2022-04-01 00:00:00,LUA/USDT,0.038,0.0395,0.03625,0.03925,235915.60382165603,9259.68745
1648684800000.0,2022-03-31 00:00:00,LUA/USDT,0.038,0.03975,0.038,0.038,178129.41184210527,6768.91765
1648598400000.0,2022-03-30 00:00:00,LUA/USDT,0.03675,0.03825,0.0365,0.038,86782.91315789474,3297.7507
1648512000000.0,2022-03-29 00:00:00,LUA/USDT,0.036,0.03725,0.0355,0.03675,85331.37414965987,3135.928
1648425600000.0,2022-03-28 00:00:00,LUA/USDT,0.036,0.0365,0.03525,0.036,231315.87569444446,8327.371525
1648339200000.0,2022-03-27 00:00:00,LUA/USDT,0.035,0.0365,0.03475,0.036,46568.34305555556,1676.46035
1648252800000.0,2022-03-26 00:00:00,LUA/USDT,0.03525,0.03575,0.03425,0.035,54844.356428571424,1919.552475
1648166400000.0,2022-03-25 00:00:00,LUA/USDT,0.037,0.03725,0.03475,0.03525,225169.6765957447,7937.2311
1648080000000.0,2022-03-24 00:00:00,LUA/USDT,0.03625,0.03725,0.03625,0.037,129906.65472972974,4806.546225
1647993600000.0,2022-03-23 00:00:00,LUA/USDT,0.03825,0.03925,0.036,0.03625,311136.1427586207,11278.685175
1647907200000.0,2022-03-22 00:00:00,LUA/USDT,0.03725,0.03875,0.03725,0.03825,114983.24183006537,4398.109
1647820800000.0,2022-03-21 00:00:00,LUA/USDT,0.03775,0.03825,0.03725,0.03725,107978.0677852349,4022.183025
