https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUT,Volume BTC
1646524800000,2022-03-06 00:00:00,BTC/EUT,36021,36366,34925,35388,522601.08887232,14.76774864
1646438400000,2022-03-05 00:00:00,BTC/EUT,35806,36230,35352,36049,247886.02709052002,6.87636348
1646352000000,2022-03-04 00:00:00,BTC/EUT,38396,38479,35319,35789,334195.37611473,9.33793557
1646265600000,2022-03-03 00:00:00,BTC/EUT,39538,39784,37875,38396,225329.383344,5.868564
1646179200000,2022-03-02 00:00:00,BTC/EUT,39931,40824,39120,39538,332741.15250900004,8.4157305
1646092800000,2022-03-01 00:00:00,BTC/EUT,38541,40233,38404,39918,466152.69354731997,11.67775674
1646006400000,2022-02-28 00:00:00,BTC/EUT,33787,39611,33576,38513,796980.2539279,20.6937983
1645920000000,2022-02-27 00:00:00,BTC/EUT,34758,35549,33251,33750,665987.601825,19.73296598
1645833600000,2022-02-26 00:00:00,BTC/EUT,34845,36033,34382,34784,929672.27479488,26.72700882
1645747200000,2022-02-25 00:00:00,BTC/EUT,34301,35443,34093,34845,2458839.01567425,70.56504565
1645660800000,2022-02-24 00:00:00,BTC/EUT,33092,36064,30705,34300,887904.494463,25.88642841
1645574400000,2022-02-23 00:00:00,BTC/EUT,33756,34617,32845,33050,630188.904828,19.06774296
1645488000000,2022-02-22 00:00:00,BTC/EUT,32798,33994,32286,33806,199315.74944236,5.89586906
1645401600000,2022-02-21 00:00:00,BTC/EUT,33936,34768,32614,32798,375216.60384764,11.44022818
1645315200000,2022-02-20 00:00:00,BTC/EUT,35421,35442,33630,33940,450836.014863,13.28332395
1645228800000,2022-02-19 00:00:00,BTC/EUT,35374,35759,35105,35454,206967.92042916,5.83764654
1645142400000,2022-02-18 00:00:00,BTC/EUT,35718,36069,34931,35375,385986.55440875,10.91128069
1645056000000,2022-02-17 00:00:00,BTC/EUT,38649,38944,35365,35718,780424.8886053599,21.84962452
1644969600000,2022-02-16 00:00:00,BTC/EUT,39212,39224,38211,38649,2188113.23432793,56.61500257
1644883200000,2022-02-15 00:00:00,BTC/EUT,37695,39400,37564,39234,2756395.5809754,70.2552781
1644796800000,2022-02-14 00:00:00,BTC/EUT,37032,37863,36645,37650,620905.4275529999,16.49151202
1644710400000,2022-02-13 00:00:00,BTC/EUT,37192,37682,36931,37040,928087.6970024,25.05636331
1644624000000,2022-02-12 00:00:00,BTC/EUT,37310,37877,36860,37218,565635.5594367,15.19790315
1644537600000,2022-02-11 00:00:00,BTC/EUT,38123,38554,37002,37361,633374.52023048,16.95282568
1644451200000,2022-02-10 00:00:00,BTC/EUT,38901,39878,37988,38159,1161957.81107626,30.45042614
1644364800000,2022-02-09 00:00:00,BTC/EUT,38606,39261,37805,38891,526229.45446891,13.53088001
1644278400000,2022-02-08 00:00:00,BTC/EUT,38366,39813,37429,38605,1170795.9996747,30.32757414
1644192000000,2022-02-07 00:00:00,BTC/EUT,37069,38924,36442,38340,560901.014874,14.6296561
1644105600000,2022-02-06 00:00:00,BTC/EUT,36266,37239,36027,37060,262297.07898,7.077633
1644019200000,2022-02-05 00:00:00,BTC/EUT,36306,36623,35836,36229,556389.48504525,15.35757225
1643932800000,2022-02-04 00:00:00,BTC/EUT,32578,36437,32403,36337,1812084.63609691,49.86885643
1643846400000,2022-02-03 00:00:00,BTC/EUT,32705,32875,31810,32624,1195845.96077664,36.65540586
1643760000000,2022-02-02 00:00:00,BTC/EUT,34366,34492,32481,32697,2282036.05242207,69.79343831
1643673600000,2022-02-01 00:00:00,BTC/EUT,34236,35043,33819,34349,1161775.5925496,33.8226904
1643587200000,2022-01-31 00:00:00,BTC/EUT,34024,34500,32929,34285,607564.9025913,17.72101218
1643500800000,2022-01-30 00:00:00,BTC/EUT,34250,45380,33590,34024,1200775.27202624,35.29200776
1643414400000,2022-01-29 00:00:00,BTC/EUT,33761,34727,33433,34287,2648231.6837070603,77.23719438
1643328000000,2022-01-28 00:00:00,BTC/EUT,33308,33991,32295,33833,1654822.6407847,48.9114959
1643241600000,2022-01-27 00:00:00,BTC/EUT,32735,33362,31701,33308,801897.5496672799,24.07522366
1643155200000,2022-01-26 00:00:00,BTC/EUT,32742,34456,32279,32780,658649.4060476001,20.09302642
1643068800000,2022-01-25 00:00:00,BTC/EUT,32404,33221,31482,32697,1993203.42450957,60.95982581
1642982400000,2022-01-24 00:00:00,BTC/EUT,31980,33051,29173,32418,5774192.43328854,178.11686203
1642896000000,2022-01-23 00:00:00,BTC/EUT,30966,32373,30471,32015,3399093.00488495,106.17188833
1642809600000,2022-01-22 00:00:00,BTC/EUT,32200,32394,30091,30954,7518800.5212474,242.9023881
1642723200000,2022-01-21 00:00:00,BTC/EUT,35956,36281,31328,32202,3517428.56994126,109.23012763
1642636800000,2022-01-20 00:00:00,BTC/EUT,36752,38481,35810,35957,1414310.0598805598,39.33337208
1642550400000,2022-01-19 00:00:00,BTC/EUT,37265,37463,36265,36758,1551519.5997263198,42.20903204
1642464000000,2022-01-18 00:00:00,BTC/EUT,36978,37497,36247,37281,2760705.95459376,74.05128496
1642377600000,2022-01-17 00:00:00,BTC/EUT,37680,37727,36401,36977,956431.58346022,25.86558086
