https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETH
1552521600,2019-03-14 00:00:00,ETH/USD,134.09,137.79,133.0,134.98,337127.02,2503.46
1552435200,2019-03-13 00:00:00,ETH/USD,136.03,136.31,133.25,134.09,290508.46,2155.03
1552348800,2019-03-12 00:00:00,ETH/USD,135.46,137.87,132.2,136.03,376684.83,2784.75
1552262400,2019-03-11 00:00:00,ETH/USD,137.8,138.37,133.63,135.46,329792.62,2430.9
1552176000,2019-03-10 00:00:00,ETH/USD,139.16,139.43,136.3,137.8,298234.24,2165.27
1552089600,2019-03-09 00:00:00,ETH/USD,135.7,141.0,135.41,139.16,339881.66,2444.44
1552003200,2019-03-08 00:00:00,ETH/USD,139.42,141.51,133.35,135.7,307616.91,2226.44
1551916800,2019-03-07 00:00:00,ETH/USD,139.46,142.09,138.0,139.42,369509.62,2641.57
1551830400,2019-03-06 00:00:00,ETH/USD,138.57,142.25,136.52,139.46,376345.25,2705.44
1551744000,2019-03-05 00:00:00,ETH/USD,129.2,140.0,128.57,138.57,516076.63,3825.69
1551657600,2019-03-04 00:00:00,ETH/USD,134.05,134.66,126.72,129.2,469841.93,3608.23
1551571200,2019-03-03 00:00:00,ETH/USD,135.73,139.14,132.4,134.05,355467.09,2606.49
1551484800,2019-03-02 00:00:00,ETH/USD,139.27,140.05,134.02,135.73,380224.4,2776.41
1551398400,2019-03-01 00:00:00,ETH/USD,138.62,141.55,138.62,139.27,284176.64,2033.84
1551312000,2019-02-28 00:00:00,ETH/USD,138.85,142.99,137.42,138.62,401892.81,2865.68
1551225600,2019-02-27 00:00:00,ETH/USD,140.0,143.9,131.13,138.85,513454.81,3691.4
1551139200,2019-02-26 00:00:00,ETH/USD,141.8,142.21,138.0,140.0,360917.9,2579.47
1551052800,2019-02-25 00:00:00,ETH/USD,138.33,146.0,137.2,141.8,528216.26,3715.75
1550966400,2019-02-24 00:00:00,ETH/USD,158.0,164.66,138.33,138.33,1248285.1,8225.57
1550880000,2019-02-23 00:00:00,ETH/USD,150.42,159.9,148.5,158.0,633321.45,4103.47
1550793600,2019-02-22 00:00:00,ETH/USD,147.56,151.0,146.0,150.42,433236.8,2908.31
