https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ADA
1589500800,2020-05-15 00:00:00,ADA/BTC,5.22e-06,5.47e-06,5.2e-06,5.39e-06,1.825,341080.79
1589414400,2020-05-14 00:00:00,ADA/BTC,5.55e-06,5.65e-06,5.22e-06,5.22e-06,2.089,388422.53
1589328000,2020-05-13 00:00:00,ADA/BTC,5.72e-06,5.76e-06,5.51e-06,5.55e-06,1.995,354399.41
1589241600,2020-05-12 00:00:00,ADA/BTC,5.57e-06,5.83e-06,5.57e-06,5.72e-06,1.644,286897.3
1589155200,2020-05-11 00:00:00,ADA/BTC,5.46e-06,5.61e-06,5.32e-06,5.57e-06,1.84,337729.36
1589068800,2020-05-10 00:00:00,ADA/BTC,5.39e-06,5.52e-06,5.14e-06,5.46e-06,1.989,368055.15
1588982400,2020-05-09 00:00:00,ADA/BTC,5.3e-06,5.46e-06,5.28e-06,5.39e-06,1.457,270746.1
1588896000,2020-05-08 00:00:00,ADA/BTC,5.13e-06,5.36e-06,5.12e-06,5.3e-06,1.372,261259.72
1588809600,2020-05-07 00:00:00,ADA/BTC,5.35e-06,5.4e-06,5.07e-06,5.13e-06,1.65,313856.64
1588723200,2020-05-06 00:00:00,ADA/BTC,5.48e-06,5.54e-06,5.35e-06,5.35e-06,1.508,275983.9
1588636800,2020-05-05 00:00:00,ADA/BTC,5.57e-06,5.65e-06,5.48e-06,5.48e-06,1.461,262169.1
1588550400,2020-05-04 00:00:00,ADA/BTC,5.51e-06,5.69e-06,5.37e-06,5.57e-06,1.937,350792.31
1588464000,2020-05-03 00:00:00,ADA/BTC,5.69e-06,5.72e-06,5.45e-06,5.51e-06,1.55,277875.86
1588377600,2020-05-02 00:00:00,ADA/BTC,5.77e-06,5.77e-06,5.63e-06,5.69e-06,1.438,252630.26
1588291200,2020-05-01 00:00:00,ADA/BTC,5.51e-06,5.87e-06,5.5e-06,5.77e-06,1.649,286901.18
1588204800,2020-04-30 00:00:00,ADA/BTC,5.85e-06,5.99e-06,5.4e-06,5.51e-06,2.009,352991.74
1588118400,2020-04-29 00:00:00,ADA/BTC,6.05e-06,6.18e-06,5.8e-06,5.85e-06,2.369,394491.0
1588032000,2020-04-28 00:00:00,ADA/BTC,6e-06,6.21e-06,5.98e-06,6.05e-06,2.158,353391.7
1587945600,2020-04-27 00:00:00,ADA/BTC,5.98e-06,6.13e-06,5.81e-06,6e-06,1.86,312889.03
1587859200,2020-04-26 00:00:00,ADA/BTC,5.62e-06,6.06e-06,5.57e-06,5.98e-06,1.801,313100.15
1587772800,2020-04-25 00:00:00,ADA/BTC,5.55e-06,5.75e-06,5.51e-06,5.62e-06,1.569,277389.14
1587686400,2020-04-24 00:00:00,ADA/BTC,5.46e-06,5.85e-06,5.46e-06,5.55e-06,1.977,347538.51
1587600000,2020-04-23 00:00:00,ADA/BTC,5.13e-06,5.63e-06,5.13e-06,5.46e-06,1.741,327414.94
1587513600,2020-04-22 00:00:00,ADA/BTC,5.05e-06,5.15e-06,5.03e-06,5.13e-06,1.058,208817.35
1587427200,2020-04-21 00:00:00,ADA/BTC,4.98e-06,5.07e-06,4.98e-06,5.05e-06,1.187,236559.78
1587340800,2020-04-20 00:00:00,ADA/BTC,5e-06,5.12e-06,4.98e-06,4.98e-06,1.147,227109.92
1587254400,2020-04-19 00:00:00,ADA/BTC,5.05e-06,5.09e-06,4.97e-06,5e-06,1.213,241246.68
1587168000,2020-04-18 00:00:00,ADA/BTC,4.88e-06,5.08e-06,4.86e-06,5.05e-06,1.697,341701.44
1587081600,2020-04-17 00:00:00,ADA/BTC,4.85e-06,4.9e-06,4.82e-06,4.88e-06,1.139,233909.61
1586995200,2020-04-16 00:00:00,ADA/BTC,4.82e-06,4.9e-06,4.76e-06,4.85e-06,1.127,234432.67
1586908800,2020-04-15 00:00:00,ADA/BTC,4.83e-06,4.89e-06,4.8e-06,4.82e-06,1.105,227985.48
1586822400,2020-04-14 00:00:00,ADA/BTC,4.85e-06,4.87e-06,4.8e-06,4.83e-06,1.51,312526.46
1586736000,2020-04-13 00:00:00,ADA/BTC,4.85e-06,4.9e-06,4.8e-06,4.85e-06,1.369,283301.67
