https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SDN,Volume USDT
1644192000,2022-02-07 00:00:00,SDN/USDT,1.085,1.212,1.058,1.113,87495.66367833,99147.81744133788
1644105600,2022-02-06 00:00:00,SDN/USDT,1.101,1.118,1.041,1.085,80370.03308049,86254.11544802088
1644019200,2022-02-05 00:00:00,SDN/USDT,1.086,1.111,1.048,1.102,69009.11493182,74330.73358304893
1643932800,2022-02-04 00:00:00,SDN/USDT,0.998,1.18,0.998,1.092,68140.68593995,72561.53127323527
1643846400,2022-02-03 00:00:00,SDN/USDT,1.037,1.065,0.982,0.998,49710.91408894,50347.67416466301
1643760000,2022-02-02 00:00:00,SDN/USDT,1.103,1.104,1.033,1.037,59307.79903875,63450.87405343763
1643673600,2022-02-01 00:00:00,SDN/USDT,1.043,1.216,1,1.102,168099.68717544,185561.32754301592
1643587200,2022-01-31 00:00:00,SDN/USDT,1.091,1.091,1,1.039,55362.69838741,56628.68740514972
1643500800,2022-01-30 00:00:00,SDN/USDT,1.044,1.105,1.008,1.086,73366.54781556,77288.36025750461
1643414400,2022-01-29 00:00:00,SDN/USDT,1.014,1.145,0.998,1.049,137151.92282256,147016.53481520658
1643328000,2022-01-28 00:00:00,SDN/USDT,0.892,1.073,0.882,1.013,147960.26102939,144283.92790809856
1643241600,2022-01-27 00:00:00,SDN/USDT,0.912,0.941,0.88,0.892,96404.11694777,87160.03158321151
1643155200,2022-01-26 00:00:00,SDN/USDT,0.896,0.978,0.865,0.912,126185.92135289,114890.43931833258
1643068800,2022-01-25 00:00:00,SDN/USDT,0.964,0.964,0.86,0.901,148881.07794148,134068.09954507263
