https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTT,Volume USDT
1643587200,2022-01-31 00:00:00,FTT/USDT,41.075,44.106,39.546,43.588,74326.44155101,3150233.30712960739
1643500800,2022-01-30 00:00:00,FTT/USDT,41.743,41.87,40.229,41.065,22243.40497958,914858.86936283189
1643414400,2022-01-29 00:00:00,FTT/USDT,40.041,41.929,39.917,41.712,22694.56788354,929762.91508814429
1643328000,2022-01-28 00:00:00,FTT/USDT,38.317,40.157,37.669,40.042,37465.85089939,1453073.90833756732
1643241600,2022-01-27 00:00:00,FTT/USDT,36.446,39.86,35.097,38.233,49323.44014839,1863801.05555107856
1643155200,2022-01-26 00:00:00,FTT/USDT,36.498,38.851,35.541,36.462,43062.5945995,1597602.70292860195
1643068800,2022-01-25 00:00:00,FTT/USDT,35.683,37.154,34.514,36.438,33199.42229483,1190018.36580262534
1642982400,2022-01-24 00:00:00,FTT/USDT,36.018,36.31,31,35.632,57978.42589487,1945989.43180583315
1642896000,2022-01-23 00:00:00,FTT/USDT,33.348,36.557,33.299,35.963,64373.36659441,2254039.07965687163
1642809600,2022-01-22 00:00:00,FTT/USDT,38.555,39.391,31.397,33.488,95461.57479714,3370538.27141561245
