https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNFI,Volume USDT
1648857600,2022-04-02 00:00:00,UNFI/USDT,6.766,7.42,6.765,6.927,13379.60397108,94110.02330728765
1648771200,2022-04-01 00:00:00,UNFI/USDT,6.566,7.09,6.068,6.801,23563.35608428,157201.05050038055
1648684800,2022-03-31 00:00:00,UNFI/USDT,6.291,7.054,6.2,6.467,43925.45620471,290791.73836298627
1648598400,2022-03-30 00:00:00,UNFI/USDT,5.919,6.598,5.827,6.305,18027.35901206,114627.07082018663
1648512000,2022-03-29 00:00:00,UNFI/USDT,5.827,6.4,5.773,5.938,17251.06703258,104029.57456739235
1648425600,2022-03-28 00:00:00,UNFI/USDT,6.037,6.515,5.752,5.839,22864.76195454,142849.01795637191
1648339200,2022-03-27 00:00:00,UNFI/USDT,5.867,6.127,5.722,6.061,8673.92059346,51385.98806916792
1648252800,2022-03-26 00:00:00,UNFI/USDT,5.488,5.897,5.486,5.85,7994.29065438,45646.63275092599
1648166400,2022-03-25 00:00:00,UNFI/USDT,5.659,5.802,5.412,5.462,14529.2082835,81761.11382275767
1648080000,2022-03-24 00:00:00,UNFI/USDT,5.628,5.796,5.568,5.644,8446.84478817,47962.61923643964
1647993600,2022-03-23 00:00:00,UNFI/USDT,5.358,5.689,5.31,5.642,18898.31173346,105207.31453843689
1647907200,2022-03-22 00:00:00,UNFI/USDT,5.26,5.524,5.243,5.348,19600.13292057,106304.46375420925
1647820800,2022-03-21 00:00:00,UNFI/USDT,5.207,5.43,5.02,5.259,11048.73313236,58486.42100874489
1647734400,2022-03-20 00:00:00,UNFI/USDT,5.25,5.398,5.055,5.207,25576.06758587,133402.33818530236
1647648000,2022-03-19 00:00:00,UNFI/USDT,5.081,5.43,5.08,5.253,17590.60387579,93639.59030284235
1647561600,2022-03-18 00:00:00,UNFI/USDT,4.879,5.067,4.688,5.064,4515.81831252,21793.90229633974
1647475200,2022-03-17 00:00:00,UNFI/USDT,5.117,5.158,4.872,4.874,6653.1635137,33595.89871250123
