https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUSDTHALF,Volume USD
1626652800000.0,2021-07-19 00:00:00,CUSDTHALF/USD,5350.25,5362.5,5343.0,5343.75,0.0,0.0
1626566400000.0,2021-07-18 00:00:00,CUSDTHALF/USD,5350.75,5365.75,5343.25,5350.25,0.0,0.0
1626480000000.0,2021-07-17 00:00:00,CUSDTHALF/USD,5345.5,5365.75,5344.0,5350.75,0.0,0.0
1626393600000.0,2021-07-16 00:00:00,CUSDTHALF/USD,5346.5,5365.75,5344.5,5345.5,0.0,0.0
1626307200000.0,2021-07-15 00:00:00,CUSDTHALF/USD,5352.75,5365.75,5345.25,5346.5,0.0,0.0
1626220800000.0,2021-07-14 00:00:00,CUSDTHALF/USD,5353.75,5365.75,5345.0,5352.75,0.0,0.0
1626134400000.0,2021-07-13 00:00:00,CUSDTHALF/USD,5354.25,5365.75,5346.75,5353.75,0.0,0.0
1626048000000.0,2021-07-12 00:00:00,CUSDTHALF/USD,5355.25,5365.75,5348.0,5354.25,0.0,0.0
1625961600000.0,2021-07-11 00:00:00,CUSDTHALF/USD,5356.25,5365.75,5347.0,5355.25,0.0,0.0
1625875200000.0,2021-07-10 00:00:00,CUSDTHALF/USD,5357.5,5365.75,5349.5,5356.25,0.0,0.0
1625788800000.0,2021-07-09 00:00:00,CUSDTHALF/USD,5360.25,5365.75,5351.25,5357.5,0.0,0.0
1625702400000.0,2021-07-08 00:00:00,CUSDTHALF/USD,5357.25,5365.75,5353.5,5360.25,0.0,0.0
1625616000000.0,2021-07-07 00:00:00,CUSDTHALF/USD,5363.75,5365.75,5356.0,5357.25,0.0,0.0
1625529600000.0,2021-07-06 00:00:00,CUSDTHALF/USD,5359.5,5365.75,5356.75,5363.75,0.0,0.0
1625443200000.0,2021-07-05 00:00:00,CUSDTHALF/USD,5360.5,5365.75,5358.75,5359.5,0.0,0.0
1625356800000.0,2021-07-04 00:00:00,CUSDTHALF/USD,5359.75,5365.75,5359.0,5360.5,0.0,0.0
1625270400000.0,2021-07-03 00:00:00,CUSDTHALF/USD,5361.25,5365.75,5359.5,5359.75,0.0,0.0
1625184000000.0,2021-07-02 00:00:00,CUSDTHALF/USD,5361.75,5365.75,5360.0,5365.75,0.0,0.0
1625097600000.0,2021-07-01 00:00:00,CUSDTHALF/USD,5365.75,5365.75,5361.75,5361.75,0.0,0.0
1625011200000.0,2021-06-30 00:00:00,CUSDTHALF/USD,5365.75,5365.75,5360.75,5365.75,0.0,0.0
1624924800000.0,2021-06-29 00:00:00,CUSDTHALF/USD,5365.75,5365.75,5362.25,5365.75,0.0,0.0
