https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DRGN,Volume BTC
1654596000,2022-06-07 10:00:00,DRGN/BTC,0.00000073,0.00000074,0.00000073,0.00000074,60084.39360273,0.0438860430869929
1654592400,2022-06-07 09:00:00,DRGN/BTC,0.00000074,0.00000074,0.0000007,0.00000073,82353.83709861,0.0588509211509853
1654588800,2022-06-07 08:00:00,DRGN/BTC,0.0000007,0.00000073,0.0000007,0.00000073,147997.30739451,0.1061984234639923
1654585200,2022-06-07 07:00:00,DRGN/BTC,0.00000069,0.00000071,0.00000069,0.0000007,30401.4548,0.021448806534
1654581600,2022-06-07 06:00:00,DRGN/BTC,0.00000071,0.00000071,0.00000068,0.0000007,64333.8465,0.044695407426
1654578000,2022-06-07 05:00:00,DRGN/BTC,0.00000071,0.00000072,0.00000071,0.00000072,11468.54618611,0.0081928147229992
1654574400,2022-06-07 04:00:00,DRGN/BTC,0.00000072,0.00000073,0.0000007,0.0000007,121133.0713,0.086632966245
1654570800,2022-06-07 03:00:00,DRGN/BTC,0.00000072,0.00000073,0.00000072,0.00000073,6199.09581506,0.0044663420069938
1654567200,2022-06-07 02:00:00,DRGN/BTC,0.00000072,0.00000073,0.00000072,0.00000073,1430.9043,0.00103162587
1654563600,2022-06-07 01:00:00,DRGN/BTC,0.00000073,0.00000074,0.00000072,0.00000072,12896.8697,0.009340357506
1654560000,2022-06-07 00:00:00,DRGN/BTC,0.00000074,0.00000074,0.00000073,0.00000073,11678.0511,0.008603590547
1654556400,2022-06-06 23:00:00,DRGN/BTC,0.00000073,0.00000075,0.00000073,0.00000075,27615.2619,0.020674569999
1654552800,2022-06-06 22:00:00,DRGN/BTC,0.00000073,0.00000074,0.00000072,0.00000074,161457.2187,0.118283214832
1654549200,2022-06-06 21:00:00,DRGN/BTC,0.00000077,0.00000078,0.00000072,0.00000074,224262.2055,0.1671180863
1654545600,2022-06-06 20:00:00,DRGN/BTC,0.00000077,0.00000077,0.00000076,0.00000077,45931.5048,0.035341859275
1654542000,2022-06-06 19:00:00,DRGN/BTC,0.00000078,0.00000079,0.00000077,0.00000077,52028.68882911,0.0406289375409969
1654538400,2022-06-06 18:00:00,DRGN/BTC,0.00000079,0.0000008,0.00000078,0.00000078,33243.109,0.026092233091
1654534800,2022-06-06 17:00:00,DRGN/BTC,0.00000083,0.00000083,0.00000078,0.00000078,227325.08913493,0.1806013738409919
1654531200,2022-06-06 16:00:00,DRGN/BTC,0.00000083,0.00000085,0.00000082,0.00000083,45002.075,0.037468037131
1654527600,2022-06-06 15:00:00,DRGN/BTC,0.00000085,0.00000085,0.00000082,0.00000084,123803.3846,0.104108967874
1654524000,2022-06-06 14:00:00,DRGN/BTC,0.00000082,0.00000085,0.00000082,0.00000085,77666.8026,0.064624956832
1654520400,2022-06-06 13:00:00,DRGN/BTC,0.00000082,0.00000084,0.00000081,0.00000084,37856.6502,0.031557870899
1654516800,2022-06-06 12:00:00,DRGN/BTC,0.00000086,0.00000088,0.00000081,0.00000083,262451.10941395,0.219601278047276
1654513200,2022-06-06 11:00:00,DRGN/BTC,0.00000081,0.00000093,0.00000078,0.00000085,565470.7180951,0.494026909779132
1654509600,2022-06-06 10:00:00,DRGN/BTC,0.00000081,0.00000082,0.00000078,0.00000081,212369.33250617,0.1709439256059977
1654506000,2022-06-06 09:00:00,DRGN/BTC,0.00000073,0.00000082,0.00000072,0.00000081,318213.66682357,0.243677168783327
1654502400,2022-06-06 08:00:00,DRGN/BTC,0.00000075,0.00000075,0.00000073,0.00000074,5986.8722,0.004410196091
1654498800,2022-06-06 07:00:00,DRGN/BTC,0.00000071,0.00000075,0.00000071,0.00000074,73451.66859729,0.0538726201009946
1654495200,2022-06-06 06:00:00,DRGN/BTC,0.00000073,0.00000073,0.0000007,0.00000072,77449.7849,0.054753061446
1654491600,2022-06-06 05:00:00,DRGN/BTC,0.00000074,0.00000074,0.00000072,0.00000073,87339.4161,0.063786593925
1654488000,2022-06-06 04:00:00,DRGN/BTC,0.00000073,0.00000073,0.00000071,0.00000073,15910.7393,0.011500412876
1654484400,2022-06-06 03:00:00,DRGN/BTC,0.00000072,0.00000074,0.00000071,0.00000074,11091.4309,0.008148746021
1654480800,2022-06-06 02:00:00,DRGN/BTC,0.00000074,0.00000074,0.0000007,0.00000072,88119.5046,0.063035764271
1654477200,2022-06-06 01:00:00,DRGN/BTC,0.00000074,0.00000078,0.00000072,0.00000074,157217.71156666,0.1163146628996616
1654473600,2022-06-06 00:00:00,DRGN/BTC,0.00000072,0.00000076,0.0000007,0.00000073,87794.4631,0.06462525576
1654470000,2022-06-05 23:00:00,DRGN/BTC,0.00000072,0.00000073,0.00000071,0.00000071,26845.8172,0.019159525465
1654466400,2022-06-05 22:00:00,DRGN/BTC,0.00000072,0.00000074,0.00000068,0.00000073,493249.36588055,0.349335016556996
1654462800,2022-06-05 21:00:00,DRGN/BTC,0.0000007,0.00000075,0.0000007,0.00000072,98755.1358,0.071736428959
1654459200,2022-06-05 20:00:00,DRGN/BTC,0.00000066,0.0000007,0.00000066,0.00000069,60046.9264723,0.041106384699749
1654455600,2022-06-05 19:00:00,DRGN/BTC,0.00000065,0.00000066,0.00000065,0.00000066,1656.3134,0.001088158565
1654452000,2022-06-05 18:00:00,DRGN/BTC,0.00000065,0.00000066,0.00000065,0.00000066,1352.855,0.000886951853
1654448400,2022-06-05 17:00:00,DRGN/BTC,0.00000065,0.00000066,0.00000064,0.00000065,11141.082,0.007213743853
1654444800,2022-06-05 16:00:00,DRGN/BTC,0.00000065,0.00000065,0.00000065,0.00000065,516.6886,0.00033584759
1654441200,2022-06-05 15:00:00,DRGN/BTC,0.00000066,0.00000067,0.00000065,0.00000066,36966.45170606,0.0244408772009996
1654437600,2022-06-05 14:00:00,DRGN/BTC,0.00000066,0.00000066,0.00000064,0.00000065,16164.2127,0.010600555577
1654434000,2022-06-05 13:00:00,DRGN/BTC,0.00000066,0.00000066,0.00000066,0.00000066,3813.0834,0.002516635044
