https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOLVE,Volume USDT
1649376000,2022-04-08 00:00:00,SOLVE/USDT,0.08896,0.09419,0.08522,0.08576,905111.382294,81187.0270035492788
1649289600,2022-04-07 00:00:00,SOLVE/USDT,0.08318,0.09665,0.08208,0.08865,1253528.4526231,113604.6321666052242
1649203200,2022-04-06 00:00:00,SOLVE/USDT,0.0914,0.09153,0.08182,0.08313,847679.62337828,73826.0327372896746
1649116800,2022-04-05 00:00:00,SOLVE/USDT,0.09696,0.09749,0.08983,0.09168,593698.92113937,55305.8515734901959
1649030400,2022-04-04 00:00:00,SOLVE/USDT,0.09694,0.10097,0.09422,0.09736,1173603.37037046,114118.9174482110656
1648944000,2022-04-03 00:00:00,SOLVE/USDT,0.08888,0.09989,0.08834,0.09694,538884.14580744,51083.8323553010313
1648857600,2022-04-02 00:00:00,SOLVE/USDT,0.08796,0.09489,0.08708,0.0889,1645286.97747213,148931.673937931686
1648771200,2022-04-01 00:00:00,SOLVE/USDT,0.08516,0.09415,0.08357,0.08796,1160244.172643,103518.5460010337106
1648684800,2022-03-31 00:00:00,SOLVE/USDT,0.08638,0.08914,0.08355,0.08512,364044.99294542,31258.6958367242084
1648598400,2022-03-30 00:00:00,SOLVE/USDT,0.08527,0.08707,0.08441,0.08619,282321.80671354,24181.5785465955501
1648512000,2022-03-29 00:00:00,SOLVE/USDT,0.08582,0.0896,0.08374,0.08502,682044.07921964,59197.2283642554446
1648425600,2022-03-28 00:00:00,SOLVE/USDT,0.0815,0.09054,0.08,0.08583,1001542.2827449,83724.8670517338734
1648339200,2022-03-27 00:00:00,SOLVE/USDT,0.07848,0.08299,0.07774,0.08179,360781.17865724,28811.7084578366284
1648252800,2022-03-26 00:00:00,SOLVE/USDT,0.07825,0.08174,0.07699,0.07848,345183.72731825,27060.8765644020005
1648166400,2022-03-25 00:00:00,SOLVE/USDT,0.07698,0.083,0.07681,0.07825,796943.26078135,63230.7191119690274
1648080000,2022-03-24 00:00:00,SOLVE/USDT,0.07722,0.07787,0.07503,0.07698,381983.36628509,29235.6269823961969
1647993600,2022-03-23 00:00:00,SOLVE/USDT,0.07602,0.078,0.07257,0.0772,434111.48610983,32726.1589203295763
1647907200,2022-03-22 00:00:00,SOLVE/USDT,0.07578,0.078,0.07399,0.07602,442922.40376034,33593.3155879758011
1647820800,2022-03-21 00:00:00,SOLVE/USDT,0.07593,0.08258,0.073,0.0759,533267.85962821,40377.6644857597526
1647734400,2022-03-20 00:00:00,SOLVE/USDT,0.08008,0.08033,0.07564,0.07618,302199.26114898,23439.1770423474551
1647648000,2022-03-19 00:00:00,SOLVE/USDT,0.07848,0.08765,0.07762,0.08032,1542349.0579918,127834.7314574436549
1647561600,2022-03-18 00:00:00,SOLVE/USDT,0.07113,0.09615,0.07003,0.07849,4664950.40606173,392680.613924746064
1647475200,2022-03-17 00:00:00,SOLVE/USDT,0.06973,0.07389,0.06872,0.07117,696574.65829405,49132.5685409134891
1647388800,2022-03-16 00:00:00,SOLVE/USDT,0.06857,0.0705,0.06647,0.06974,586020.73475126,40155.3518012644636
1647302400,2022-03-15 00:00:00,SOLVE/USDT,0.07037,0.07038,0.06704,0.06864,350195.98057064,24158.6665306143662
1647216000,2022-03-14 00:00:00,SOLVE/USDT,0.06915,0.07041,0.06701,0.07038,234014.39601269,16035.7327059772124
1647129600,2022-03-13 00:00:00,SOLVE/USDT,0.06917,0.07058,0.06895,0.06915,248190.23881523,17315.1388178918515
1647043200,2022-03-12 00:00:00,SOLVE/USDT,0.07002,0.07023,0.06737,0.0691,224545.19434754,15431.8241555476743
1646956800,2022-03-11 00:00:00,SOLVE/USDT,0.06921,0.07097,0.06679,0.07002,440926.85996688,30415.6719690324228
1646870400,2022-03-10 00:00:00,SOLVE/USDT,0.07462,0.07462,0.06856,0.06938,497132.26044967,35591.5907315571196
1646784000,2022-03-09 00:00:00,SOLVE/USDT,0.07209,0.07597,0.07209,0.07465,383097.76983758,28422.7975805849902
1646697600,2022-03-08 00:00:00,SOLVE/USDT,0.07267,0.077,0.06925,0.07192,643947.95250796,46414.5787703994246
1646611200,2022-03-07 00:00:00,SOLVE/USDT,0.07008,0.08224,0.06926,0.07291,959730.73129637,71239.8978586797095
1646524800,2022-03-06 00:00:00,SOLVE/USDT,0.07309,0.07315,0.06986,0.0703,191055.77887305,13605.5864226405754
1646438400,2022-03-05 00:00:00,SOLVE/USDT,0.07203,0.07816,0.07,0.07309,533199.24041627,38476.2302192897688
1646352000,2022-03-04 00:00:00,SOLVE/USDT,0.07608,0.07689,0.07109,0.07174,329235.6294085,24510.4842803911856
1646265600,2022-03-03 00:00:00,SOLVE/USDT,0.07368,0.076,0.07154,0.076,356406.5808514,26109.0657945179125
1646179200,2022-03-02 00:00:00,SOLVE/USDT,0.07531,0.08126,0.07267,0.07363,643058.51941274,48277.4470859631574
1646092800,2022-03-01 00:00:00,SOLVE/USDT,0.07595,0.08378,0.07387,0.07513,810780.89764238,62430.4651292194578
1646006400,2022-02-28 00:00:00,SOLVE/USDT,0.06924,0.0762,0.06836,0.07567,572344.93747565,42108.2523591825502
1645920000,2022-02-27 00:00:00,SOLVE/USDT,0.07266,0.07324,0.06925,0.06948,270464.58857755,19186.5641403413134
1645833600,2022-02-26 00:00:00,SOLVE/USDT,0.07121,0.07389,0.0712,0.07273,169326.40517175,12308.1699536860567
1645747200,2022-02-25 00:00:00,SOLVE/USDT,0.06614,0.07195,0.06575,0.07149,263777.11517075,18241.040917123938
