https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TXA,Volume USDT
1650214800,2022-04-17 17:00:00,TXA/USDT,1.9645,1.9666,1.9644,1.9646,17283.1792,33957.12434565
1650211200,2022-04-17 16:00:00,TXA/USDT,1.9645,1.9666,1.9642,1.9645,15547.631,30552.00056927
1650207600,2022-04-17 15:00:00,TXA/USDT,1.969,1.969,1.9644,1.9645,7599.9281,14933.81921345
1650204000,2022-04-17 14:00:00,TXA/USDT,1.9692,1.9732,1.9588,1.969,13331.27549099,26249.930229991468
1650200400,2022-04-17 13:00:00,TXA/USDT,1.9688,1.9711,1.9688,1.9692,5292.6162,10422.27642415
1650196800,2022-04-17 12:00:00,TXA/USDT,1.9707,1.9732,1.9683,1.9688,18651.2762,36753.39723905
1650193200,2022-04-17 11:00:00,TXA/USDT,1.9716,1.975,1.9685,1.9707,9637.8864,18993.68871316
1650189600,2022-04-17 10:00:00,TXA/USDT,1.9717,1.9719,1.9711,1.9716,5522.2841,10887.31426218
1650186000,2022-04-17 09:00:00,TXA/USDT,1.9715,1.9719,1.9715,1.9717,5767.6589,11371.38672654
1650182400,2022-04-17 08:00:00,TXA/USDT,1.9714,1.9717,1.9712,1.9715,24635.7739,48567.19685778
1650178800,2022-04-17 07:00:00,TXA/USDT,1.9711,1.9715,1.971,1.9714,15475.4446,30505.25594941
1650175200,2022-04-17 06:00:00,TXA/USDT,1.9709,1.9713,1.9709,1.9711,21383.3228,42147.99364648
1650171600,2022-04-17 05:00:00,TXA/USDT,1.9706,1.9749,1.9704,1.9709,24285.7411,47861.01937283
1650168000,2022-04-17 04:00:00,TXA/USDT,1.9713,1.9715,1.9696,1.9706,14981.5793,29527.29300826
1650164400,2022-04-17 03:00:00,TXA/USDT,1.9711,1.975,1.971,1.9713,30020.11339367,59176.63731450825
1650160800,2022-04-17 02:00:00,TXA/USDT,1.971,1.9714,1.9709,1.9711,14330.8524,28247.48630637
1650157200,2022-04-17 01:00:00,TXA/USDT,1.9708,1.9713,1.9706,1.971,7927.6862,15624.83468707
1650153600,2022-04-17 00:00:00,TXA/USDT,1.971,1.9727,1.9677,1.9708,18567.0203,36593.40391967
1650150000,2022-04-16 23:00:00,TXA/USDT,1.9703,1.973,1.9701,1.971,8163.3844,16087.88496712
1650146400,2022-04-16 22:00:00,TXA/USDT,1.969,1.974,1.9689,1.9702,22122.71838843,43568.957162574732
1650142800,2022-04-16 21:00:00,TXA/USDT,1.9681,1.9722,1.968,1.969,27301.1104,53742.09028347
1650139200,2022-04-16 20:00:00,TXA/USDT,1.9699,1.9721,1.968,1.968,19514.67047409,38418.588338382889
1650135600,2022-04-16 19:00:00,TXA/USDT,1.9673,1.9673,1.9673,1.9673,51.6514,101.61379922
1650132000,2022-04-16 18:00:00,TXA/USDT,1.9718,1.9808,1.9661,1.9663,1578.6104339,3115.22832424708
1650128400,2022-04-16 17:00:00,TXA/USDT,2.0083,2.0083,1.9735,1.9735,3320.1374,6597.96063074
1650124800,2022-04-16 16:00:00,TXA/USDT,2.0088,2.0088,2.0071,2.0071,98.7695,198.39943033
1650121200,2022-04-16 15:00:00,TXA/USDT,2.0145,2.0153,2.0088,2.0088,2558.7246,5155.34046526
1650117600,2022-04-16 14:00:00,TXA/USDT,2.0102,2.0212,2.0039,2.0145,6834.58397011,13768.744295106112
1650114000,2022-04-16 13:00:00,TXA/USDT,1.9031,2.0343,1.9029,2.0112,13585.2268,26762.53331249
1650110400,2022-04-16 12:00:00,TXA/USDT,1.9004,1.9031,1.8985,1.9028,13811.298,26226.85997746
1650106800,2022-04-16 11:00:00,TXA/USDT,1.8977,1.9008,1.8977,1.9004,22042.0004,41854.19734625
1650103200,2022-04-16 10:00:00,TXA/USDT,1.9006,1.9009,1.8972,1.8977,33245.7225,63167.60833604
1650099600,2022-04-16 09:00:00,TXA/USDT,1.9003,1.9009,1.9003,1.9006,13342.7706,25358.41039197
1650096000,2022-04-16 08:00:00,TXA/USDT,1.9004,1.9007,1.9001,1.9004,8739.8852,16608.23243459
1650092400,2022-04-16 07:00:00,TXA/USDT,1.8998,1.9024,1.8998,1.9002,26912.0723,51142.77829534
1650088800,2022-04-16 06:00:00,TXA/USDT,1.8995,1.903,1.8994,1.8998,14366.2271,27289.02570017
1650085200,2022-04-16 05:00:00,TXA/USDT,1.8994,1.8997,1.8992,1.8995,7510.5393,14265.28650747
1650081600,2022-04-16 04:00:00,TXA/USDT,1.8999,1.8999,1.8992,1.8994,2480.1923,4710.55389799
1650078000,2022-04-16 03:00:00,TXA/USDT,1.8981,1.8981,1.8981,1.8981,0,0
1650074400,2022-04-16 02:00:00,TXA/USDT,1.8981,1.8981,1.8981,1.8981,0,0
1650070800,2022-04-16 01:00:00,TXA/USDT,1.8981,1.8981,1.8981,1.8981,1.0524,1.99756044
1650067200,2022-04-16 00:00:00,TXA/USDT,1.8902,1.902,1.8902,1.902,1.6675,3.15851414
1650063600,2022-04-15 23:00:00,TXA/USDT,1.8974,1.8974,1.8974,1.8974,20.5237,38.94166838
1650060000,2022-04-15 22:00:00,TXA/USDT,1.9015,1.9016,1.9015,1.9016,15.3203,29.13296587
1650056400,2022-04-15 21:00:00,TXA/USDT,1.902,1.9021,1.8974,1.8974,56.1853,106.82237932
1650052800,2022-04-15 20:00:00,TXA/USDT,1.8993,1.8993,1.8993,1.8993,0,0
1650049200,2022-04-15 19:00:00,TXA/USDT,1.9,1.9043,1.8993,1.8993,283.49912086,539.348530688236
