https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALBT,Volume USDT
1651363200,2022-05-01 00:00:00,ALBT/USDT,0.16596,0.176,0.16011,0.16551,1078698.70164289,179031.5567390401353
1651276800,2022-04-30 00:00:00,ALBT/USDT,0.18003,0.18122,0.16511,0.16646,691432.6166195,120635.5713983335382
1651190400,2022-04-29 00:00:00,ALBT/USDT,0.18792,0.18792,0.17011,0.18003,1088582.15061397,193501.7624659490885
1651104000,2022-04-28 00:00:00,ALBT/USDT,0.18265,0.1983,0.18011,0.18792,842460.01616697,158592.2154025759957
1651017600,2022-04-27 00:00:00,ALBT/USDT,0.18043,0.18825,0.18004,0.18271,734677.23235974,134430.8348486712253
1650931200,2022-04-26 00:00:00,ALBT/USDT,0.19096,0.19388,0.18002,0.181,780533.81124708,145643.4265403813853
1650844800,2022-04-25 00:00:00,ALBT/USDT,0.19199,0.194,0.1819,0.19107,1149326.68670421,215593.8356476349393
1650758400,2022-04-24 00:00:00,ALBT/USDT,0.19535,0.2,0.191,0.19296,812837.1170949,158747.2268458854925
1650672000,2022-04-23 00:00:00,ALBT/USDT,0.19677,0.22827,0.19111,0.19463,2267831.28578793,464975.7136852781096
1650585600,2022-04-22 00:00:00,ALBT/USDT,0.19771,0.20473,0.19,0.19677,1573480.80037791,307821.6275831643017
1650499200,2022-04-21 00:00:00,ALBT/USDT,0.2113,0.21999,0.1931,0.19771,1442745.40641704,301111.6076468288844
1650412800,2022-04-20 00:00:00,ALBT/USDT,0.20886,0.21837,0.20401,0.21131,1040550.84311571,218872.9656769590365
1650326400,2022-04-19 00:00:00,ALBT/USDT,0.21077,0.21773,0.20321,0.20962,1319596.56439431,276334.6998067405006
1650240000,2022-04-18 00:00:00,ALBT/USDT,0.2056,0.21117,0.2002,0.21076,1543168.79312598,317415.2691490249653
1650153600,2022-04-17 00:00:00,ALBT/USDT,0.20605,0.21598,0.20555,0.2056,965944.91248448,200561.9206493528241
1650067200,2022-04-16 00:00:00,ALBT/USDT,0.20718,0.21306,0.20201,0.20499,765855.1591926,158355.8140240116511
1649980800,2022-04-15 00:00:00,ALBT/USDT,0.2092,0.21388,0.20237,0.20798,913398.99081302,189169.561871003769
1649894400,2022-04-14 00:00:00,ALBT/USDT,0.2186,0.22705,0.20499,0.20951,1259782.55608469,270620.6526141658547
1649808000,2022-04-13 00:00:00,ALBT/USDT,0.21748,0.22275,0.2089,0.21902,2068331.89333993,444652.3157042847166
1649721600,2022-04-12 00:00:00,ALBT/USDT,0.22001,0.23233,0.20754,0.21766,2404070.21838566,524616.6518459603838
1649635200,2022-04-11 00:00:00,ALBT/USDT,0.23916,0.24573,0.22,0.22001,1252913.63165893,286425.3548995225901
1649548800,2022-04-10 00:00:00,ALBT/USDT,0.25334,0.26119,0.23567,0.23846,1297616.92091135,322585.758098666272
1649462400,2022-04-09 00:00:00,ALBT/USDT,0.24086,0.2552,0.23968,0.25334,760847.31783099,186977.9688629477583
1649376000,2022-04-08 00:00:00,ALBT/USDT,0.25145,0.26644,0.2368,0.23993,1082274.63088085,274136.946445365297
1649289600,2022-04-07 00:00:00,ALBT/USDT,0.26095,0.26894,0.25131,0.25161,1258290.08914869,325810.5861443252625
1649203200,2022-04-06 00:00:00,ALBT/USDT,0.282,0.29803,0.25501,0.26095,1561102.34971807,424372.5800711055186
1649116800,2022-04-05 00:00:00,ALBT/USDT,0.29501,0.344,0.28121,0.28339,2130885.04852589,648445.8868483576903
1649030400,2022-04-04 00:00:00,ALBT/USDT,0.33314,0.36,0.29,0.29503,2283932.6681852,721927.5533881237719
1648944000,2022-04-03 00:00:00,ALBT/USDT,0.28935,0.37327,0.28011,0.33314,3011627.70793343,958015.1898391324106
1648857600,2022-04-02 00:00:00,ALBT/USDT,0.30499,0.32977,0.28216,0.28925,2363666.09560311,714851.5472883267666
1648771200,2022-04-01 00:00:00,ALBT/USDT,0.25223,0.32,0.2454,0.30499,8969655.82199147,2498534.9686626412787
1648684800,2022-03-31 00:00:00,ALBT/USDT,0.2151,0.2588,0.20994,0.25223,4825746.97369852,1106327.3365331027339
1648598400,2022-03-30 00:00:00,ALBT/USDT,0.22238,0.23655,0.20399,0.21586,2800774.2316531,613289.6045940245653
1648512000,2022-03-29 00:00:00,ALBT/USDT,0.2391,0.24718,0.22001,0.2231,1809149.40255737,426193.5842157165994
