https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PDEX,Volume USDT
1654430400,2022-06-05 12:00:00,PDEX/USDT,1.9754,2.1431,1.9754,2.0127,21130.77297828,43295.338008495943
1654426800,2022-06-05 11:00:00,PDEX/USDT,1.9602,1.9852,1.9601,1.9754,5123.18061747,10073.561171061342
1654423200,2022-06-05 10:00:00,PDEX/USDT,1.951,1.9653,1.9424,1.9602,6978.072,13628.60415741
1654419600,2022-06-05 09:00:00,PDEX/USDT,1.956,1.9653,1.9424,1.9509,5111.29110502,9988.656354155806
1654416000,2022-06-05 08:00:00,PDEX/USDT,1.9524,1.9609,1.9523,1.956,4725.8453,9249.39800859
1654412400,2022-06-05 07:00:00,PDEX/USDT,1.9486,1.9818,1.9484,1.9523,4845.02351058,9486.321578334041
1654408800,2022-06-05 06:00:00,PDEX/USDT,1.9345,1.9487,1.9344,1.9487,4479.84216224,8696.116197327088
1654405200,2022-06-05 05:00:00,PDEX/USDT,1.9684,1.9684,1.9344,1.9345,5077.6927,9879.0019955
1654401600,2022-06-05 04:00:00,PDEX/USDT,1.9618,1.9685,1.9522,1.9684,4149.09656998,8145.879320561171
1654398000,2022-06-05 03:00:00,PDEX/USDT,1.9523,1.962,1.9523,1.9617,4275.01498469,8366.86240909178
1654394400,2022-06-05 02:00:00,PDEX/USDT,1.9653,1.9653,1.9489,1.9523,4419.82742094,8633.298410883382
1654390800,2022-06-05 01:00:00,PDEX/USDT,1.9624,1.9719,1.95,1.9652,5252.06262439,10280.956359003667
1654387200,2022-06-05 00:00:00,PDEX/USDT,1.9624,1.9719,1.9621,1.9623,4663.45499703,9163.557477853457
1654383600,2022-06-04 23:00:00,PDEX/USDT,1.9523,1.9771,1.9523,1.9624,5802.28433133,11426.024224379249
1654380000,2022-06-04 22:00:00,PDEX/USDT,1.9586,1.9663,1.95,1.9514,5062.92041365,9904.601993006213
1654376400,2022-06-04 21:00:00,PDEX/USDT,1.9488,1.9587,1.9276,1.9584,5092.54268998,9903.047233821962
1654372800,2022-06-04 20:00:00,PDEX/USDT,1.9215,1.95,1.9215,1.9487,5834.03697221,11292.033905155924
1654369200,2022-06-04 19:00:00,PDEX/USDT,1.9227,1.9298,1.9192,1.9216,5193.96470966,10000.969129053174
1654365600,2022-06-04 18:00:00,PDEX/USDT,1.9288,1.93,1.9227,1.9298,5015.65610619,9671.725748180716
1654362000,2022-06-04 17:00:00,PDEX/USDT,1.9287,1.9299,1.9192,1.9226,4891.03379109,9405.043080448425
1654358400,2022-06-04 16:00:00,PDEX/USDT,1.9126,1.9288,1.9126,1.9288,5492.59016549,10544.015192293512
1654354800,2022-06-04 15:00:00,PDEX/USDT,1.887,1.9126,1.887,1.9126,5134.7216023,9760.585449715184
1654351200,2022-06-04 14:00:00,PDEX/USDT,1.8809,1.8994,1.8807,1.8961,5381.90552735,10188.970499945308
1654347600,2022-06-04 13:00:00,PDEX/USDT,1.8868,1.8932,1.8807,1.8809,5138.16098259,9714.945375989388
1654344000,2022-06-04 12:00:00,PDEX/USDT,1.8966,1.8997,1.8868,1.8869,4384.50039338,8313.062752854617
1654340400,2022-06-04 11:00:00,PDEX/USDT,1.9092,1.9188,1.8806,1.8967,5666.55692263,10759.376906986663
1654336800,2022-06-04 10:00:00,PDEX/USDT,1.9032,1.9125,1.9032,1.9094,3482.8374,6650.47533218
1654333200,2022-06-04 09:00:00,PDEX/USDT,1.8959,1.9093,1.8903,1.9033,4391.9711,8357.96709652
1654329600,2022-06-04 08:00:00,PDEX/USDT,1.8817,1.8964,1.8817,1.8959,4263.3691,8063.58415936
1654326000,2022-06-04 07:00:00,PDEX/USDT,1.8893,1.8899,1.8807,1.8817,4963.1042,9357.00256297
1654322400,2022-06-04 06:00:00,PDEX/USDT,1.8899,1.8899,1.8808,1.8892,4633.84687585,8749.817103028915
1654318800,2022-06-04 05:00:00,PDEX/USDT,1.9225,1.9227,1.8806,1.8808,9035.3553,17140.91476155
1654315200,2022-06-04 04:00:00,PDEX/USDT,1.9289,1.9309,1.9094,1.9227,5012.9133,9634.53397999
1654311600,2022-06-04 03:00:00,PDEX/USDT,1.9237,1.9288,1.9192,1.9287,4953.57770688,9547.850704430144
1654308000,2022-06-04 02:00:00,PDEX/USDT,1.9027,1.9263,1.8998,1.9237,5219.03992782,9975.70880913132
1654304400,2022-06-04 01:00:00,PDEX/USDT,1.9189,1.919,1.9027,1.9027,4755.8804,9096.25336712
1654300800,2022-06-04 00:00:00,PDEX/USDT,1.9094,1.9353,1.8522,1.9188,10417.39093764,19830.692744070144
1654297200,2022-06-03 23:00:00,PDEX/USDT,1.852,1.9158,1.8489,1.9095,9348.90767885,17454.360002546803
1654293600,2022-06-03 22:00:00,PDEX/USDT,1.8206,1.8623,1.8204,1.8519,5994.21221702,11072.926515030151
