https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTT,Volume BTC
1650326400,2022-04-19 00:00:00,FTT/BTC,0.0010631,0.0010662,0.0010474,0.0010495,1681.82376381,1.779864331988274
1650240000,2022-04-18 00:00:00,FTT/BTC,0.0011293,0.0011293,0.001037,0.0010641,15992.00916961,17.195523800048746
1650153600,2022-04-17 00:00:00,FTT/BTC,0.0010349,0.001199,0.0010347,0.0011293,23668.21394913,27.040519942669249
1650067200,2022-04-16 00:00:00,FTT/BTC,0.0010525,0.0010623,0.0010298,0.0010357,2699.96595981,2.832831277492551
1649980800,2022-04-15 00:00:00,FTT/BTC,0.0010449,0.0010673,0.0010428,0.0010504,13306.60519976,14.037530426697584
1649894400,2022-04-14 00:00:00,FTT/BTC,0.0010419,0.0010486,0.0010402,0.0010445,387.88067024,0.405246272681897
1649808000,2022-04-13 00:00:00,FTT/BTC,0.0010429,0.0010492,0.0010342,0.0010423,530.97383349,0.551598562666096
1649721600,2022-04-12 00:00:00,FTT/BTC,0.0010471,0.0010537,0.0010409,0.0010424,1741.55647884,1.822879228503108
1649635200,2022-04-11 00:00:00,FTT/BTC,0.001068,0.0010688,0.0010317,0.0010475,3522.54683048,3.683002960003086
1649548800,2022-04-10 00:00:00,FTT/BTC,0.0010666,0.0010746,0.0010664,0.0010674,709.93961864,0.758547617318352
1649462400,2022-04-09 00:00:00,FTT/BTC,0.0010568,0.0010693,0.0010568,0.0010693,284.7583,0.30286937236
1649376000,2022-04-08 00:00:00,FTT/BTC,0.0010495,0.0010647,0.0010455,0.0010573,2218.49757798,2.338448548537326
1649289600,2022-04-07 00:00:00,FTT/BTC,0.0010425,0.0010522,0.001037,0.0010495,1409.77377448,1.472613303392247
1649203200,2022-04-06 00:00:00,FTT/BTC,0.0010655,0.0010685,0.0010392,0.0010425,5051.67969902,5.325778335709078
1649116800,2022-04-05 00:00:00,FTT/BTC,0.0010759,0.0010922,0.0010645,0.0010685,4043.41091694,4.343029654030148
1649030400,2022-04-04 00:00:00,FTT/BTC,0.0010854,0.0010908,0.0010749,0.0010778,408.67904282,0.442728283714086
1648944000,2022-04-03 00:00:00,FTT/BTC,0.0010829,0.0010928,0.0010809,0.0010851,473.9236662,0.515144252911005
1648857600,2022-04-02 00:00:00,FTT/BTC,0.0010906,0.0010938,0.0010782,0.001086,1764.6512798,1.917516604355854
1648771200,2022-04-01 00:00:00,FTT/BTC,0.001072,0.0011008,0.0010695,0.0010898,734.13959152,0.798354473962429
1648684800,2022-03-31 00:00:00,FTT/BTC,0.0010868,0.0010933,0.0010626,0.0010759,4264.86015036,4.585377074740331
1648598400,2022-03-30 00:00:00,FTT/BTC,0.0010758,0.0010939,0.0010687,0.0010884,1675.61692333,1.812954279241076
1648512000,2022-03-29 00:00:00,FTT/BTC,0.0010984,0.0011111,0.0010693,0.0010775,2083.12849655,2.26654768117284
1648425600,2022-03-28 00:00:00,FTT/BTC,0.0011094,0.001112,0.0010889,0.001096,3593.90705823,3.963538478271569
1648339200,2022-03-27 00:00:00,FTT/BTC,0.0011218,0.0011328,0.0011073,0.00111,5623.89344761,6.287834459007613
1648252800,2022-03-26 00:00:00,FTT/BTC,0.0011224,0.0011355,0.0011211,0.0011215,1117.64116952,1.261729152533668
1648166400,2022-03-25 00:00:00,FTT/BTC,0.0011222,0.0011534,0.0011174,0.0011222,3094.38561578,3.515841963196956
1648080000,2022-03-24 00:00:00,FTT/BTC,0.0010758,0.0011286,0.0010741,0.001126,2052.87330817,2.24950011661259
1647993600,2022-03-23 00:00:00,FTT/BTC,0.0010684,0.0010862,0.0010665,0.0010772,1192.96418174,1.28713135369644
1647907200,2022-03-22 00:00:00,FTT/BTC,0.0010892,0.0010916,0.0010683,0.0010694,5903.17543106,6.385824185726381
1647820800,2022-03-21 00:00:00,FTT/BTC,0.0010654,0.0010934,0.0010654,0.0010892,1979.93387753,2.154053442528542
1647734400,2022-03-20 00:00:00,FTT/BTC,0.0010629,0.0010714,0.0010601,0.0010659,908.44001758,0.966390808214431
1647648000,2022-03-19 00:00:00,FTT/BTC,0.0010686,0.0010775,0.0010625,0.0010641,1950.43125697,2.085602740976534
1647561600,2022-03-18 00:00:00,FTT/BTC,0.0010515,0.001074,0.0010506,0.0010686,618.45162154,0.656295220147946
1647475200,2022-03-17 00:00:00,FTT/BTC,0.0010394,0.0010562,0.0010383,0.0010532,1161.04326202,1.216559510362767
1647388800,2022-03-16 00:00:00,FTT/BTC,0.0010432,0.0010487,0.0010201,0.0010397,8883.30192784,9.221205782558984
1647302400,2022-03-15 00:00:00,FTT/BTC,0.0010444,0.0010531,0.0010399,0.0010429,1690.36892048,1.770951822898714
1647216000,2022-03-14 00:00:00,FTT/BTC,0.0010545,0.0010574,0.0010345,0.0010463,3191.77241818,3.322125315906801
1647129600,2022-03-13 00:00:00,FTT/BTC,0.0010537,0.0010596,0.0010487,0.0010543,642.04828961,0.676026042275377
1647043200,2022-03-12 00:00:00,FTT/BTC,0.001053,0.0010568,0.0010491,0.0010549,153.59639335,0.161857679599407
1646956800,2022-03-11 00:00:00,FTT/BTC,0.0010333,0.0010572,0.0010332,0.0010542,923.92871271,0.966871385692564
1646870400,2022-03-10 00:00:00,FTT/BTC,0.0010182,0.0010406,0.0010182,0.0010338,904.30761887,0.930584063145615
1646784000,2022-03-09 00:00:00,FTT/BTC,0.0010468,0.0010492,0.001017,0.0010185,2236.64009059,2.302186008654096
1646697600,2022-03-08 00:00:00,FTT/BTC,0.0010492,0.0010562,0.001044,0.0010469,985.89004482,1.036058258694829
1646611200,2022-03-07 00:00:00,FTT/BTC,0.0010348,0.0010494,0.0010285,0.0010494,1246.17777066,1.296592421144508
1646524800,2022-03-06 00:00:00,FTT/BTC,0.0010454,0.0010482,0.0010351,0.0010357,438.77246741,0.4569923873264
