https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1659110400,2022-07-29 16:00:00,ETH/USDT,1716.69,1716.69,1669.20,1694.61,14.48560679,24547.454122401898
1659106800,2022-07-29 15:00:00,ETH/USDT,1719.98,1722.61,1715.69,1720.96,11.20217931,19278.5025053376
1659103200,2022-07-29 14:00:00,ETH/USDT,1706.14,1742.42,1706.14,1729.78,21.54110474,37261.3721571572
1659099600,2022-07-29 13:00:00,ETH/USDT,1664.27,1702.43,1663.30,1693.18,19.06705644,32283.958623079205
1659096000,2022-07-29 12:00:00,ETH/USDT,1679.14,1681.64,1658.69,1667.07,31.28785206,52159.039533664196
1659092400,2022-07-29 11:00:00,ETH/USDT,1719.01,1720.43,1671.54,1682.25,21.51866178,36199.768779405
1659088800,2022-07-29 10:00:00,ETH/USDT,1723.75,1727.57,1723.54,1723.54,4.59433266,7918.5161128164
1659085200,2022-07-29 09:00:00,ETH/USDT,1713.75,1724.13,1713.75,1718.15,5.63043072,9673.924541568
1659081600,2022-07-29 08:00:00,ETH/USDT,1710.77,1724.55,1700.65,1717.46,15.06314380,25870.346950748
1659078000,2022-07-29 07:00:00,ETH/USDT,1715.42,1715.42,1695.37,1695.54,5.65043658,9580.5412388532
1659074400,2022-07-29 06:00:00,ETH/USDT,1743.37,1743.37,1714.45,1714.45,5.71603356,9799.853736942
1659070800,2022-07-29 05:00:00,ETH/USDT,1741.30,1741.30,1722.32,1729.82,13.30542871,23015.996691132197
1659067200,2022-07-29 04:00:00,ETH/USDT,1726.77,1741.85,1726.77,1740.57,3.01416340,5246.362389138
1659063600,2022-07-29 03:00:00,ETH/USDT,1718.71,1729.50,1718.71,1729.50,5.08604839,8796.320690505001
1659060000,2022-07-29 02:00:00,ETH/USDT,1715.97,1715.97,1715.97,1715.97,1.02861657,1765.0751756229001
1659056400,2022-07-29 01:00:00,ETH/USDT,1722.86,1722.86,1698.40,1716.11,21.89644881,37576.7147673291
1659052800,2022-07-29 00:00:00,ETH/USDT,1710.02,1728.62,1699.22,1728.62,13.52545109,23380.3652631958
1659049200,2022-07-28 23:00:00,ETH/USDT,1740.03,1741.16,1722.07,1723.59,4.21404956,7263.2936811204
1659045600,2022-07-28 22:00:00,ETH/USDT,1737.35,1748.94,1737.35,1744.28,10.54715196,18397.1862207888
1659042000,2022-07-28 21:00:00,ETH/USDT,1765.09,1765.09,1742.27,1745.74,5.10764992,8916.6287713408
1659038400,2022-07-28 20:00:00,ETH/USDT,1727.15,1783.71,1727.15,1755.04,7.56760186,13281.4439683744
1659034800,2022-07-28 19:00:00,ETH/USDT,1721.07,1726.40,1721.07,1726.40,2.42683239,4189.683438096
1659031200,2022-07-28 18:00:00,ETH/USDT,1747.83,1747.83,1716.15,1717.64,12.82754606,22033.1062144984
1659027600,2022-07-28 17:00:00,ETH/USDT,1728.89,1747.83,1726.49,1746.90,17.18685216,30023.712038304002
1659024000,2022-07-28 16:00:00,ETH/USDT,1729.51,1737.65,1674.90,1725.70,10.31276503,17796.738612271
1659020400,2022-07-28 15:00:00,ETH/USDT,1653.33,1750.49,1540.91,1729.07,121.91949570,210807.342429999
1659016800,2022-07-28 14:00:00,ETH/USDT,1618.62,1646.05,1615.45,1643.11,26.92216127,44236.072404349696
1659013200,2022-07-28 13:00:00,ETH/USDT,1632.32,1663.63,1622.07,1622.07,9.04725630,14675.283026541001
1659009600,2022-07-28 12:00:00,ETH/USDT,1637.37,1641.92,1618.61,1639.83,19.76135979,32405.2706244357
1659006000,2022-07-28 11:00:00,ETH/USDT,1626.74,1640.59,1623.88,1640.59,24.14516235,39612.311899786495
1659002400,2022-07-28 10:00:00,ETH/USDT,1618.78,1626.73,1618.35,1626.73,3.95297679,6430.4259335967
