https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume BTC
1653350400000.0,2022-05-24 00:00:00,DOT/BTC,0.00033992,0.00034605,0.0003297,0.00034364,27928.912655686185,9.597491545
1653264000000.0,2022-05-23 00:00:00,DOT/BTC,0.00033575,0.00035912,0.00033224,0.00033992,44140.61253530242,15.004277013
1653177600000.0,2022-05-22 00:00:00,DOT/BTC,0.00033953,0.00034484,0.0003329,0.00033575,10073.209119880865,3.382079962
1653091200000.0,2022-05-21 00:00:00,DOT/BTC,0.0003309,0.00034082,0.0003272,0.00033953,11343.585833357878,3.851487698
1653004800000.0,2022-05-20 00:00:00,DOT/BTC,0.00033108,0.00033482,0.00032308,0.0003309,19357.024270172256,6.405239331
1652918400000.0,2022-05-19 00:00:00,DOT/BTC,0.00033044,0.00034116,0.00032177,0.00033108,134077.57636824937,44.390403984
1652832000000.0,2022-05-18 00:00:00,DOT/BTC,0.00036213,0.00036438,0.00032896,0.00033044,64318.89586914417,21.253535951
1652745600000.0,2022-05-17 00:00:00,DOT/BTC,0.00035554,0.00036888,0.00035392,0.00036213,20359.141440919007,7.37265589
1652659200000.0,2022-05-16 00:00:00,DOT/BTC,0.00037626,0.00037643,0.00035119,0.00035554,19111.47367103561,6.794893349
1652572800000.0,2022-05-15 00:00:00,DOT/BTC,0.00037582,0.00038049,0.00035527,0.00037626,15343.863001647796,5.773281893
1652486400000.0,2022-05-14 00:00:00,DOT/BTC,0.00035707,0.00038417,0.00034001,0.00037582,35617.13361183545,13.385631154
1652400000000.0,2022-05-13 00:00:00,DOT/BTC,0.00030039,0.0003825,0.00029744,0.00035707,50634.4515809225,18.080043626
1652313600000.0,2022-05-12 00:00:00,DOT/BTC,0.00031127,0.00031622,0.00027161,0.00030039,580791.3888611472,174.4639253
1652227200000.0,2022-05-11 00:00:00,DOT/BTC,0.00036568,0.00037269,0.00027347,0.00031127,264253.5927843994,82.254215826
1652140800000.0,2022-05-10 00:00:00,DOT/BTC,0.00035312,0.00038482,0.00034629,0.00036568,263561.7864991249,96.379274087
1652054400000.0,2022-05-09 00:00:00,DOT/BTC,0.00038903,0.00039434,0.00034712,0.00035312,388090.16062811506,137.042397521
1651968000000.0,2022-05-08 00:00:00,DOT/BTC,0.00038781,0.00039475,0.00038459,0.00038903,17047.25642752487,6.631894168
1651881600000.0,2022-05-07 00:00:00,DOT/BTC,0.00039779,0.00039859,0.00038459,0.00038781,31477.934839225396,12.20745791
1651795200000.0,2022-05-06 00:00:00,DOT/BTC,0.00039913,0.00040194,0.0003911,0.00039779,23767.912209960028,9.454637798
1651708800000.0,2022-05-05 00:00:00,DOT/BTC,0.00041134,0.00041381,0.00038782,0.00039913,70964.81867561948,28.324188078
1651622400000.0,2022-05-04 00:00:00,DOT/BTC,0.00039014,0.00041176,0.00038625,0.00041134,18755.18765984344,7.714758892
1651536000000.0,2022-05-03 00:00:00,DOT/BTC,0.00038847,0.00039497,0.00038671,0.00039014,33003.15358332906,12.875850339
1651449600000.0,2022-05-02 00:00:00,DOT/BTC,0.00039921,0.00040276,0.00038167,0.00038847,36871.37093984091,14.323421469
1651363200000.0,2022-05-01 00:00:00,DOT/BTC,0.00038526,0.0004023,0.00038526,0.00039921,46117.8839382781,18.410720447
1651276800000.0,2022-04-30 00:00:00,DOT/BTC,0.00041909,0.00042472,0.00037687,0.00038526,81473.11783211338,31.388333376
1651190400000.0,2022-04-29 00:00:00,DOT/BTC,0.0004275,0.00042901,0.00041599,0.00041909,18607.70298981126,7.798302246
1651104000000.0,2022-04-28 00:00:00,DOT/BTC,0.00043186,0.00043843,0.00042531,0.0004275,17056.170350877193,7.291512825
1651017600000.0,2022-04-27 00:00:00,DOT/BTC,0.00043762,0.0004437,0.00043046,0.00043186,80586.62037002732,34.802137873
1650931200000.0,2022-04-26 00:00:00,DOT/BTC,0.00044768,0.00045059,0.00043242,0.00043762,43456.82266121292,19.017574733
1650844800000.0,2022-04-25 00:00:00,DOT/BTC,0.00046042,0.00046097,0.00044404,0.00044768,56556.847185489634,25.319369348
1650758400000.0,2022-04-24 00:00:00,DOT/BTC,0.00047394,0.00048151,0.00045969,0.00046042,52108.049344077146,23.991588079
1650672000000.0,2022-04-23 00:00:00,DOT/BTC,0.00046018,0.00048207,0.00045743,0.00047394,33916.511706123136,16.074391558
1650585600000.0,2022-04-22 00:00:00,DOT/BTC,0.00044904,0.00046668,0.00044776,0.00046018,12017.518694858534,5.530221753
1650499200000.0,2022-04-21 00:00:00,DOT/BTC,0.00046159,0.00046715,0.00044814,0.00044904,43186.46653527525,19.392450933
1650412800000.0,2022-04-20 00:00:00,DOT/BTC,0.0004552,0.00046825,0.00044935,0.00046159,70446.08592907125,32.517208804
1650326400000.0,2022-04-19 00:00:00,DOT/BTC,0.00044525,0.00045859,0.00044366,0.0004552,41682.11430799648,18.973698433
1650240000000.0,2022-04-18 00:00:00,DOT/BTC,0.00044706,0.00045091,0.00044116,0.00044525,27770.881520494106,12.364984997
1650153600000.0,2022-04-17 00:00:00,DOT/BTC,0.00046073,0.00046641,0.00044638,0.00044706,46503.34266988771,20.789784374
1650067200000.0,2022-04-16 00:00:00,DOT/BTC,0.0004525,0.00046283,0.00045146,0.00046073,33999.82121198966,15.664737627
1649980800000.0,2022-04-15 00:00:00,DOT/BTC,0.00044855,0.00045507,0.00044702,0.0004525,13161.481591160222,5.95557042
1649894400000.0,2022-04-14 00:00:00,DOT/BTC,0.00044203,0.0004497,0.00044025,0.00044855,10521.322639616543,4.71933927
1649808000000.0,2022-04-13 00:00:00,DOT/BTC,0.00044326,0.00044788,0.00043885,0.00044203,8470.682783973938,3.744295911
1649721600000.0,2022-04-12 00:00:00,DOT/BTC,0.00043489,0.00044677,0.0004344,0.00044326,19598.576023101567,8.687264808
1649635200000.0,2022-04-11 00:00:00,DOT/BTC,0.00045627,0.00045719,0.00042779,0.00043489,21409.70477592035,9.31086651
1649548800000.0,2022-04-10 00:00:00,DOT/BTC,0.00046191,0.00046847,0.00045518,0.00045627,24708.160534332743,11.273592407
1649462400000.0,2022-04-09 00:00:00,DOT/BTC,0.00045997,0.00046526,0.00045744,0.00046191,19966.06511441623,9.222525137
1649376000000.0,2022-04-08 00:00:00,DOT/BTC,0.00046987,0.00047108,0.00045441,0.00045997,131721.9498184664,60.588145258
1649289600000.0,2022-04-07 00:00:00,DOT/BTC,0.00045958,0.00047237,0.00045546,0.00046987,33608.038634090284,15.791409113
1649203200000.0,2022-04-06 00:00:00,DOT/BTC,0.00047868,0.00047916,0.00045401,0.00045958,31770.873395273942,14.601257995
1649116800000.0,2022-04-05 00:00:00,DOT/BTC,0.00049163,0.00049583,0.00047714,0.00047868,23082.423974262558,11.049094708
1649030400000.0,2022-04-04 00:00:00,DOT/BTC,0.00049996,0.00050119,0.00047852,0.00049163,26689.711183206884,13.121462709
1648944000000.0,2022-04-03 00:00:00,DOT/BTC,0.000493,0.00050782,0.0004919,0.00049996,28006.488577086166,14.002124029
1648857600000.0,2022-04-02 00:00:00,DOT/BTC,0.0004766,0.00051025,0.00047503,0.000493,56435.061726166336,27.822485431
1648771200000.0,2022-04-01 00:00:00,DOT/BTC,0.00046857,0.00047778,0.00046131,0.0004766,20379.287605958878,9.712768473
1648684800000.0,2022-03-31 00:00:00,DOT/BTC,0.0004767,0.00048807,0.00046488,0.00046857,24724.966331604668,11.585377474
1648598400000.0,2022-03-30 00:00:00,DOT/BTC,0.00047391,0.00048322,0.00046444,0.0004767,21114.256536605833,10.065166091
1648512000000.0,2022-03-29 00:00:00,DOT/BTC,0.00046619,0.00047943,0.00046363,0.00047391,79740.1826275031,37.789669949
1648425600000.0,2022-03-28 00:00:00,DOT/BTC,0.00047956,0.00049411,0.00046494,0.00046619,33229.97092387224,15.491480145
1648339200000.0,2022-03-27 00:00:00,DOT/BTC,0.0004696,0.00047987,0.0004664,0.00047956,17291.90954833597,8.292508143
1648252800000.0,2022-03-26 00:00:00,DOT/BTC,0.00046337,0.00047374,0.00045784,0.0004696,14296.783049403748,6.71376932
1648166400000.0,2022-03-25 00:00:00,DOT/BTC,0.00048339,0.00048339,0.00045846,0.00046337,62288.907236118,28.862810946
1648080000000.0,2022-03-24 00:00:00,DOT/BTC,0.00048993,0.0004914,0.0004738,0.00048339,34712.8326816856,16.77983619
1647993600000.0,2022-03-23 00:00:00,DOT/BTC,0.00047696,0.00049904,0.00047234,0.00048993,20395.41878227502,9.992327524
1647907200000.0,2022-03-22 00:00:00,DOT/BTC,0.00045725,0.000484,0.00045415,0.00047696,42475.150337554514,20.258947705
1647820800000.0,2022-03-21 00:00:00,DOT/BTC,0.00045171,0.00046171,0.00045152,0.00045725,29347.887995626024,13.419321786
1647734400000.0,2022-03-20 00:00:00,DOT/BTC,0.00045937,0.00046168,0.00044766,0.00045171,45388.60522237719,20.502486865
1647648000000.0,2022-03-19 00:00:00,DOT/BTC,0.00045391,0.00047209,0.00045352,0.00045937,24398.74146330844,11.208049866
1647561600000.0,2022-03-18 00:00:00,DOT/BTC,0.00045782,0.00046038,0.00044715,0.00045391,30048.3807583001,13.63926051
1647475200000.0,2022-03-17 00:00:00,DOT/BTC,0.00046335,0.00046901,0.00045645,0.00045782,15005.940922196498,6.870019873
1647388800000.0,2022-03-16 00:00:00,DOT/BTC,0.00045344,0.00046528,0.0004457,0.00046335,60548.09126362361,28.054958087
1647302400000.0,2022-03-15 00:00:00,DOT/BTC,0.00044578,0.0004555,0.00044426,0.00045344,20603.80535682781,9.342589501
1647216000000.0,2022-03-14 00:00:00,DOT/BTC,0.00045537,0.00045659,0.00044489,0.00044578,30205.30042397595,13.464918823
1647129600000.0,2022-03-13 00:00:00,DOT/BTC,0.0004673,0.00047027,0.00045401,0.00045537,37697.65351911632,17.166380483
1647043200000.0,2022-03-12 00:00:00,DOT/BTC,0.00045739,0.00047962,0.00045739,0.0004673,4908.05659319495,2.293534846
1646956800000.0,2022-03-11 00:00:00,DOT/BTC,0.00043054,0.00047441,0.00042968,0.00045739,34714.00770458471,15.877839984
