https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZEN,Volume USDT
1662411600,2022-09-05 21:00:00,ZEN/USDT,15.836,15.89,15.808,15.842,140.9041,2230.7901896
1662408000,2022-09-05 20:00:00,ZEN/USDT,15.883,15.886,15.843,15.85,71.3201,1131.4371198
1662404400,2022-09-05 19:00:00,ZEN/USDT,15.845,15.855,15.825,15.841,40.3493,638.8503967
1662400800,2022-09-05 18:00:00,ZEN/USDT,15.853,15.855,15.776,15.825,36.0469,568.8453354
1662397200,2022-09-05 17:00:00,ZEN/USDT,15.905,15.912,15.843,15.911,6.1682,98.1122024
1662393600,2022-09-05 16:00:00,ZEN/USDT,15.939,15.967,15.878,15.92,10.7639,171.3624081
1662390000,2022-09-05 15:00:00,ZEN/USDT,15.985,16.01,15.907,15.912,26.1849,416.7828772
1662386400,2022-09-05 14:00:00,ZEN/USDT,15.983,16,15.983,16,0.3205,5.1256312
1662382800,2022-09-05 13:00:00,ZEN/USDT,15.887,15.976,15.887,15.948,3.1016,49.3295775
1662379200,2022-09-05 12:00:00,ZEN/USDT,15.851,15.885,15.844,15.855,2.1062,33.3897003
1662375600,2022-09-05 11:00:00,ZEN/USDT,15.906,16.034,15.74,15.814,553.7386,8860.5805486
1662372000,2022-09-05 10:00:00,ZEN/USDT,16.095,16.101,15.774,15.85,649.5416,10445.4670408
1662368400,2022-09-05 09:00:00,ZEN/USDT,16.187,16.201,15.997,16.094,1.8771,30.2744471
1662364800,2022-09-05 08:00:00,ZEN/USDT,16.174,16.195,16.174,16.195,0.1644,2.6595267
1662361200,2022-09-05 07:00:00,ZEN/USDT,16.239,16.239,16.163,16.182,0.1784,2.8935084
1662357600,2022-09-05 06:00:00,ZEN/USDT,16.184,16.224,16.155,16.222,1.2521,20.286716
1662354000,2022-09-05 05:00:00,ZEN/USDT,16.323,16.323,16.088,16.116,9.8447,158.9172687
1662350400,2022-09-05 04:00:00,ZEN/USDT,16.354,16.396,16.354,16.363,0.2594,4.2474854
1662346800,2022-09-05 03:00:00,ZEN/USDT,16.39,16.39,16.335,16.335,1.0234,16.7461585
1662343200,2022-09-05 02:00:00,ZEN/USDT,16.325,16.346,16.307,16.346,227.2493,3705.8004396
1662339600,2022-09-05 01:00:00,ZEN/USDT,16.44,16.44,16.345,16.345,1.0992,17.9794572
1662336000,2022-09-05 00:00:00,ZEN/USDT,16.431,16.463,16.348,16.36,0.4458,7.3157187
1662332400,2022-09-04 23:00:00,ZEN/USDT,16.279,16.425,16.279,16.425,33.1991,542.5664851
1662328800,2022-09-04 22:00:00,ZEN/USDT,16.263,16.265,16.263,16.265,0.1421,2.3110109
1662325200,2022-09-04 21:00:00,ZEN/USDT,16.306,16.337,16.274,16.274,64.1544,1047.5367075
1662321600,2022-09-04 20:00:00,ZEN/USDT,16.282,16.339,16.273,16.284,25.2872,412.0927218
1662318000,2022-09-04 19:00:00,ZEN/USDT,16.266,16.294,16.212,16.278,35.9871,583.5672478
1662314400,2022-09-04 18:00:00,ZEN/USDT,16.251,16.263,16.24,16.24,0.3554,5.7777759
1662310800,2022-09-04 17:00:00,ZEN/USDT,16.32,16.32,16.258,16.276,43.1078,701.3414339
