https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ARPA,Volume USDT
1660150800,2022-08-10 17:00:00,ARPA/USDT,0.043918,0.044014,0.043786,0.04379,267167.42794787,11735.59592366979456
1660147200,2022-08-10 16:00:00,ARPA/USDT,0.044028,0.04424,0.043567,0.043727,76208.56108356,3337.54271294964478
1660143600,2022-08-10 15:00:00,ARPA/USDT,0.044516,0.044707,0.044067,0.044194,193851.81493945,8615.6786764808035
1660140000,2022-08-10 14:00:00,ARPA/USDT,0.044656,0.044656,0.04424,0.044611,4295.72514141,190.38324719414123
1660136400,2022-08-10 13:00:00,ARPA/USDT,0.04473,0.04493,0.044403,0.04459,153837.86770394,6887.32394379599477
1660132800,2022-08-10 12:00:00,ARPA/USDT,0.043155,0.044923,0.04286,0.044615,202515.00641067,9011.16907153132502
1660129200,2022-08-10 11:00:00,ARPA/USDT,0.042859,0.043248,0.042859,0.043143,4996.90886907,215.58506954191068
1660125600,2022-08-10 10:00:00,ARPA/USDT,0.042895,0.042895,0.042718,0.042845,27525.51149427,1177.54677315803785
1660122000,2022-08-10 09:00:00,ARPA/USDT,0.042978,0.043019,0.042553,0.042826,37847.28446197,1624.57944084517634
1660118400,2022-08-10 08:00:00,ARPA/USDT,0.042678,0.042963,0.042578,0.042963,8526.66679105,363.90412820933913
1660114800,2022-08-10 07:00:00,ARPA/USDT,0.042446,0.04282,0.042355,0.042662,3783.22849856,160.81306357737794
1660111200,2022-08-10 06:00:00,ARPA/USDT,0.042239,0.042433,0.042043,0.042355,1437.798236,60.71268215260829
1660107600,2022-08-10 05:00:00,ARPA/USDT,0.042565,0.04257,0.042515,0.04257,207.0703577,8.81202338022191
1660104000,2022-08-10 04:00:00,ARPA/USDT,0.042073,0.0426,0.042073,0.042569,3708.66480739,156.44080435184725
1660100400,2022-08-10 03:00:00,ARPA/USDT,0.042195,0.042285,0.042195,0.042285,151.67723196,6.4044716071286
1660096800,2022-08-10 02:00:00,ARPA/USDT,0.042044,0.042313,0.041735,0.042313,13860.06726996,583.4338852421192
1660093200,2022-08-10 01:00:00,ARPA/USDT,0.041848,0.042486,0.041848,0.042379,13980.13531576,591.01383540999534
1660089600,2022-08-10 00:00:00,ARPA/USDT,0.042775,0.042775,0.041726,0.041855,14185.68324143,596.63458115556825
1660086000,2022-08-09 23:00:00,ARPA/USDT,0.042768,0.042873,0.042684,0.042722,3522.13140959,150.73999800359292
1660082400,2022-08-09 22:00:00,ARPA/USDT,0.042745,0.042981,0.04258,0.042665,10460.25512361,446.62671884267237
1660078800,2022-08-09 21:00:00,ARPA/USDT,0.042655,0.042864,0.042655,0.0427,7040.25068271,300.81134911233727
1660075200,2022-08-09 20:00:00,ARPA/USDT,0.042436,0.042666,0.04233,0.042666,11414.67308683,485.13860835084784
1660071600,2022-08-09 19:00:00,ARPA/USDT,0.042263,0.042396,0.042257,0.042396,136.0959,5.7622294644
1660068000,2022-08-09 18:00:00,ARPA/USDT,0.0424,0.042453,0.042173,0.042386,19882.66975317,841.50471952847932
1660064400,2022-08-09 17:00:00,ARPA/USDT,0.042504,0.042638,0.0422,0.042348,131046.43643771,5569.68448265307898
1660060800,2022-08-09 16:00:00,ARPA/USDT,0.042147,0.042531,0.042147,0.04252,71819.3751,3033.7895097814
1660057200,2022-08-09 15:00:00,ARPA/USDT,0.041846,0.042313,0.041846,0.04226,33093.52407527,1395.03645789424073
1660053600,2022-08-09 14:00:00,ARPA/USDT,0.042874,0.042874,0.041287,0.042234,122037.35642817,5099.17196102585557
1660050000,2022-08-09 13:00:00,ARPA/USDT,0.043427,0.04372,0.042586,0.042652,132768.34764551,5733.37115074380595
1660046400,2022-08-09 12:00:00,ARPA/USDT,0.043644,0.043649,0.04332,0.043532,18343.01780196,798.38279997085603
1660042800,2022-08-09 11:00:00,ARPA/USDT,0.043455,0.043906,0.04344,0.043583,78743.64748629,3439.00744714027277
1660039200,2022-08-09 10:00:00,ARPA/USDT,0.044011,0.044198,0.04332,0.043362,134653.07513032,5872.06667341000787
1660035600,2022-08-09 09:00:00,ARPA/USDT,0.045117,0.04524,0.043906,0.043906,60092.97270494,2663.09645528798974
1660032000,2022-08-09 08:00:00,ARPA/USDT,0.0457,0.045759,0.044923,0.045087,78246.43977919,3549.24572759462123
1660028400,2022-08-09 07:00:00,ARPA/USDT,0.046604,0.047032,0.045579,0.045729,108084.07120246,4978.78097964311965
1660024800,2022-08-09 06:00:00,ARPA/USDT,0.045852,0.047745,0.045298,0.046928,433322.0885,20322.0896252273
1660021200,2022-08-09 05:00:00,ARPA/USDT,0.045985,0.046033,0.045945,0.045945,12115.6724,556.8215172543
1660017600,2022-08-09 04:00:00,ARPA/USDT,0.046126,0.046146,0.045818,0.046119,31406.67490187,1448.57678558732247
1660014000,2022-08-09 03:00:00,ARPA/USDT,0.0458,0.046108,0.045722,0.045866,17780.8326,816.3705577995
1660010400,2022-08-09 02:00:00,ARPA/USDT,0.045469,0.045673,0.045257,0.045602,2392.4547,108.9686862253
1660006800,2022-08-09 01:00:00,ARPA/USDT,0.045298,0.045305,0.04503,0.045178,6160.13207254,278.20119651166246
1660003200,2022-08-09 00:00:00,ARPA/USDT,0.045227,0.0458,0.045227,0.045488,12466.0759,566.7342119114
1659999600,2022-08-08 23:00:00,ARPA/USDT,0.045298,0.045574,0.045189,0.045451,35813.51364765,1621.14688492785277
1659996000,2022-08-08 22:00:00,ARPA/USDT,0.045541,0.045541,0.044801,0.045298,74148.4418734,3341.01036796312283
1659992400,2022-08-08 21:00:00,ARPA/USDT,0.046141,0.046141,0.045291,0.045568,19734.68116475,897.64208929550653
1659988800,2022-08-08 20:00:00,ARPA/USDT,0.045504,0.0462,0.045491,0.045974,109767.23959394,5045.72783154436006
1659985200,2022-08-08 19:00:00,ARPA/USDT,0.045338,0.045513,0.045235,0.045513,22336.70849776,1015.01954457240912
1659981600,2022-08-08 18:00:00,ARPA/USDT,0.045213,0.045416,0.045069,0.045361,29143.89673608,1322.3124950879152
1659978000,2022-08-08 17:00:00,ARPA/USDT,0.045091,0.045436,0.045091,0.045435,7550.8103492,341.6103167500323
1659974400,2022-08-08 16:00:00,ARPA/USDT,0.045668,0.045944,0.04479,0.045004,288103.79717851,13025.7403154850645
1659970800,2022-08-08 15:00:00,ARPA/USDT,0.04651,0.04664,0.045575,0.045951,230748.76353143,10578.40621041711171
1659967200,2022-08-08 14:00:00,ARPA/USDT,0.04635,0.04658,0.046324,0.04653,3337.6202008,155.11105394406777
1659963600,2022-08-08 13:00:00,ARPA/USDT,0.046599,0.046642,0.046213,0.04648,54482.41171069,2530.05927355073585
1659960000,2022-08-08 12:00:00,ARPA/USDT,0.047039,0.047281,0.0466,0.046783,219020.3204725,10251.94482936879796
1659956400,2022-08-08 11:00:00,ARPA/USDT,0.0462,0.04784,0.04608,0.046879,880158.66453912,41420.76807432588964
1659952800,2022-08-08 10:00:00,ARPA/USDT,0.045,0.04612,0.044923,0.04612,236926.21791884,10784.2850168430381
1659949200,2022-08-08 09:00:00,ARPA/USDT,0.045145,0.045534,0.045001,0.045061,98918.8765342,4469.29598282042492
1659945600,2022-08-08 08:00:00,ARPA/USDT,0.044779,0.045093,0.044539,0.045093,41047.89944076,1841.36860150147616
1659942000,2022-08-08 07:00:00,ARPA/USDT,0.045097,0.045097,0.044781,0.04496,8810.81652882,396.1257640710472
1659938400,2022-08-08 06:00:00,ARPA/USDT,0.044715,0.04522,0.044633,0.04495,121333.46289255,5432.6483796108096
1659934800,2022-08-08 05:00:00,ARPA/USDT,0.044682,0.04485,0.04468,0.04482,53508.3536,2396.4134444052
1659931200,2022-08-08 04:00:00,ARPA/USDT,0.04469,0.044728,0.044626,0.044728,91693.6905,4097.5316455115
1659927600,2022-08-08 03:00:00,ARPA/USDT,0.044498,0.044757,0.044486,0.04456,73866.693,3303.9423515277
1659924000,2022-08-08 02:00:00,ARPA/USDT,0.044268,0.04463,0.044267,0.044626,52588.68043033,2332.43142183389946
1659920400,2022-08-08 01:00:00,ARPA/USDT,0.044339,0.044343,0.04393,0.04417,21647.9356,952.6741759328
1659916800,2022-08-08 00:00:00,ARPA/USDT,0.044,0.044387,0.04393,0.044387,51702.37864828,2278.69067597130436
1659913200,2022-08-07 23:00:00,ARPA/USDT,0.044089,0.044119,0.043751,0.044093,30543.82696858,1336.98513622056777
1659909600,2022-08-07 22:00:00,ARPA/USDT,0.044403,0.044403,0.044014,0.04409,114367.4708,5051.9505402033
1659906000,2022-08-07 21:00:00,ARPA/USDT,0.044755,0.044921,0.044421,0.044441,144536.27155659,6447.12658681329776
1659902400,2022-08-07 20:00:00,ARPA/USDT,0.044518,0.044721,0.044518,0.044721,29817.1499,1329.9416910766
1659898800,2022-08-07 19:00:00,ARPA/USDT,0.044463,0.044549,0.044377,0.044448,7740.8508,344.0421960072
1659895200,2022-08-07 18:00:00,ARPA/USDT,0.044495,0.044498,0.044436,0.044498,9636.8854,428.7385442933
1659891600,2022-08-07 17:00:00,ARPA/USDT,0.044298,0.044561,0.044298,0.044498,9877.7151,439.1577833913
1659888000,2022-08-07 16:00:00,ARPA/USDT,0.044381,0.044389,0.044318,0.044318,3986.2154,176.6889625895
1659884400,2022-08-07 15:00:00,ARPA/USDT,0.044446,0.044446,0.044249,0.044249,13113.3307,581.8838713435
1659880800,2022-08-07 14:00:00,ARPA/USDT,0.044365,0.044476,0.044365,0.044475,13257.2745,589.5418509638
1659877200,2022-08-07 13:00:00,ARPA/USDT,0.04455,0.044619,0.044423,0.044611,5825.13726054,259.74708794154994
1659873600,2022-08-07 12:00:00,ARPA/USDT,0.044523,0.04463,0.044344,0.04463,13150.41497825,585.350681856969
1659870000,2022-08-07 11:00:00,ARPA/USDT,0.044396,0.044396,0.044201,0.044259,28882.0279723,1278.8199148310839
1659866400,2022-08-07 10:00:00,ARPA/USDT,0.044402,0.044548,0.044402,0.044457,2730.8426,121.3145555948
1659862800,2022-08-07 09:00:00,ARPA/USDT,0.044365,0.044365,0.044226,0.044296,28026.9177,1240.7238450347
1659859200,2022-08-07 08:00:00,ARPA/USDT,0.044629,0.044629,0.04417,0.04417,26185.08680956,1163.09612689305324
1659855600,2022-08-07 07:00:00,ARPA/USDT,0.044474,0.044688,0.044449,0.044649,27741.89021435,1235.49030894617007
1659852000,2022-08-07 06:00:00,ARPA/USDT,0.044365,0.044615,0.044365,0.044444,2547.444,113.283486476
1659848400,2022-08-07 05:00:00,ARPA/USDT,0.04456,0.044647,0.04456,0.044647,10586.3338,472.639850743
1659844800,2022-08-07 04:00:00,ARPA/USDT,0.044523,0.044821,0.044365,0.044365,23336.3803,1044.0239466665
1659841200,2022-08-07 03:00:00,ARPA/USDT,0.043906,0.044661,0.04378,0.044448,84703.86243193,3733.03145293950841
1659837600,2022-08-07 02:00:00,ARPA/USDT,0.04378,0.043809,0.04378,0.043809,209.3688,9.1685955475
1659834000,2022-08-07 01:00:00,ARPA/USDT,0.043195,0.043648,0.043195,0.043519,17847.356375,777.483829326125
1659830400,2022-08-07 00:00:00,ARPA/USDT,0.044393,0.044548,0.042732,0.043095,212489.1159662,9160.81230513046766
1659826800,2022-08-06 23:00:00,ARPA/USDT,0.04456,0.04456,0.043975,0.044403,52177.6452,2299.960691401
1659823200,2022-08-06 22:00:00,ARPA/USDT,0.0447,0.044735,0.0447,0.044735,3149.16048147,140.80659277956045
1659819600,2022-08-06 21:00:00,ARPA/USDT,0.044755,0.044761,0.0447,0.0447,9070.4619,405.4552994845
1659816000,2022-08-06 20:00:00,ARPA/USDT,0.044649,0.044649,0.044456,0.044518,2535.17649092,112.76520935898708
1659812400,2022-08-06 19:00:00,ARPA/USDT,0.044671,0.044755,0.04456,0.04456,199.57054396,8.91247267163716
1659808800,2022-08-06 18:00:00,ARPA/USDT,0.044365,0.044655,0.044349,0.044655,72568.91369952,3232.4730948792656
1659805200,2022-08-06 17:00:00,ARPA/USDT,0.044415,0.0447,0.044144,0.0447,15642.01001299,693.08393434689712
1659801600,2022-08-06 16:00:00,ARPA/USDT,0.044609,0.044755,0.04456,0.04456,74094.32171494,3311.73150280948112
1659798000,2022-08-06 15:00:00,ARPA/USDT,0.044683,0.044728,0.044528,0.044528,17882.264,798.5877303393
1659794400,2022-08-06 14:00:00,ARPA/USDT,0.04456,0.044583,0.044487,0.044576,99197.39496365,4417.0638455256897
1659790800,2022-08-06 13:00:00,ARPA/USDT,0.044611,0.044774,0.044575,0.044575,3072.96864645,137.13152887158275
1659787200,2022-08-06 12:00:00,ARPA/USDT,0.044548,0.044689,0.044548,0.044608,29846.0522,1331.8395051302
1659783600,2022-08-06 11:00:00,ARPA/USDT,0.044797,0.0449,0.04456,0.044672,4811.5911,215.4654523745
1659780000,2022-08-06 10:00:00,ARPA/USDT,0.044777,0.044976,0.044776,0.044932,36982.06803223,1662.31857562595836
1659776400,2022-08-06 09:00:00,ARPA/USDT,0.044722,0.044765,0.044612,0.0447,46510.21597051,2077.31492411719251
1659772800,2022-08-06 08:00:00,ARPA/USDT,0.044887,0.045133,0.044741,0.044873,80482.9886061,3609.14065818556691
1659769200,2022-08-06 07:00:00,ARPA/USDT,0.044649,0.044733,0.044589,0.044733,7961.2189,355.5441571101
1659765600,2022-08-06 06:00:00,ARPA/USDT,0.04456,0.044827,0.044544,0.044653,80891.3056,3612.3129625005
1659762000,2022-08-06 05:00:00,ARPA/USDT,0.044543,0.044622,0.044285,0.044523,65434.916,2904.540233651901
1659758400,2022-08-06 04:00:00,ARPA/USDT,0.04442,0.044464,0.044365,0.044464,3624.81299536,160.9960719783912
1659754800,2022-08-06 03:00:00,ARPA/USDT,0.044645,0.044645,0.044403,0.044464,1333.28079916,59.4358437048982
1659751200,2022-08-06 02:00:00,ARPA/USDT,0.044455,0.044692,0.044455,0.044692,48380.9537,2157.5552514929
1659747600,2022-08-06 01:00:00,ARPA/USDT,0.044755,0.044755,0.04443,0.044484,30138.0649,1339.106423275
1659744000,2022-08-06 00:00:00,ARPA/USDT,0.045081,0.045081,0.044523,0.044533,205589.7121,9196.715716067
1659740400,2022-08-05 23:00:00,ARPA/USDT,0.044761,0.045056,0.044683,0.045056,87513.9716,3920.8608979896
1659736800,2022-08-05 22:00:00,ARPA/USDT,0.044564,0.044758,0.044508,0.044758,9824.5334,437.4473943401
1659733200,2022-08-05 21:00:00,ARPA/USDT,0.044215,0.044658,0.044215,0.044491,10992.0244,489.1600913268
1659729600,2022-08-05 20:00:00,ARPA/USDT,0.044519,0.044519,0.04419,0.044208,25578.2366,1131.1390715677
1659726000,2022-08-05 19:00:00,ARPA/USDT,0.044509,0.044582,0.044489,0.044582,51948.38675673,2312.86883628101264
1659722400,2022-08-05 18:00:00,ARPA/USDT,0.044326,0.04456,0.044285,0.044356,17971.90753698,799.34871448891524
1659718800,2022-08-05 17:00:00,ARPA/USDT,0.044548,0.044819,0.044147,0.044523,52170.20228761,2308.65231126123782
1659715200,2022-08-05 16:00:00,ARPA/USDT,0.044285,0.044686,0.044147,0.044523,10168.64492279,451.19264462113655
1659711600,2022-08-05 15:00:00,ARPA/USDT,0.04456,0.044589,0.04417,0.044523,6326.4822,280.668838941
1659708000,2022-08-05 14:00:00,ARPA/USDT,0.044285,0.045,0.044285,0.044615,86198.7381,3850.0462086608
1659704400,2022-08-05 13:00:00,ARPA/USDT,0.04417,0.044514,0.04378,0.044041,103278.6980305,4567.92820283629784
