https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BURGER,Volume USDT
1662480000,2022-09-06 16:00:00,BURGER/USDT,1.1289,1.1299,1.1257,1.1263,1276.22648032,1439.408593234416
1662476400,2022-09-06 15:00:00,BURGER/USDT,1.1334,1.1344,1.1299,1.1308,7331.88822897,8299.122469706029
1662472800,2022-09-06 14:00:00,BURGER/USDT,1.1302,1.1335,1.1192,1.1335,7942.88605785,8925.064872300779
1662469200,2022-09-06 13:00:00,BURGER/USDT,1.1362,1.1402,1.127,1.1282,1619.71562986,1839.424944998876
1662465600,2022-09-06 12:00:00,BURGER/USDT,1.1378,1.1437,1.1369,1.1376,3570.4449,4069.76179982
1662462000,2022-09-06 11:00:00,BURGER/USDT,1.1421,1.1421,1.1372,1.1381,456.5313,520.10966443
1662458400,2022-09-06 10:00:00,BURGER/USDT,1.1377,1.1456,1.1377,1.1403,1474.98139561,1682.521587907044
1662454800,2022-09-06 09:00:00,BURGER/USDT,1.1418,1.1526,1.1314,1.1378,19600.26193012,22333.144780641868
1662451200,2022-09-06 08:00:00,BURGER/USDT,1.1447,1.1447,1.1366,1.1401,1965.3145,2240.28525869
1662447600,2022-09-06 07:00:00,BURGER/USDT,1.153,1.153,1.1407,1.1428,3911.0651,4484.28962444
1662444000,2022-09-06 06:00:00,BURGER/USDT,1.1415,1.154,1.1374,1.1526,1832.1155,2095.26824141
1662440400,2022-09-06 05:00:00,BURGER/USDT,1.1466,1.1466,1.1398,1.1417,2043.52082259,2334.823364270787
1662436800,2022-09-06 04:00:00,BURGER/USDT,1.1399,1.1477,1.1399,1.1464,2366.616,2702.72642797
1662433200,2022-09-06 03:00:00,BURGER/USDT,1.1354,1.1419,1.1321,1.1394,2993.4291,3403.22921305
1662429600,2022-09-06 02:00:00,BURGER/USDT,1.1325,1.1361,1.1282,1.1361,1455.3177,1645.04641414
1662426000,2022-09-06 01:00:00,BURGER/USDT,1.144,1.1514,1.1327,1.1327,13987.63949118,16023.14274532852
1662422400,2022-09-06 00:00:00,BURGER/USDT,1.1293,1.1457,1.1292,1.1457,1787.4929711,2034.446462012277
1662418800,2022-09-05 23:00:00,BURGER/USDT,1.131,1.1327,1.128,1.1305,2692.36068221,3042.094001859267
1662415200,2022-09-05 22:00:00,BURGER/USDT,1.1276,1.1318,1.1262,1.13,929.54715617,1050.064250573206
1662411600,2022-09-05 21:00:00,BURGER/USDT,1.1287,1.1298,1.1275,1.1293,220.33244549,248.620564971857
1662408000,2022-09-05 20:00:00,BURGER/USDT,1.1283,1.1309,1.1283,1.1295,227.8988,257.71565524
1662404400,2022-09-05 19:00:00,BURGER/USDT,1.134,1.1355,1.1286,1.1286,446.3588,505.19025631
1662400800,2022-09-05 18:00:00,BURGER/USDT,1.1304,1.134,1.1237,1.1315,1851.28459426,2087.767706908392
1662397200,2022-09-05 17:00:00,BURGER/USDT,1.1333,1.1462,1.1302,1.1302,3643.3164,4144.72980278
1662393600,2022-09-05 16:00:00,BURGER/USDT,1.1316,1.1316,1.1258,1.1303,4635.65673145,5233.800741685668
1662390000,2022-09-05 15:00:00,BURGER/USDT,1.1254,1.1347,1.1254,1.1294,2833.81176431,3201.761776612507
1662386400,2022-09-05 14:00:00,BURGER/USDT,1.1266,1.1272,1.1218,1.1247,2285.4699,2570.37494716
1662382800,2022-09-05 13:00:00,BURGER/USDT,1.1266,1.1306,1.1257,1.1259,2775.6695,3133.13358575
1662379200,2022-09-05 12:00:00,BURGER/USDT,1.1291,1.1362,1.1269,1.1281,3980.01565424,4497.528885784256
1662375600,2022-09-05 11:00:00,BURGER/USDT,1.1183,1.1318,1.1158,1.1268,7055.41220953,7924.316219387399
1662372000,2022-09-05 10:00:00,BURGER/USDT,1.1274,1.1287,1.1132,1.1183,14997.16478224,16843.72810406221
1662368400,2022-09-05 09:00:00,BURGER/USDT,1.1448,1.1475,1.1112,1.1294,10402.42389153,11776.346725233517
1662364800,2022-09-05 08:00:00,BURGER/USDT,1.1491,1.1657,1.1429,1.145,9915.71958969,11427.680678426566
1662361200,2022-09-05 07:00:00,BURGER/USDT,1.1412,1.1497,1.1403,1.1497,2059.84522373,2355.714516025129
1662357600,2022-09-05 06:00:00,BURGER/USDT,1.1331,1.1482,1.1331,1.1388,2113.38078419,2406.959210905019
1662354000,2022-09-05 05:00:00,BURGER/USDT,1.1396,1.1396,1.1299,1.1326,5754.38181646,6514.940958242796
1662350400,2022-09-05 04:00:00,BURGER/USDT,1.1439,1.1451,1.1368,1.1384,937.75494182,1069.782429557938
1662346800,2022-09-05 03:00:00,BURGER/USDT,1.14,1.1431,1.14,1.1415,180.19701577,205.471316820917
1662343200,2022-09-05 02:00:00,BURGER/USDT,1.1416,1.1431,1.14,1.1411,1321.71044203,1508.767416370283
1662339600,2022-09-05 01:00:00,BURGER/USDT,1.1427,1.1456,1.141,1.141,952.1212,1088.62982558
1662336000,2022-09-05 00:00:00,BURGER/USDT,1.1391,1.1426,1.1335,1.14,5536.8354,6305.20875512
1662332400,2022-09-04 23:00:00,BURGER/USDT,1.1407,1.1407,1.1361,1.1384,2559.89033538,2911.392822029198
1662328800,2022-09-04 22:00:00,BURGER/USDT,1.1494,1.1539,1.1372,1.1399,2200.63451309,2513.22813236362
1662325200,2022-09-04 21:00:00,BURGER/USDT,1.149,1.1552,1.1487,1.1535,528.24780883,607.440851315857
1662321600,2022-09-04 20:00:00,BURGER/USDT,1.1564,1.1604,1.1407,1.1472,12397.9188,14230.46946089
1662318000,2022-09-04 19:00:00,BURGER/USDT,1.1792,1.18,1.1513,1.1576,16857.02285879,19653.671549246365
1662314400,2022-09-04 18:00:00,BURGER/USDT,1.1428,1.1946,1.1428,1.1825,12836.59667504,15037.104130471558
1662310800,2022-09-04 17:00:00,BURGER/USDT,1.1413,1.1483,1.1401,1.1418,1740.0419,1989.42057959
1662307200,2022-09-04 16:00:00,BURGER/USDT,1.1353,1.1411,1.1327,1.1411,4251.3569609,4836.46652679299
1662303600,2022-09-04 15:00:00,BURGER/USDT,1.1388,1.1388,1.1316,1.1351,1659.6390715,1882.34896116975
1662300000,2022-09-04 14:00:00,BURGER/USDT,1.1347,1.1449,1.1306,1.1357,1862.91203682,2121.59494430279
1662296400,2022-09-04 13:00:00,BURGER/USDT,1.1379,1.1382,1.1319,1.1319,1938.35396387,2198.124886817998
1662292800,2022-09-04 12:00:00,BURGER/USDT,1.1394,1.1471,1.1306,1.1402,9567.41622832,10887.845826043244
1662289200,2022-09-04 11:00:00,BURGER/USDT,1.1404,1.1404,1.1341,1.1373,1411.21802388,1606.169426566484
