https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1549882800,2019-02-11 11:00:00,LTC/USDT,43.859481,43.859481,43.859481,43.859481,0.0334,1.46490667
1549879200,2019-02-11 10:00:00,LTC/USDT,44.551637,44.558299,43.865407,43.865407,3.917125,172.47502563
1549875600,2019-02-11 09:00:00,LTC/USDT,44.028817,44.864549,44.028817,44.187752,1.238839,55.09150511
1549872000,2019-02-11 08:00:00,LTC/USDT,44.532784,44.532784,44.331768,44.331768,1.029686,45.69804984
1549868400,2019-02-11 07:00:00,LTC/USDT,44.368591,44.700466,44.368591,44.700466,1.063443,47.34673077
1549864800,2019-02-11 06:00:00,LTC/USDT,44.036547,44.452374,44.036547,44.452374,8.471537,374.42969044
1549861200,2019-02-11 05:00:00,LTC/USDT,43.782506,43.876047,43.173085,43.876047,3.413123,148.92801539
1549854000,2019-02-11 03:00:00,LTC/USDT,43.939063,44.378454,43.939063,44.378454,2.036339,89.88672987
1549850400,2019-02-11 02:00:00,LTC/USDT,44.177808,44.708557,44.010897,44.06,17.56369,777.87144873
1549846800,2019-02-11 01:00:00,LTC/USDT,44.442345,44.442345,43.488994,44.06475,179.464786,7894.09240029
1549843200,2019-02-11 00:00:00,LTC/USDT,46.417502,46.417502,44.000001,44.764727,20.705167,929.97320828
1549839600,2019-02-10 23:00:00,LTC/USDT,46.699997,47,46.699997,47,8.384577,393.65973896
1549836000,2019-02-10 22:00:00,LTC/USDT,46.754436,46.754436,46.149384,46.149384,84.476755,3945.39165895
1549832400,2019-02-10 21:00:00,LTC/USDT,46.579786,46.603643,46.579786,46.603643,1.724198,80.32439544
1549825200,2019-02-10 19:00:00,LTC/USDT,46.777871,47.239135,45.832083,45.878868,27.317673,1265.76426567
1549821600,2019-02-10 18:00:00,LTC/USDT,46.485678,47.316514,46.425991,47.316514,59.014943,2763.57742248
1549818000,2019-02-10 17:00:00,LTC/USDT,46.538484,46.915276,44,46.187248,149.334035,6815.41542857
1549814400,2019-02-10 16:00:00,LTC/USDT,43.70851,47.729176,43.70851,47.729173,236.899708,11043.34167522
1549810800,2019-02-10 15:00:00,LTC/USDT,43.718637,43.718637,43.718637,43.718637,0.491846,21.50283673
1549807200,2019-02-10 14:00:00,LTC/USDT,43.869351,43.879403,43.869351,43.879403,0.262093,11.49787264
1549803600,2019-02-10 13:00:00,LTC/USDT,43.20293,43.869351,43.20293,43.869351,13.393112,585.66257789
