https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMB,Volume USDT
1653004800,2022-05-20 00:00:00,COMB/USDT,0.000594,0.000819,0.000564,0.000717,730529787.66744325,463251.28515342579898
1652918400,2022-05-19 00:00:00,COMB/USDT,0.000525,0.000653,0.000507,0.000592,767261338.2962002,443729.61435301208605
1652832000,2022-05-18 00:00:00,COMB/USDT,0.000549,0.00065,0.000518,0.000521,738616888.03475882,425736.83091026853895
1652745600,2022-05-17 00:00:00,COMB/USDT,0.000494,0.00086,0.000486,0.000549,712878109.59748019,391718.3420150874489
1652659200,2022-05-16 00:00:00,COMB/USDT,0.00054,0.00057,0.000473,0.000496,561065477.05986519,287607.35140654811281
1652572800,2022-05-15 00:00:00,COMB/USDT,0.000422,0.00092,0.000417,0.000542,805390829.63634913,403240.62225349707086
1652486400,2022-05-14 00:00:00,COMB/USDT,0.000433,0.000491,0.000406,0.000422,794387588.42400393,347202.76012462538703
1652400000,2022-05-13 00:00:00,COMB/USDT,0.00037,0.000454,0.000363,0.000433,673383860.33309906,281184.28373776764659
1652313600,2022-05-12 00:00:00,COMB/USDT,0.000478,0.000483,0.000344,0.00037,340653626.45782598,134884.15478359496988
1652227200,2022-05-11 00:00:00,COMB/USDT,0.00073,0.000737,0.000477,0.000478,211492290.53804434,135037.26789918702956
1652140800,2022-05-10 00:00:00,COMB/USDT,0.000806,0.000806,0.000661,0.000733,404230428.47425854,300786.5356880065313
1652054400,2022-05-09 00:00:00,COMB/USDT,0.000956,0.0015,0.0008,0.000808,639150879.17113715,724457.16868493613149
1651968000,2022-05-08 00:00:00,COMB/USDT,0.000905,0.000977,0.000868,0.000956,305050031.23395693,270863.13894409378242
1651881600,2022-05-07 00:00:00,COMB/USDT,0.000901,0.000922,0.000895,0.000905,146201135.64311681,131747.30143386725372
1651795200,2022-05-06 00:00:00,COMB/USDT,0.000912,0.000915,0.000858,0.000903,238600506.7624,212502.9069712863
1651708800,2022-05-05 00:00:00,COMB/USDT,0.001039,0.001039,0.000907,0.000912,243556071.08649695,240506.75584638317534
1651622400,2022-05-04 00:00:00,COMB/USDT,0.000941,0.001069,0.000941,0.00104,227633967.89115856,225145.01806682757313
1651536000,2022-05-03 00:00:00,COMB/USDT,0.00096,0.000965,0.00094,0.000941,155671959.85702548,147502.15717981709637
1651449600,2022-05-02 00:00:00,COMB/USDT,0.000958,0.001058,0.000938,0.000961,211722602.26432628,203797.59821950300275
1651363200,2022-05-01 00:00:00,COMB/USDT,0.001032,0.001033,0.000959,0.000959,326073999.86150173,326114.43976644944721
1651276800,2022-04-30 00:00:00,COMB/USDT,0.001058,0.001095,0.001032,0.001033,460825062.96541851,490338.10115721858945
1651190400,2022-04-29 00:00:00,COMB/USDT,0.001111,0.001116,0.001051,0.001059,404204102.69851998,442350.88273579886767
1651104000,2022-04-28 00:00:00,COMB/USDT,0.001154,0.001222,0.001081,0.00111,347719985.29558083,406063.9730989420719
1651017600,2022-04-27 00:00:00,COMB/USDT,0.001165,0.001173,0.001139,0.001157,362704961.59708781,419693.79499444554254
1650931200,2022-04-26 00:00:00,COMB/USDT,0.001256,0.001258,0.001165,0.001166,143788134.93843747,173565.97156910135019
1650844800,2022-04-25 00:00:00,COMB/USDT,0.001388,0.001399,0.001026,0.001256,52747798.54858521,66708.76563440998123
1650758400,2022-04-24 00:00:00,COMB/USDT,0.001387,0.001416,0.00137,0.001385,33706901.87104799,47082.26989935248233
1650672000,2022-04-23 00:00:00,COMB/USDT,0.001433,0.001433,0.001366,0.001389,48830125.74009964,68398.10921041557127
1650585600,2022-04-22 00:00:00,COMB/USDT,0.001435,0.001463,0.001413,0.001432,287911285.45808503,413937.8574964490473
1650499200,2022-04-21 00:00:00,COMB/USDT,0.001501,0.001601,0.001428,0.001436,301447631.67731379,446270.71817352283167
1650412800,2022-04-20 00:00:00,COMB/USDT,0.00147,0.001536,0.001447,0.001502,210887292.89337929,311882.2175557210731
1650326400,2022-04-19 00:00:00,COMB/USDT,0.001465,0.001477,0.001425,0.001465,247319053.51477068,359909.99876387055555
1650240000,2022-04-18 00:00:00,COMB/USDT,0.001477,0.001477,0.001411,0.001463,266414550.39270311,384071.31051864576762
1650153600,2022-04-17 00:00:00,COMB/USDT,0.001477,0.00149,0.001444,0.001479,277674733.2773172,408751.02115211783526
1650067200,2022-04-16 00:00:00,COMB/USDT,0.001445,0.001481,0.001432,0.001477,298455995.75897762,432678.92227788925605
1649980800,2022-04-15 00:00:00,COMB/USDT,0.001458,0.001479,0.00143,0.001445,235348610.08614527,340691.11987405756973
1649894400,2022-04-14 00:00:00,COMB/USDT,0.001461,0.00153,0.001402,0.001454,289048838.01545528,423262.30649601567451
1649808000,2022-04-13 00:00:00,COMB/USDT,0.001414,0.001499,0.001403,0.00146,158824313.63408565,229819.71454049861081
1649721600,2022-04-12 00:00:00,COMB/USDT,0.00139,0.001516,0.001362,0.001414,219781951.23169726,310003.80629896837514
1649635200,2022-04-11 00:00:00,COMB/USDT,0.001463,0.001521,0.001386,0.001389,191874912.52336495,277042.71696080946878
1649548800,2022-04-10 00:00:00,COMB/USDT,0.001466,0.001471,0.00143,0.001463,202307958.06015508,295106.72134791256088
1649462400,2022-04-09 00:00:00,COMB/USDT,0.001426,0.001552,0.001356,0.001467,269710734.13782925,386955.74951187315677
1649376000,2022-04-08 00:00:00,COMB/USDT,0.001472,0.001479,0.001421,0.00143,250097532.18901786,363802.54238921706688
1649289600,2022-04-07 00:00:00,COMB/USDT,0.00156,0.001562,0.001406,0.001473,228802767.27235715,340309.37528407642981
1649203200,2022-04-06 00:00:00,COMB/USDT,0.001602,0.001678,0.0014,0.001555,209689324.56942824,333789.00891455237989
1649116800,2022-04-05 00:00:00,COMB/USDT,0.001595,0.001644,0.001554,0.001603,224288620.64357124,358341.83930649341512
