https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DERO,Volume USDT
1648252800,2022-03-26 00:00:00,DERO/USDT,11.8972,12.19882,11.62002,11.87689,15473.14515578,184435.7559629651751
1648166400,2022-03-25 00:00:00,DERO/USDT,11.35672,12.21896,11.13928,11.98653,28864.99793705,338655.3418695895803
1648080000,2022-03-24 00:00:00,DERO/USDT,10.74905,11.44293,10.55755,11.44278,32956.74427627,361587.3680632597212
1647993600,2022-03-23 00:00:00,DERO/USDT,10.93893,11.16676,10.585,10.81578,32893.11547193,356368.6961069941547
1647907200,2022-03-22 00:00:00,DERO/USDT,10.77706,11.36383,10,11.02123,60606.70982386,655259.0362187872245
1647820800,2022-03-21 00:00:00,DERO/USDT,10.56518,11.13456,10.44681,10.77707,26160.62149685,282554.3695028854711
1647734400,2022-03-20 00:00:00,DERO/USDT,11.07908,11.25832,10.48026,10.56495,22029.08044796,238249.3445302075465
1647648000,2022-03-19 00:00:00,DERO/USDT,11.27,11.5,10.97,11.17545,18577.12063546,206945.4640321000566
1647561600,2022-03-18 00:00:00,DERO/USDT,10.63777,11.37511,10.52055,11.29179,12690.62292697,138493.0055509924523
1647475200,2022-03-17 00:00:00,DERO/USDT,10.98534,11.31432,10.58328,10.71897,16974.44205645,185979.5200836562471
1647388800,2022-03-16 00:00:00,DERO/USDT,10.4776,11.49999,10.15783,11.06514,32104.45039239,344137.9195446788731
1647302400,2022-03-15 00:00:00,DERO/USDT,11.29167,11.352,10.35076,10.4926,20702.06947767,221936.4122245557146
1647216000,2022-03-14 00:00:00,DERO/USDT,10.94034,11.65249,10.91,11.24,15520.09183835,173474.4657937116776
1647129600,2022-03-13 00:00:00,DERO/USDT,11.86743,12.00999,10.91,10.94034,25960.12613981,297913.7683236692841
1647043200,2022-03-12 00:00:00,DERO/USDT,11.81036,12.20779,11.689,11.86743,6974.94541547,83260.9678942848016
1646956800,2022-03-11 00:00:00,DERO/USDT,12.43582,12.65194,11.6207,11.80932,15647.4477255,189291.1972768521673
1646870400,2022-03-10 00:00:00,DERO/USDT,12.92101,13.02892,11.50205,12.34901,20827.18752325,251058.3845132301213
1646784000,2022-03-09 00:00:00,DERO/USDT,12.81193,13.9,12.65793,12.92101,33931.80579087,446566.1502781637847
1646697600,2022-03-08 00:00:00,DERO/USDT,11.55353,12.81201,11.19481,12.81201,19243.95679067,228023.6512403917971
1646611200,2022-03-07 00:00:00,DERO/USDT,12.19515,12.3248,11.38,11.65149,13726.53935621,163059.9301632950617
1646524800,2022-03-06 00:00:00,DERO/USDT,12.38768,12.84037,11.81448,12.19536,15905.61599353,196214.6698765194194
1646438400,2022-03-05 00:00:00,DERO/USDT,11.58949,13.14916,11.38,12.42046,14411.73759921,177831.450477029004
1646352000,2022-03-04 00:00:00,DERO/USDT,12.74845,12.81245,11.40489,11.50334,15578.99450177,189088.5942598920116
1646265600,2022-03-03 00:00:00,DERO/USDT,13.23923,14.5,12.33921,12.69756,22315.71885533,291760.0740859795207
1646179200,2022-03-02 00:00:00,DERO/USDT,12.921,14.29291,12.26671,13.23932,28827.4295721,385115.3867290026247
1646092800,2022-03-01 00:00:00,DERO/USDT,13.73953,13.91969,12.32576,12.99999,26561.3269564,344056.2022789043589
1646006400,2022-02-28 00:00:00,DERO/USDT,12.58818,14.09945,11.81891,13.73914,37129.62134033,471690.2593911097532
1645920000,2022-02-27 00:00:00,DERO/USDT,14.01996,14.98698,12.25,12.58818,42544.64988042,587568.7359717059265
1645833600,2022-02-26 00:00:00,DERO/USDT,12.93594,15,12.7,14.0196,37774.06156915,536871.872092786911
1645747200,2022-02-25 00:00:00,DERO/USDT,11.07993,13.81546,11.07993,12.94234,40809.64484936,490830.8989210471173
1645660800,2022-02-24 00:00:00,DERO/USDT,10.77707,11.54084,9.2,11.07993,45597.44021555,463480.0751231345298
1645574400,2022-02-23 00:00:00,DERO/USDT,10.60956,11.59,10.46047,10.8,21272.91635946,235227.2896748671701
1645488000,2022-02-22 00:00:00,DERO/USDT,11.45564,11.45604,10.09,10.53487,51436.49255436,545937.3709732784827
1645401600,2022-02-21 00:00:00,DERO/USDT,12.02286,12.43,11.27123,11.4275,22922.32994678,270594.666547674382
1645315200,2022-02-20 00:00:00,DERO/USDT,13.28205,13.60459,11.6,12.05626,34116.85793159,417393.35546150348
1645228800,2022-02-19 00:00:00,DERO/USDT,13.02902,13.94203,13.01572,13.28166,26083.08941294,350812.1007037415901
1645142400,2022-02-18 00:00:00,DERO/USDT,12.26315,15.77,11.87344,13.1,57888.10575379,795761.3141629276809
1645056000,2022-02-17 00:00:00,DERO/USDT,13.51511,14.95,12.04282,12.26316,42969.02817104,573361.8375245014452
1644969600,2022-02-16 00:00:00,DERO/USDT,12.97854,14.08,12.84235,13.51511,14584.62859761,193643.7703996828254
1644883200,2022-02-15 00:00:00,DERO/USDT,12.02922,13.48741,11.87104,13.00807,16430.40179881,208752.0261942738665
1644796800,2022-02-14 00:00:00,DERO/USDT,11.24976,12.18506,11.10667,12.02922,15740.51357609,186087.0642722847037
1644710400,2022-02-13 00:00:00,DERO/USDT,11.59972,11.66278,11.16529,11.24975,4739.92542914,54233.0602118302432
1644624000,2022-02-12 00:00:00,DERO/USDT,11.71,12.15,11.46752,11.52002,16125.32103979,190325.7551745226599
1644537600,2022-02-11 00:00:00,DERO/USDT,12.211,12.6901,11.70141,11.72,22835.13435083,278750.2864665311345
1644451200,2022-02-10 00:00:00,DERO/USDT,12.52681,13.14135,11.72509,12.211,23568.57059288,289937.5322086890096
1644364800,2022-02-09 00:00:00,DERO/USDT,12.01001,13.06936,11.52445,12.52611,24264.95000418,295423.496991435679
1644278400,2022-02-08 00:00:00,DERO/USDT,12.56916,13,11.51748,12.01237,32160.80053719,393466.2758923960681
1644192000,2022-02-07 00:00:00,DERO/USDT,11.17188,12.99999,10.85,12.50015,33049.65270843,392688.634094535503
1644105600,2022-02-06 00:00:00,DERO/USDT,10.94201,11.433,10.45,11.17194,16153.8213426,174951.3265379396485
1644019200,2022-02-05 00:00:00,DERO/USDT,10.47652,10.97211,10.25619,10.9689,15898.67786888,168932.620602941073
1643932800,2022-02-04 00:00:00,DERO/USDT,9.27828,10.5,8.80631,10.49,39555.35158869,376554.8670770860518
1643846400,2022-02-03 00:00:00,DERO/USDT,7.7986,10.58062,7.50018,9.28251,104631.81817693,957334.1295961686125
1643760000,2022-02-02 00:00:00,DERO/USDT,7.19,7.9,6.97073,7.79859,28636.8887634,210201.1472716979992
1643673600,2022-02-01 00:00:00,DERO/USDT,7.14975,7.31141,6.97955,7.22231,11636.52468152,83374.0791231584847
